Region,Comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,Tasa
Arica y Parinacota,Arica,247552,6,6,12,41,63,25.4
Arica y Parinacota,Camarones,1233,-,-,-,-,-,0.0
Arica y Parinacota,General Lagos,810,-,-,-,-,-,0.0
Arica y Parinacota,Putre,2515,-,-,-,-,-,0.0
Tarapaca,Alto Hospicio,129999,-,-,-,5,6,4.6
Tarapaca,Camina,1375,-,-,-,-,-,0.0
Tarapaca,Colchane,1583,-,-,-,-,-,0.0
Tarapaca,Huara,3000,-,-,-,-,-,0.0
Tarapaca,Iquique,223463,5,9,10,13,16,7.2
Tarapaca,Pica,5958,-,-,-,-,-,33.6
Tarapaca,Pozo Almonte,17395,-,-,-,-,-,11.5
Antofagasta,Antofagasta,425725,29,32,44,54,60,14.1
Antofagasta,Calama,190336,-,-,5,7,8,4.2
Antofagasta,Maria Elena,6814,-,-,-,-,-,0.0
Antofagasta,Mejillones,14776,-,-,-,-,-,13.5
Antofagasta,Ollague,287,-,-,-,-,-,0.0
Antofagasta,San Pedro de Atacama,10434,-,-,-,4,4,38.3
Antofagasta,Sierra Gorda,1746,-,-,-,-,-,0.0
Antofagasta,Taltal,13657,-,-,-,-,-,7.3
Antofagasta,Tocopilla,28079,-,-,-,-,-,7.1
Atacama,Alto del Carmen,5729,-,-,-,-,-,0.0
Atacama,Caldera,19426,-,-,-,-,-,0.0
Atacama,Chanaral,13164,-,-,-,-,-,0.0
Atacama,Copiapo,171766,-,-,4,4,5,2.9
Atacama,Diego de Almagro,14358,-,-,-,-,-,7.0
Atacama,Freirina,7681,-,-,-,-,-,0.0
Atacama,Huasco,11264,-,-,-,-,-,0.0
Atacama,Tierra Amarilla,14312,-,-,-,-,-,14.0
Atacama,Vallenar,57009,-,-,-,-,-,0.0
Coquimbo,Andacollo,11791,-,-,-,-,-,0.0
Coquimbo,Canela,9546,-,-,-,-,-,0.0
Coquimbo,Combarbala,13884,-,-,-,-,-,0.0
Coquimbo,Coquimbo,256735,17,19,19,19,19,7.4
Coquimbo,Illapel,32801,-,-,-,7,12,36.6
Coquimbo,La Higuera,4450,-,-,-,-,-,0.0
Coquimbo,La Serena,249656,-,-,8,12,12,4.8
Coquimbo,Los Vilos,23374,-,-,-,-,-,4.3
Coquimbo,Monte Patria,32527,-,-,-,-,-,0.0
Coquimbo,Ovalle,121269,4,4,4,7,7,5.8
Coquimbo,Paiguano,4675,-,-,-,-,-,0.0
Coquimbo,Punitaqui,12165,-,-,-,-,-,0.0
Coquimbo,Rio Hurtado,4372,-,-,-,-,-,22.9
Coquimbo,Salamanca,29110,-,-,-,4,4,13.7
Coquimbo,Vicuna,29741,-,-,-,-,-,0.0
Valparaiso,Algarrobo,15174,7,7,9,9,8,52.7
Valparaiso,Cabildo,20663,-,-,-,-,-,0.0
Valparaiso,Calera,53591,6,6,7,7,9,16.8
Valparaiso,Calle Larga,16482,-,-,-,-,-,6.1
Valparaiso,Cartagena,25357,-,-,-,-,-,0.0
Valparaiso,Casablanca,29170,-,-,-,-,-,6.9
Valparaiso,Catemu,15213,-,-,-,-,-,0.0
Valparaiso,Concon,45889,-,-,7,7,-,6.5
Valparaiso,El Quisco,17742,-,-,-,-,-,5.6
Valparaiso,El Tabo,14338,-,-,-,-,-,13.9
Valparaiso,Hijuelas,19099,-,-,-,-,-,0.0
Valparaiso,Isla de Pascua,8277,-,5,5,5,5,60.4
Valparaiso,Juan Fernandez,1033,-,-,-,-,-,0.0
Valparaiso,La Cruz,25321,-,-,-,-,-,7.9
Valparaiso,La Ligua,37739,-,-,-,-,-,5.3
Valparaiso,Limache,49931,-,-,-,4,5,10.0
Valparaiso,Llaillay,26533,-,-,-,-,-,7.5
Valparaiso,Los Andes,68093,-,-,-,-,6,8.8
Valparaiso,Nogales,23490,-,-,-,-,-,0.0
Valparaiso,Olmue,19266,-,-,-,-,-,0.0
Valparaiso,Panquehue,7633,-,-,-,-,-,0.0
Valparaiso,Papudo,6201,-,-,-,-,-,0.0
Valparaiso,Petorca,10558,-,-,-,5,4,37.9
Valparaiso,Puchuncavi,20071,-,-,-,-,-,0.0
Valparaiso,Putaendo,17645,-,-,-,-,-,5.7
Valparaiso,Quillota,97572,6,7,9,9,13,13.3
Valparaiso,Quilpue,167085,11,10,11,12,15,9.0
Valparaiso,Quintero,36135,-,-,-,-,-,8.3
Valparaiso,Rinconada,11263,-,-,-,-,-,8.9
Valparaiso,San Antonio,96761,-,4,8,9,9,9.3
Valparaiso,San Esteban,20643,-,-,-,-,-,0.0
Valparaiso,San Felipe,83494,-,-,5,5,6,7.2
Valparaiso,Santa Maria,16367,-,-,-,-,-,12.2
Valparaiso,Santo Domingo,11934,,-,-,-,5,41.9
Valparaiso,Valparaiso,315732,16,26,23,26,36,11.4
Valparaiso,Villa Alemana,139310,6,8,11,11,12,8.6
Valparaiso,Vina del Mar,361371,29,38,47,53,66,18.3
Valparaiso,Zapallar,7994,-,0,-,-,-,0.0
Metropolitana,Alhue,7405,-,-,-,-,-,0.0
Metropolitana,Buin,109641,7,8,14,20,20,18.2
Metropolitana,Calera de Tango,28525,6,7,7,7,8,28.0
Metropolitana,Cerrillos,88956,-,4,4,5,11,12.4
Metropolitana,Cerro Navia,142465,19,21,26,31,36,25.3
Metropolitana,Colina,180353,32,39,47,50,62,34.4
Metropolitana,Conchali,139195,14,18,22,32,38,27.3
Metropolitana,Curacavi,36430,5,5,5,8,9,24.7
Metropolitana,El Bosque,172000,18,28,35,37,46,26.7
Metropolitana,El Monte,40014,-,-,-,5,7,17.5
Metropolitana,Estacion Central,206792,16,22,25,36,41,19.8
Metropolitana,Huechuraba,112528,17,19,22,32,35,31.1
Metropolitana,Independencia,142065,15,17,22,26,31,21.8
Metropolitana,Isla de Maipo,40171,-,-,-,4,7,17.4
Metropolitana,La Cisterna,100434,10,12,12,20,26,25.9
Metropolitana,La Florida,402433,43,58,67,91,103,25.6
Metropolitana,La Granja,122557,5,8,16,24,26,21.2
Metropolitana,La Pintana,189335,-,10,13,18,25,13.2
Metropolitana,La Reina,100252,24,26,30,35,44,43.9
Metropolitana,Lampa,126898,10,10,13,14,18,14.2
Metropolitana,Las Condes,330759,181,208,224,258,266,80.4
Metropolitana,Lo Barnechea,124076,68,78,85,97,105,84.6
Metropolitana,Lo Espejo,103865,4,7,9,15,23,22.1
Metropolitana,Lo Prado,104403,14,18,20,25,32,30.7
Metropolitana,Macul,134635,10,15,23,34,37,27.5
Metropolitana,Maipu,578605,43,55,64,83,106,18.3
Metropolitana,Maria Pinto,14926,-,-,-,-,-,0.0
