Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,Tasa
Arica y Parinacota,15,Arica,15101,247552,6,6,12,41,63,87,115,124,134,166,224,270,297,310,328,353,371,405,477,525,596,653,806,904,365.2
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.8
Arica y Parinacota,15,Total,,252110,6,6,12,41,63,87,115,124,134,166,224,270,297,310,328,353,371,405,477,525,596,653,806,905,359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,5,6,10,14,15,16,27,39,55,77,128,161,188,276,379,504,591,744,919,1062,1238,952.3
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,10,727.3
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,315.9
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,13,15,18,19,30,31,33,37,1233.3
Tarapaca,01,Iquique,01101,223463,5,9,10,13,16,18,26,26,31,36,58,75,90,122,253,308,440,610,812,951,1218,1447,1700,1904,852
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,5,10,19,24,28,31,31,31,31,35,37,37,39,37,39,45,51,57,59,990.3
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,2,2,2,2,2,2,2,3,4,5,7,10,20,28,47,69,91,121,695.6
Tarapaca,01,Total,,382773,5,10,13,21,26,35,52,62,73,93,130,163,200,287,459,547,773,1053,1391,1628,2087,2522,2955,3374,881.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,29,32,44,54,60,82,106,122,145,184,261,303,378,479,601,658,843,998,1140,1243,1395,1550,1710,1876,440.7
Antofagasta,02,Calama,02201,190336,0,0,5,7,8,13,20,21,21,25,35,54,71,84,102,114,168,213,254,302,415,486,626,756,397.2
Antofagasta,02,Maria Elena,02302,6814,0,0,0,0,0,0,1,2,4,6,7,13,30,35,47,49,84,112,132,147,154,157,160,168,2465.5
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,6,12,14,19,27,43,65,77,126,134,150,174,191,226,227,244,262,273,279,1888.2
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,9,11,105.4
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,9,11,13,13,14,16,21,1202.7
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,3,7,7,7,7,7,7,8,8,9,16,17,23,25,26,33,37,37,270.9
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,0,3,6,11,11,11,11,12,13,14,15,19,24,25,28,30,32,35,38,135.3
Antofagasta,02,Total,,691854,35,39,54,68,77,110,149,176,211,264,368,457,579,749,912,1001,1315,1568,1816,1990,2285,2542,2866,3186,460.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,34.9
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,7,9,10,51.5
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7.6
Atacama,03,Copiapo,03101,171766,0,0,4,4,5,8,8,8,8,8,8,8,19,34,48,67,71,82,96,100,115,135,160,207,120.5
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,5,8,12,12,13,15,104.5
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,5,44.4
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,4,4,4,4,4,5,6,7,9,9,19,22,23,23,23,24,24,25,26,181.7
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,0,0,7,13,17,24,28,41,42,43,46,48,50,56,65,80,140.3
Atacama,03,Total,,314709,2,3,5,5,8,13,13,13,13,14,21,29,45,72,90,135,144,158,177,186,210,237,277,347,110.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,13,13,17,19,161.1
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4,41.9
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,7,9,14,14,20,144.1
Coquimbo,04,Coquimbo,04102,256735,17,19,19,19,19,21,21,19,20,23,24,26,29,31,35,38,49,56,67,74,192,202,281,363,141.4
Coquimbo,04,Illapel,04201,32801,0,0,0,7,12,13,17,19,19,18,18,18,18,19,19,19,19,19,19,19,21,25,31,43,131.1
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,22.5
