Grupo de edad,Sexo,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27
00 - 04 años,M,11,18,30,38,46,52,66,93,111
05 - 09 años,M,13,17,20,27,32,38,45,66,81
10 - 14 años,M,23,31,37,51,57,71,90,108,125
15 - 19 años,M,50,56,65,77,86,103,116,139,175
20 - 24 años,M,138,175,209,252,290,327,368,436,492
25 - 29 años,M,252,312,366,434,486,558,613,745,855
30 - 34 años,M,295,353,405,469,526,578,646,763,857
35 - 39 años,M,263,324,372,423,461,520,584,675,755
40 - 44 años,M,234,284,327,387,415,455,502,587,662
45 - 49 años,M,221,274,303,357,386,432,481,559,609
50 - 54 años,M,180,220,259,308,337,376,416,485,549
55 - 59 años,M,159,197,232,268,295,336,375,441,493
60 - 64 años,M,115,145,171,201,224,258,282,327,359
65 - 69 años,M,82,101,119,135,151,172,193,234,256
70 - 74 años,M,67,86,100,112,127,140,159,171,182
75 - 79 años,M,48,60,70,80,88,99,115,133,144
80 y más años,M,40,54,65,80,92,101,116,129,156
00 - 04 años,F,15,21,30,39,46,60,71,99,117
05 - 09 años,F,16,23,31,37,40,48,59,77,95
10 - 14 años,F,23,34,39,48,50,57,71,97,117
15 - 19 años,F,56,78,89,108,121,136,159,199,230
20 - 24 años,F,144,177,217,253,284,316,374,444,512
25 - 29 años,F,281,344,403,477,518,574,660,781,869
30 - 34 años,F,297,357,413,494,550,603,682,776,864
35 - 39 años,F,263,316,358,419,459,514,596,680,751
40 - 44 años,F,217,272,314,369,414,472,523,585,641
45 - 49 años,F,204,249,283,338,367,422,473,530,580
50 - 54 años,F,180,237,271,315,336,375,416,484,529
55 - 59 años,F,143,185,213,243,283,321,365,419,465
60 - 64 años,F,113,138,155,188,211,234,257,292,317
65 - 69 años,F,67,84,99,119,140,155,169,195,224
70 - 74 años,F,58,69,82,95,110,127,141,153,173
75 - 79 años,F,41,48,57,64,71,85,100,115,128
80 y más años,F,37,58,88,107,117,137,168,197,231
