Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17
Arica y Parinacota,15,Arica,15101,247552,0,0,4,2,3,23,60,62,46,24
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,4,2,3,23,60,62,46,24
,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,2,4,6,10,15,2
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,9,6,11,6,17,9
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,1,7,14,9,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,2,0,0,0
Tarapaca,01,Total,,382773,0,0,0,0,11,11,26,30,41,11
,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,1,2,27,31,34,53,83,30
Antofagasta,02,Calama,02201,190336,1,1,0,2,3,1,7,11,7,2
Antofagasta,02,Maria Elena,02302,6814,0,0,0,0,0,0,0,4,2,1
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,1,8,13,17,4
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,2,1,1,0,0,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,2,3,2,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,2,0,4,5,0,0
Antofagasta,02,Total,,691854,1,1,1,4,34,34,56,89,111,37
,,,,,,,,,,,,,,
