Año,Mes,Semana,Inicio_semana,Fin_semana,Cod_region_origen,Region_origen,Cod_region_destino,Region_destino,Origen,Destino,Operaciones,Pasajeros
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,15,Arica y Parinacota,Antofagasta,Arica,2,224
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,8,Biobío,Antofagasta,Concepción,6,886
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,4,Coquimbo,Antofagasta,La Serena,12,1651
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,13,Metropolitana,Antofagasta,Santiago,81,11207
2020,1,1,01-01-2020,05-01-2020,15,Arica y Parinacota,2,Antofagasta,Arica,Antofagasta,3,320
2020,1,1,01-01-2020,05-01-2020,15,Arica y Parinacota,8,Biobío,Arica,Concepción,2,264
2020,1,1,01-01-2020,05-01-2020,15,Arica y Parinacota,4,Coquimbo,Arica,La Serena,2,317
2020,1,1,01-01-2020,05-01-2020,15,Arica y Parinacota,13,Metropolitana,Arica,Santiago,41,6288
2020,1,1,01-01-2020,05-01-2020,11,Aysén,8,Biobío,Balmaceda,Concepción,1,176
2020,1,1,01-01-2020,05-01-2020,11,Aysén,10,Los Lagos,Balmaceda,Puerto Montt,14,1562
2020,1,1,01-01-2020,05-01-2020,11,Aysén,12,Magallanes,Balmaceda,Punta Arenas,1,67
2020,1,1,01-01-2020,05-01-2020,11,Aysén,13,Metropolitana,Balmaceda,Santiago,32,3793
2020,1,1,01-01-2020,05-01-2020,11,Aysén,9,Araucanía,Balmaceda,Temuco,2,255
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,8,Biobío,Calama,Concepción,4,548
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,4,Coquimbo,Calama,La Serena,4,639
2020,1,1,01-01-2020,05-01-2020,2,Antofagasta,13,Metropolitana,Calama,Santiago,90,11436
2020,1,1,01-01-2020,05-01-2020,8,Biobío,2,Antofagasta,Concepción,Antofagasta,4,615
2020,1,1,01-01-2020,05-01-2020,8,Biobío,15,Arica y Parinacota,Concepción,Arica,2,256
2020,1,1,01-01-2020,05-01-2020,8,Biobío,11,Aysén,Concepción,Balmaceda,1,153
2020,1,1,01-01-2020,05-01-2020,8,Biobío,2,Antofagasta,Concepción,Calama,6,989
2020,1,1,01-01-2020,05-01-2020,8,Biobío,1,Tarapacá,Concepción,Iquique,8,1103
2020,1,1,01-01-2020,05-01-2020,8,Biobío,4,Coquimbo,Concepción,La Serena,2,261
2020,1,1,01-01-2020,05-01-2020,8,Biobío,12,Magallanes,Concepción,Punta Arenas,3,478
2020,1,1,01-01-2020,05-01-2020,8,Biobío,13,Metropolitana,Concepción,Santiago,49,8321
2020,1,1,01-01-2020,05-01-2020,3,Atacama,13,Metropolitana,Copiapó,Santiago,30,3906
2020,1,1,01-01-2020,05-01-2020,1,Tarapacá,8,Biobío,Iquique,Concepción,8,847
2020,1,1,01-01-2020,05-01-2020,1,Tarapacá,4,Coquimbo,Iquique,La Serena,6,794
2020,1,1,01-01-2020,05-01-2020,1,Tarapacá,13,Metropolitana,Iquique,Santiago,74,10024
2020,1,1,01-01-2020,05-01-2020,5,Valparaíso,13,Metropolitana,Isla de Pascua,Santiago,10,2696
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,2,Antofagasta,La Serena,Antofagasta,13,1713
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,15,Arica y Parinacota,La Serena,Arica,2,319
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,2,Antofagasta,La Serena,Calama,6,861
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,8,Biobío,La Serena,Concepción,2,268
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,1,Tarapacá,La Serena,Iquique,6,879
2020,1,1,01-01-2020,05-01-2020,4,Coquimbo,13,Metropolitana,La Serena,Santiago,45,6929
2020,1,1,01-01-2020,05-01-2020,10,Los Lagos,13,Metropolitana,Castro,Santiago,4,666
2020,1,1,01-01-2020,05-01-2020,10,Los Lagos,13,Metropolitana,Osorno,Santiago,12,1780
2020,1,1,01-01-2020,05-01-2020,10,Los Lagos,11,Aysén,Puerto Montt,Balmaceda,14,1809
2020,1,1,01-01-2020,05-01-2020,10,Los Lagos,12,Magallanes,Puerto Montt,Punta Arenas,19,2298
2020,1,1,01-01-2020,05-01-2020,10,Los Lagos,13,Metropolitana,Puerto Montt,Santiago,84,11701
