Region,Poblacion,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
Arica y Parinacota,252110,70,-,-,103,-,93,24
Tarapaca,382773,-,-,-,-,-,-,-
Antofagasta,691854,182,128,107,175,103,95,117
Atacama,314709,57,52,60,25,20,22,25
Coquimbo,836096,-,-,-,-,-,-,-
Valparaiso,1960170,301,249,248,273,223,92,385
Metropolitana,8125072,5383,3158,2105,3861,1850,1656,2694
Del Libertador General Bernardo O’Higgins,991063,68,-,74,-,74,30,30
Maule,1131939,397,219,-,341,113,160,-
Nuble,511551,364,-,259,189,65,-,-
Biobio,1663696,592,149,281,469,,218,311
La Araucania,1014343,124,148,126,184,232,148,218
Los Rios,405835,-,91,-,-,-,67,67
Los Lagos,891440,341,199,178,225,39,131,137
Aysen,107297,10,-,,7,-,12,8
Magallanes y la Antartica,178362,73,24,46,45,45,35,63
