Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica - Parinacota,1109,47,45,2,11,0.64%
Tarapaca,4145,141,119,22,58,2.38%
Antofagasta,4286,248,231,17,72,2.46%
Atacama,448,12,11,1,0,0.26%
Coquimbo,1556,44,35,9,10,0.89%
Valparaiso,6758,231,213,18,125,3.88%
Metropolitana,140398,5647,5264,383,2878,80.55%
O'Higgins,1927,139,116,23,33,1.11%
Maule,2997,153,121,32,23,1.72%
Nuble,1778,41,39,2,22,1.02%
Biobio,3401,132,111,21,18,1.95%
Araucania,2675,30,26,4,36,1.53%
De los Rios,497,10,2,8,9,0.29%
De los Lagos,1141,33,24,9,13,0.65%
Aysen,24,0,0,0,0,0.01%
Magallanes,1153,30,11,19,15,0.66%
Total,174293,6938,6368,570,3323,100%
