Fecha,Casos totales acumulados,Casos activos,Fallecidos,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas
10-05-2020,28866,15438,312,1647,1406,241
11-05-2020,30063,16135,323,1197,975,222
12-05-2020,31721,17261,335,1658,1479,179
13-05-2020,34381,19170,346,2660,2152,508
14-05-2020,37040,21017,368,2659,2301,358
15-05-2020,39542,22534,394,2502,2112,390
16-05-2020,41428,22993,421,1886,1573,313
17-05-2020,43781,24118,450,2353,2024,329
18-05-2020,46059,25416,478,2278,2018,260
19-05-2020,49579,27563,509,3520,3099,421
20-05-2020,53617,30569,544,4038,3647,391
21-05-2020,57581,33000,589,3964,3538,426
22-05-2020,61857,35885,630,4276,3863,413
23-05-2020,65393,38174,673,3536,3237,299
24-05-2020,69102,40236,718,3709,3343,366
25-05-2020,73997,43934,761,4895,4428,467
26-05-2020,77961,46240,806,3964,3618,346
27-05-2020,82289,47908,841,4328,3956,372
28-05-2020,86943,49903,890,4654,4128,526
29-05-2020,90638,51096,944,3695,3355,340
30-05-2020,94858,53430,997,4220,3736,484
31-05-2020,99688,55907,1054,4830,4437,393
01-06-2020,105159,59100,1113,5471,5082,389
02-06-2020,108686,21325,1188,3527,3206,321
03-06-2020,113628,21605,1275,4942,4537,405
04-06-2020,118292,21305,1356,4664,4172,492
05-06-2020,122499,21693,1448,4207,3790,417
06-06-2020,127745,22387,1541,5246,4888,358
07-06-2020,134150,24363,2190,6405,5760,645
08-06-2020,138846,24334,2264,4696,4237,459
09-06-2020,142759,23115,2283,3913,3587,326
10-06-2020,148496,24201,2475,5737,5226,511
11-06-2020,154092,25000,2648,5596,5089,507
12-06-2020,160846,26618,2870,6754,6217,537
13-06-2020,167355,26958,3101,6509,5969,540
14-06-2020,174293,27266,3323,6938,6368,570
15-06-2020,179436,27282,3362,5143,4660,483
16-06-2020,184449,24834,3383,5013,4498,515
