Region,Categoria,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16
Arica y Parinacota,cupos totales,60,60,60,,60,60,95,266,162,162,162,162,163,191,191,191,218,218,218
Tarapaca,cupos totales,40,40,119,,119,119,219,248,235,235,235,235,313,467,467,489,491,491,491
Antofagasta,cupos totales,157,157,157,,157,157,266,95,266,266,266,266,266,343,343,343,343,303,303
Atacama,cupos totales,48,48,48,,48,48,57,57,60,72,72,72,72,71,71,71,134,134,134
Coquimbo,cupos totales,197,197,192,,192,190,465,47,465,465,465,465,465,465,465,465,447,447,447
Valparaiso,cupos totales,394,394,419,,418,543,1742,587,2604,2604,2604,2604,2604,2604,2604,2604,2300,2200,2200
Metropolitana,cupos totales,2359,2359,2236,,2306,2301,3041,465,4434,4434,4434,4434,4434,4370,4370,4372,4421,4433,4456
Del Libertador General Bernardo O’Higgins,cupos totales,99,99,94,,94,94,94,455,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894
Maule,cupos totales,58,58,72,,150,150,220,302,349,349,349,349,360,360,360,360,378,383,383
Nuble,cupos totales,56,56,54,,54,54,203,190,55,69,69,69,110,210,210,210,210,210,210
Biobio,cupos totales,175,175,213,,286,286,587,220,587,587,587,587,587,587,587,517,517,539,539
La Araucania,cupos totales,120,120,198,,160,160,248,3041,258,258,258,258,274,330,330,330,330,330,330
Los Rios,cupos totales,135,135,128,,77,112,302,203,156,156,156,156,156,156,156,156,156,156,156
Los Lagos,cupos totales,128,128,112,,112,77,455,1894,147,147,147,147,139,139,139,139,139,139,139
Aysen,cupos totales,48,48,31,,31,31,47,219,38,38,38,38,38,38,38,38,58,58,58
Magallanes y la Antartica,cupos totales,83,83,83,,83,83,190,3342,76,76,76,76,85,85,85,85,85,85,85
Arica y Parinacota,usuarios en residencia,29,29,31,,35,42,44,48,59,87,95,127,153,165,165,183,207,207,216
Tarapaca,usuarios en residencia,32,32,45,,76,85,97,111,118,131,162,164,250,310,310,326,358,381,401
Antofagasta,usuarios en residencia,86,86,93,,94,102,103,147,143,145,145,145,149,220,220,230,193,180,184
Atacama,usuarios en residencia,34,34,32,,44,44,54,55,55,54,54,54,54,65,65,65,65,51,51
Coquimbo,usuarios en residencia,77,77,65,,87,83,102,102,102,103,104,130,130,131,131,133,133,163,174
Valparaiso,usuarios en residencia,71,71,121,,157,145,195,208,204,208,225,237,198,266,266,262,262,262,359
Metropolitana,usuarios en residencia,706,706,842,,949,1117,1150,1211,1416,1405,1375,1657,1567,1872,1872,2265,2074,2002,2063
Del Libertador General Bernardo O’Higgins,usuarios en residencia,0,0,1,,2,3,9,7,26,29,31,31,32,47,47,40,40,66,71
Maule,usuarios en residencia,39,39,59,,63,64,75,99,99,94,102,154,152,157,157,160,130,174,270
Nuble,usuarios en residencia,22,22,21,,28,27,36,41,47,49,50,50,56,56,56,67,91,97,113
Biobio,usuarios en residencia,119,119,139,,135,123,179,168,158,172,196,206,240,239,239,255,335,339,376
La Araucania,usuarios en residencia,89,89,113,,130,130,138,131,164,164,195,198,212,213,213,169,182,173,201
Los Rios,usuarios en residencia,47,47,7,,7,82,20,22,23,23,31,34,34,43,43,32,34,86,34
Los Lagos,usuarios en residencia,43,43,75,,75,14,101,83,75,75,75,88,88,86,86,84,84,97,93
Aysen,usuarios en residencia,0,0,3,,4,4,6,13,14,14,13,13,13,13,13,13,37,13,7
Magallanes y la Antartica,usuarios en residencia,23,23,14,,15,15,16,16,16,14,23,23,32,43,43,42,42,44,48
Arica y Parinacota,residencias,1,1,1,,1,1,3,3,4,4,4,4,3,4,4,4,4,5,5
Tarapaca,residencias,2,2,4,,4,4,8,8,10,10,10,10,8,10,10,10,10,10,10
Antofagasta,residencias,3,3,3,,3,3,4,4,4,4,4,4,5,7,7,7,7,6,6
Atacama,residencias,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
Coquimbo,residencias,6,6,6,,6,6,8,8,6,6,6,6,6,9,9,9,9,10,10
Valparaiso,residencias,7,7,8,,8,8,19,19,19,19,19,19,19,7,7,7,7,9,9
Metropolitana,residencias,32,32,31,,30,31,38,38,38,38,38,38,37,37,37,37,37,34,34
Del Libertador General Bernardo O’Higgins,residencias,2,2,2,,2,2,3,2,3,3,3,3,3,7,7,7,7,5,5
Maule,residencias,2,2,3,,4,4,5,5,10,10,10,10,7,7,7,7,7,8,8
Nuble,residencias,2,2,2,,2,2,3,3,3,3,3,3,4,5,5,5,5,5,5
Biobio,residencias,5,5,7,,9,9,15,15,10,10,10,10,12,12,12,12,12,12,12
La Araucania,residencias,2,2,2,,3,3,3,3,3,3,3,3,4,5,5,5,5,4,4
Los Rios,residencias,6,6,5,,4,6,10,4,4,4,4,4,4,4,4,4,4,4,4
Los Lagos,residencias,5,5,6,,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6
Aysen,residencias,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Magallanes y la Antartica,residencias,5,5,5,,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6
