date;comuna;region;IM_interno;IM_externo;IM
20200228;Ñiquén;R16;0.922437673;13.60526316;14.52770083
20200229;Ñiquén;R16;1.088642659;14.04155125;15.13019391
20200301;Ñiquén;R16;1.203601108;11.85180055;13.05540166
20200302;Ñiquén;R16;0.657894737;11.48614958;12.14404432
20200303;Ñiquén;R16;0.736842105;9.891966759;10.62880886
20200304;Ñiquén;R16;0.711911357;9.770083102;10.48199446
20200305;Ñiquén;R16;0.630193906;9.094182825;9.724376731
20200306;Ñiquén;R16;0.644044321;10.92520776;11.56925208
20200307;Ñiquén;R16;0.882271468;10.38504155;11.26731302
20200308;Ñiquén;R16;0.872576177;9.268698061;10.14127424
20200309;Ñiquén;R16;0.608033241;9.393351801;10.00138504
20200310;Ñiquén;R16;0.617728532;8.552631579;9.170360111
20200311;Ñiquén;R16;0.519390582;8.432132964;8.951523546
20200312;Ñiquén;R16;0.646814404;8.64265928;9.289473684
20200313;Ñiquén;R16;0.770083102;10.84210526;11.61218837
20200314;Ñiquén;R16;0.940443213;10.54570637;11.48614958
20200315;Ñiquén;R16;0.735457064;9.246537396;9.98199446
20200316;Ñiquén;R16;0.591412742;10.0166205;10.60803324
20200317;Ñiquén;R16;0.592797784;8.513850416;9.106648199
20200318;Ñiquén;R16;0.695290859;8.626038781;9.32132964
20200319;Ñiquén;R16;0.707756233;8.155124654;8.862880886
20200320;Ñiquén;R16;0.778393352;7.74099723;8.519390582
20200321;Ñiquén;R16;0.788088643;6.404432133;7.192520776
20200322;Ñiquén;R16;0.591412742;4.961218837;5.552631579
20200323;Ñiquén;R16;0.663434903;5.789473684;6.452908587
20200324;Ñiquén;R16;0.693905817;5.921052632;6.614958449
20200325;Ñiquén;R16;0.583102493;5.62465374;6.207756233
20200326;Ñiquén;R16;0.631578947;5.763157895;6.394736842
20200327;Ñiquén;R16;0.64265928;5.534626039;6.177285319
20200328;Ñiquén;R16;0.664819945;4.829639889;5.494459834
20200329;Ñiquén;R16;0.646814404;4.249307479;4.896121884
20200330;Ñiquén;R16;0.637119114;5.379501385;6.016620499
20200331;Ñiquén;R16;0.710526316;5.447368421;6.157894737
20200401;Ñiquén;R16;0.702216066;5.382271468;6.084487535
20200402;Ñiquén;R16;0.724376731;5.347645429;6.072022161
20200403;Ñiquén;R16;0.666204986;5.70498615;6.371191136
20200404;Ñiquén;R16;0.659279778;4.96398892;5.623268698
20200405;Ñiquén;R16;0.716066482;4.286703601;5.002770083
20200406;Ñiquén;R16;0.591412742;5.590027701;6.181440443
20200407;Ñiquén;R16;0.628808864;5.617728532;6.246537396
20200408;Ñiquén;R16;0.652354571;5.591412742;6.243767313
20200409;Ñiquén;R16;0.684210526;5.760387812;6.444598338
20200410;Ñiquén;R16;0.637119114;3.369806094;4.006925208
20200411;Ñiquén;R16;0.648199446;3.650969529;4.299168975
20200412;Ñiquén;R16;0.63434903;3.725761773;4.360110803
20200413;Ñiquén;R16;0.627423823;5.817174515;6.444598338
20200414;Ñiquén;R16;0.720221607;5.371191136;6.091412742
20200415;Ñiquén;R16;0.724376731;5.915512465;6.639889197
20200416;Ñiquén;R16;0.639889197;5.713296399;6.353185596
20200417;Ñiquén;R16;0.756232687;6.28531856;7.041551247
20200418;Ñiquén;R16;0.774238227;5.047091413;5.82132964
20200419;Ñiquén;R16;0.650969529;4.685595568;5.336565097
20200420;Ñiquén;R16;0.699445983;5.77700831;6.476454294
20200421;Ñiquén;R16;0.793628809;6.072022161;6.86565097
20200422;Ñiquén;R16;0.612188366;6.477839335;7.090027701
20200423;Ñiquén;R16;0.752077562;6.534626039;7.286703601
20200424;Ñiquén;R16;0.657894737;6.139889197;6.797783934
20200425;Ñiquén;R16;0.671745152;5.307479224;5.979224377
20200426;Ñiquén;R16;0.797783934;4.494459834;5.292243767
20200427;Ñiquén;R16;0.749307479;4.686980609;5.436288089
20200428;Ñiquén;R16;0.824099723;5.566481994;6.390581717
20200430;Ñiquén;R16;0.732686981;6.639889197;7.372576177
20200501;Ñiquén;R16;0.731301939;4.885041551;5.61634349
20200502;Ñiquén;R16;0.717451524;4.72299169;5.440443213
20200503;Ñiquén;R16;0.655124654;4.64265928;5.297783934
20200504;Ñiquén;R16;0.645429363;6.373961219;7.019390582
20200505;Ñiquén;R16;0.646814404;6.353185596;7
20200506;Ñiquén;R16;0.721606648;6.594182825;7.315789474
20200507;Ñiquén;R16;0.494459834;4.891966759;5.386426593
20200508;Ñiquén;R16;0.793628809;7.61634349;8.409972299
20200509;Ñiquén;R16;0.851800554;6.498614958;7.350415512
20200510;Ñiquén;R16;0.721606648;5.382271468;6.103878116
20200511;Ñiquén;R16;0.774238227;6.675900277;7.450138504
20200512;Ñiquén;R16;0.684210526;6.700831025;7.385041551
20200513;Ñiquén;R16;0.681440443;6.606648199;7.288088643
20200514;Ñiquén;R16;0.630193906;7.002770083;7.632963989
20200515;Ñiquén;R16;0.70498615;7.925207756;8.630193906
20200516;Ñiquén;R16;1.308864266;7.045706371;8.354570637
20200517;Ñiquén;R16;0.745152355;5.274238227;6.019390582
;;;;;
20200228;Ñuñoa;R13;5.054346656;8.722024924;13.77637158
20200229;Ñuñoa;R13;4.415918728;7.021738663;11.43765739
20200301;Ñuñoa;R13;3.931168076;5.867372635;9.798540712
20200302;Ñuñoa;R13;5.354361723;8.67497471;14.02933643
20200303;Ñuñoa;R13;5.515636771;8.852736704;14.36837347
20200304;Ñuñoa;R13;5.723079572;9.038376273;14.76145584
20200305;Ñuñoa;R13;6.068466025;9.32427197;15.392738
20200306;Ñuñoa;R13;6.180172618;9.619831687;15.8000043
20200307;Ñuñoa;R13;5.193904565;7.374895073;12.56879964
20200308;Ñuñoa;R13;4.534103872;6.154645832;10.6887497
20200309;Ñuñoa;R13;5.909945976;9.023675771;14.93362175
20200310;Ñuñoa;R13;5.878371107;9.311508577;15.18987968
20200311;Ñuñoa;R13;5.694345795;9.073911453;14.76825725
20200312;Ñuñoa;R13;6.252534384;10.1838316;16.43636598
20200313;Ñuñoa;R13;6.719635824;10.38991843;17.10955425
20200314;Ñuñoa;R13;5.886184111;7.988980005;13.87516412
20200315;Ñuñoa;R13;5.002023202;6.400873851;11.40289705
20200316;Ñuñoa;R13;6.005101052;8.794429737;14.79953079
20200317;Ñuñoa;R13;5.360904845;7.724909064;13.08581391
20200318;Ñuñoa;R13;5.341340049;7.555024644;12.89636469
20200319;Ñuñoa;R13;5.142786423;6.886076494;12.02886292
20200320;Ñuñoa;R13;4.978325908;6.690859;11.66918491
20200321;Ñuñoa;R13;4.130109124;4.818966445;8.949075569
20200322;Ñuñoa;R13;3.748778545;4.084587073;7.833365618
20200323;Ñuñoa;R13;4.675405179;5.924560384;10.59996556
20200324;Ñuñoa;R13;4.66066163;5.974473214;10.63513484
20200325;Ñuñoa;R13;4.8397796;6.269623986;11.10940359
20200326;Ñuñoa;R13;5.221798928;7.027227137;12.24902606
20200327;Ñuñoa;R13;3.897742192;4.412647166;8.310389359
20200328;Ñuñoa;R13;3.628247347;3.784894858;7.413142205
20200329;Ñuñoa;R13;3.477088311;3.497557091;6.974645402
20200330;Ñuñoa;R13;4.0989432;4.580895805;8.679839005
20200331;Ñuñoa;R13;4.271862422;4.686489744;8.958352166
20200401;Ñuñoa;R13;4.222982717;4.724392501;8.947375218
20200402;Ñuñoa;R13;4.11633413;4.628053636;8.744387766
20200403;Ñuñoa;R13;4.190633004;4.826435075;9.017068079
20200404;Ñuñoa;R13;3.929790577;4.112094014;8.041884591
20200405;Ñuñoa;R13;3.6032156;3.640386561;7.243602161
20200406;Ñuñoa;R13;4.010331246;4.310733734;8.321064979
20200407;Ñuñoa;R13;4.125675298;4.451862853;8.57753815
20200408;Ñuñoa;R13;3.911775468;4.297260068;8.209035535
20200409;Ñuñoa;R13;4.006241794;4.370332106;8.376573901
20200410;Ñuñoa;R13;3.516605325;3.381093821;6.897699146
20200411;Ñuñoa;R13;3.522179893;3.352037192;6.874217085
20200412;Ñuñoa;R13;3.397365532;3.179613009;6.576978541
20200413;Ñuñoa;R13;4.051527087;4.687738103;8.73926519
20200414;Ñuñoa;R13;4.076451217;4.706119111;8.782570328
20200415;Ñuñoa;R13;4.133359161;4.700415402;8.833774564
20200416;Ñuñoa;R13;3.944254321;4.48518112;8.42943544
20200417;Ñuñoa;R13;4.021587999;4.796345322;8.81793332
20200418;Ñuñoa;R13;3.725985235;3.864746777;7.590732012
20200419;Ñuñoa;R13;3.490088461;3.468005424;6.958093885
20200420;Ñuñoa;R13;4.140784744;4.974839112;9.115623857
20200421;Ñuñoa;R13;4.185230624;5.012849487;9.19808011
20200422;Ñuñoa;R13;4.344697703;5.313617873;9.658315577
20200423;Ñuñoa;R13;4.23512193;5.401820882;9.636942812
20200424;Ñuñoa;R13;4.34837821;5.561244915;9.909623125
20200425;Ñuñoa;R13;3.98857106;4.410667011;8.399238071
20200426;Ñuñoa;R13;3.573405652;3.781773961;7.355179613
20200427;Ñuñoa;R13;4.144702008;5.263661996;9.408364004
20200428;Ñuñoa;R13;3.778308689;4.947698069;8.726006758
20200430;Ñuñoa;R13;3.704741611;5.128042875;8.832784486
20200501;Ñuñoa;R13;3.018639289;3.489292094;6.507931383
20200502;Ñuñoa;R13;3.406685177;4.118335809;7.525020985
20200503;Ñuñoa;R13;3.014097846;3.450808205;6.46490605
20200504;Ñuñoa;R13;3.837734874;5.232431502;9.070166376
20200505;Ñuñoa;R13;3.855577796;5.321968963;9.17754676
20200506;Ñuñoa;R13;3.863606035;5.255181765;9.118787801
20200507;Ñuñoa;R13;2.799896688;3.990680356;6.790577043
20200508;Ñuñoa;R13;4.162975399;5.85628807;10.01926347
20200509;Ñuñoa;R13;3.956587245;4.409461699;8.366048944
20200510;Ñuñoa;R13;3.525128602;3.883558253;7.408686856
20200511;Ñuñoa;R13;4.114612255;5.056929468;9.171541723
20200512;Ñuñoa;R13;4.108155227;5.05443275;9.162587977
20200513;Ñuñoa;R13;4.3604959;5.4429952;9.8034911
20200514;Ñuñoa;R13;4.407998106;5.581950453;9.989948559
20200515;Ñuñoa;R13;4.636146445;5.934224403;10.57037085
20200516;Ñuñoa;R13;3.305223736;3.486989088;6.792212824
20200517;Ñuñoa;R13;3.026861238;3.137685371;6.164546609
;;;;;
20200228;Algarrobo;R05;10.6747225;4.233103836;14.90782633
20200229;Algarrobo;R05;12.6358016;4.9089504;17.544752
20200301;Algarrobo;R05;9.746381902;4.141492202;13.8878741
20200302;Algarrobo;R05;6.647182802;3.005901363;9.653084165
20200303;Algarrobo;R05;5.8211325;2.610369538;8.431502037
20200304;Algarrobo;R05;5.731206969;2.497822116;8.229029085
20200305;Algarrobo;R05;5.84796965;2.617816496;8.465786146
20200306;Algarrobo;R05;6.697484895;3.017844597;9.715329493
20200307;Algarrobo;R05;9.0796684;3.743852747;12.82352115
20200308;Algarrobo;R05;7.653646199;3.363495855;11.01714205
20200309;Algarrobo;R05;5.212870592;2.399887593;7.612758185
20200310;Algarrobo;R05;4.900660391;2.442040185;7.342700576
20200311;Algarrobo;R05;4.996768301;2.320781228;7.317549529
20200312;Algarrobo;R05;5.965434874;2.613882254;8.579317128
20200313;Algarrobo;R05;7.015315442;3.245328088;10.26064353
20200314;Algarrobo;R05;10.43824645;3.952367571;14.39061402
20200315;Algarrobo;R05;9.144021357;3.856119151;13.00014051
20200316;Algarrobo;R05;5.731347478;2.530841647;8.262189125
20200317;Algarrobo;R05;5.308416468;2.351974146;7.660390614
20200318;Algarrobo;R05;5.460727835;2.487283968;7.948011803
20200319;Algarrobo;R05;5.084305185;2.339047351;7.423352536
20200320;Algarrobo;R05;5.442742729;2.551074891;7.99381762
20200321;Algarrobo;R05;5.105943516;2.318954616;7.424898131
20200322;Algarrobo;R05;4.277926092;1.856821695;6.134747787
20200323;Algarrobo;R05;4.604327666;2.065477027;6.669804693
20200324;Algarrobo;R05;4.453421385;2.011662217;6.465083603
20200325;Algarrobo;R05;5.575242377;2.655894338;8.231136715
20200326;Algarrobo;R05;4.367851623;2.100182661;6.468034284
20200327;Algarrobo;R05;4.536883518;2.108894197;6.645777715
20200328;Algarrobo;R05;4.175214276;1.879303077;6.054517353
20200329;Algarrobo;R05;3.807222144;1.742026135;5.549248279
20200330;Algarrobo;R05;4.422509484;2.046648869;6.469158353
20200331;Algarrobo;R05;4.47463819;2.125755234;6.600393424
20200401;Algarrobo;R05;4.549388787;2.126879303;6.67626809
20200402;Algarrobo;R05;4.306730364;2.040747506;6.34747787
20200403;Algarrobo;R05;4.475621751;2.130813545;6.606435296
20200404;Algarrobo;R05;4.168750878;1.965434874;6.134185752
20200405;Algarrobo;R05;3.829000984;1.85007728;5.679078263
20200406;Algarrobo;R05;4.391316566;2.107489111;6.498805677
20200407;Algarrobo;R05;4.423493045;2.196852606;6.620345651
20200408;Algarrobo;R05;4.197414641;2.050021076;6.247435717
20200409;Algarrobo;R05;4.417872699;2.028101728;6.445974427
20200410;Algarrobo;R05;3.792890263;1.758606154;5.551496417
20200411;Algarrobo;R05;3.865954756;1.810453843;5.676408599
20200412;Algarrobo;R05;3.766896164;1.713362372;5.480258536
20200413;Algarrobo;R05;4.32991429;2.025432064;6.355346354
20200414;Algarrobo;R05;4.232260784;2.062385837;6.294646621
20200415;Algarrobo;R05;4.184768863;2.024026978;6.208795841
20200416;Algarrobo;R05;4.163552058;2.07854433;6.242096389
20200417;Algarrobo;R05;4.309821554;2.199803288;6.509624842
20200418;Algarrobo;R05;4.082197555;1.933679921;6.015877476
20200419;Algarrobo;R05;3.790642124;1.817057749;5.607699874
20200420;Algarrobo;R05;4.416327104;2.133623718;6.549950822
20200421;Algarrobo;R05;4.300688492;2.104819446;6.405507939
20200422;Algarrobo;R05;4.419137277;2.050021076;6.469158353
20200423;Algarrobo;R05;4.495714486;2.186314458;6.682028945
20200424;Algarrobo;R05;4.56976254;2.29577069;6.86553323
20200425;Algarrobo;R05;4.302796122;2.173528172;6.476324294
20200426;Algarrobo;R05;3.859491359;1.890543768;5.750035127
20200427;Algarrobo;R05;4.422368976;2.125474217;6.547843192
20200428;Algarrobo;R05;4.362793312;2.16341155;6.526204862
20200430;Algarrobo;R05;4.44470985;2.141351693;6.586061543
20200501;Algarrobo;R05;3.841506253;1.883939862;5.725446115
20200502;Algarrobo;R05;4.112547422;1.970914711;6.083462133
20200503;Algarrobo;R05;3.907123788;1.843051848;5.750175636
20200504;Algarrobo;R05;4.671490797;2.236054517;6.907545314
20200505;Algarrobo;R05;4.547562175;2.327244626;6.874806801
20200506;Algarrobo;R05;4.601236476;2.309962063;6.911198539
20200507;Algarrobo;R05;3.307713924;1.710833216;5.018547141
20200508;Algarrobo;R05;4.722214416;2.217928903;6.940143319
20200509;Algarrobo;R05;4.513137558;2.035970212;6.54910777
20200510;Algarrobo;R05;4.241112828;1.991569482;6.23268231
20200511;Algarrobo;R05;4.405226921;2.11170437;6.516931291
20200512;Algarrobo;R05;4.281719826;2.074048054;6.35576788
20200513;Algarrobo;R05;4.658001967;2.122102009;6.780103976
20200514;Algarrobo;R05;4.723197977;2.197274132;6.920472109
20200515;Algarrobo;R05;4.840522692;2.205002108;7.0455248
20200516;Algarrobo;R05;4.225235352;1.909793452;6.135028804
20200517;Algarrobo;R05;3.916818884;1.741042574;5.657861458
;;;;;
20200228;Alhué;R13;0;0.182072829;0.182072829
20200229;Alhué;R13;0;0.163865546;0.163865546
20200301;Alhué;R13;0;0.140056022;0.140056022
20200302;Alhué;R13;0;0.165266106;0.165266106
20200303;Alhué;R13;0;0.154061625;0.154061625
20200304;Alhué;R13;0;0.141456583;0.141456583
20200305;Alhué;R13;0;0.119047619;0.119047619
20200306;Alhué;R13;0;0.183473389;0.183473389
20200307;Alhué;R13;0;0.163865546;0.163865546
20200308;Alhué;R13;0;0.117647059;0.117647059
20200309;Alhué;R13;0;0.130252101;0.130252101
20200310;Alhué;R13;0;0.106442577;0.106442577
20200311;Alhué;R13;0;0.117647059;0.117647059
20200312;Alhué;R13;0;0.107843137;0.107843137
20200313;Alhué;R13;0;0.141456583;0.141456583
20200314;Alhué;R13;0;0.131652661;0.131652661
20200315;Alhué;R13;0;0.113445378;0.113445378
20200316;Alhué;R13;0;0.121848739;0.121848739
20200317;Alhué;R13;0;0.099439776;0.099439776
20200318;Alhué;R13;0;0.085434174;0.085434174
20200319;Alhué;R13;0;0.12605042;0.12605042
20200320;Alhué;R13;0;0.110644258;0.110644258
20200321;Alhué;R13;0;0.068627451;0.068627451
20200322;Alhué;R13;0;0.033613445;0.033613445
20200323;Alhué;R13;0;0.075630252;0.075630252
20200324;Alhué;R13;0;0.078431373;0.078431373
20200325;Alhué;R13;0;0.051820728;0.051820728
20200326;Alhué;R13;0;0.085434174;0.085434174
20200327;Alhué;R13;0;0.078431373;0.078431373
20200328;Alhué;R13;0;0.039215686;0.039215686
20200329;Alhué;R13;0;0.036414566;0.036414566
20200330;Alhué;R13;0;0.086834734;0.086834734
20200331;Alhué;R13;0;0.077030812;0.077030812
20200401;Alhué;R13;0;0.057422969;0.057422969
20200402;Alhué;R13;0;0.081232493;0.081232493
20200403;Alhué;R13;0;0.093837535;0.093837535
20200404;Alhué;R13;0;0.039215686;0.039215686
20200405;Alhué;R13;0;0.046218487;0.046218487
20200406;Alhué;R13;0;0.079831933;0.079831933
20200407;Alhué;R13;0;0.079831933;0.079831933
20200408;Alhué;R13;0;0.056022409;0.056022409
20200409;Alhué;R13;0;0.06302521;0.06302521
20200410;Alhué;R13;0;0.025210084;0.025210084
20200411;Alhué;R13;0;0.030812325;0.030812325
