Region,Nuevos Casos,Casos Confirmados,Fallecidos,Fecha,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,%Total,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Arica y Parinacota,16.0,161.0,2,2020/04/20,,,,,,,,,15,252110,63.861013049859196
Tarapacá,3.0,93.0,0,2020/04/20,,,,,,,,,1,382773,24.296384541229397
Antofagasta,14.0,263.0,1,2020/04/20,,,,,,,,,2,691854,38.01380059954846
Atacama,0.0,13.0,0,2020/04/20,,,,,,,,,3,314709,4.130800199549425
Coquimbo,1.0,69.0,0,2020/04/20,,,,,,,,,4,836096,8.252640845070422
Valparaíso,7.0,388.0,5,2020/04/20,,,,,,,,,5,1960170,19.79420152333726
Metropolitana,262.0,5643.0,67,2020/04/20,,,,,,,,,13,8125072,69.45169224346566
O’Higgins,1.0,56.0,0,2020/04/20,,,,,,,,,6,991063,5.65049850514044
Maule,2.0,304.0,10,2020/04/20,,,,,,,,,7,1131939,26.85657089295448
Ñuble,9.0,687.0,13,2020/04/20,,,,,,,,,16,511551,134.29746007729435
Biobío,10.0,626.0,3,2020/04/20,,,,,,,,,8,1663696,37.627066483299835
Araucanía,73.0,1045.0,23,2020/04/20,,,,,,,,,9,1014343,103.02235042781386
Los Ríos,5.0,162.0,3,2020/04/20,,,,,,,,,14,405835,39.91770054332426
Los Lagos,3.0,424.0,6,2020/04/20,,,,,,,,,10,891440,47.56349277573364
Aysén,0.0,7.0,0,2020/04/20,,,,,,,,,11,107297,6.523947547461719
Magallanes,13.0,566.0,6,2020/04/20,,,,,,,,,12,178362,317.33216716565187
Arica y Parinacota,,,7,2020/05/20,424.0,2.0,2.0,0.0,0.79%,,,,15,252110,
Tarapacá,,,4,2020/05/20,1139.0,30.0,28.0,2.0,2.12%,,,,1,382773,
Antofagasta,,,17,2020/05/20,1731.0,83.0,51.0,32.0,3.23%,,,,2,691854,
Atacama,,,0,2020/05/20,163.0,5.0,3.0,2.0,0.30%,,,,3,314709,
Coquimbo,,,2,2020/05/20,263.0,24.0,13.0,11.0,0.49%,,,,4,836096,
Valparaíso,,,35,2020/05/20,1770.0,131.0,107.0,24.0,3.30%,,,,5,1960170,
Metropolitana,,,348,2020/05/20,41179.0,3588.0,3298.0,290.0,76.80%,,,,13,8125072,
O’Higgins,,,7,2020/05/20,455.0,13.0,11.0,2.0,0.85%,,,,6,991063,
Maule,,,14,2020/05/20,680.0,40.0,29.0,11.0,1.27%,,,,7,1131939,
Ñuble,,,21,2020/05/20,1011.0,23.0,20.0,3.0,1.89%,,,,16,511551,
Biobío,,,9,2020/05/20,1224.0,52.0,43.0,9.0,2.28%,,,,8,1663696,
Araucanía,,,44,2020/05/20,1680.0,14.0,10.0,4.0,3.13%,,,,9,1014343,
Los Ríos,,,6,2020/05/20,247.0,18.0,17.0,1.0,0.46%,,,,14,405835,
Los Lagos,,,12,2020/05/20,666.0,10.0,10.0,0.0,1.24%,,,,10,891440,
Aysén,,,0,2020/05/20,8.0,0.0,0.0,0.0,0.01%,,,,11,107297,
Magallanes,,,18,2020/05/20,977.0,5.0,5.0,0.0,1.82%,,,,12,178362,
Arica y Parinacota,0.0,0.0,0,2020/03/16,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/16,,,,,,,,,1,382773,0.0
Antofagasta,0.0,2.0,0,2020/03/16,,,,,,,,,2,691854,0.2890783315555016
Atacama,0.0,1.0,0,2020/03/16,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,0.0,0.0,0,2020/03/16,,,,,,,,,4,836096,0.0
Valparaíso,1.0,1.0,0,2020/03/16,,,,,,,,,5,1960170,0.05101598330757026
Metropolitana,69.0,123.0,0,2020/03/16,,,,,,,,,13,8125072,1.5138327389591133
O’Higgins,0.0,0.0,0,2020/03/16,,,,,,,,,6,991063,0.0
Maule,0.0,9.0,0,2020/03/16,,,,,,,,,7,1131939,0.7950958488045735
Ñuble,8.0,12.0,0,2020/03/16,,,,,,,,,16,511551,2.345807162922172
Biobío,1.0,4.0,0,2020/03/16,,,,,,,,,8,1663696,0.24042853982939189
Araucanía,1.0,1.0,0,2020/03/16,,,,,,,,,9,1014343,0.09858598127063527
Los Ríos,1.0,1.0,0,2020/03/16,,,,,,,,,14,405835,0.24640555890940902
Los Lagos,0.0,1.0,0,2020/03/16,,,,,,,,,10,891440,0.1121780489993718
Aysén,0.0,1.0,0,2020/03/16,,,,,,,,,11,107297,0.9319925067802455
Magallanes,0.0,0.0,0,2020/03/16,,,,,,,,,12,178362,0.0
Arica y Parinacota,0.0,0.0,0,2020/03/04,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/04,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/04,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/04,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/04,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/04,,,,,,,,,5,1960170,0.0
Metropolitana,1.0,1.0,0,2020/03/04,,,,,,,,,13,8125072,0.012307583243570026
O’Higgins,0.0,0.0,0,2020/03/04,,,,,,,,,6,991063,0.0
Maule,1.0,2.0,0,2020/03/04,,,,,,,,,7,1131939,0.1766879664010163
Ñuble,0.0,0.0,0,2020/03/04,,,,,,,,,16,511551,0.0
Biobío,0.0,0.0,0,2020/03/04,,,,,,,,,8,1663696,0.0
Araucanía,0.0,0.0,0,2020/03/04,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/04,,,,,,,,,14,405835,0.0
Los Lagos,0.0,0.0,0,2020/03/04,,,,,,,,,10,891440,0.0
Aysén,0.0,0.0,0,2020/03/04,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/04,,,,,,,,,12,178362,0.0
Arica y Parinacota,,,4,2020/05/04,308.0,0.0,0.0,0.0,1.49%,,,,15,252110,
Tarapacá,,,1,2020/05/04,295.0,23.0,16.0,7.0,1.43%,,,,1,382773,
Antofagasta,,,7,2020/05/04,760.0,20.0,14.0,6.0,3.68%,,,,2,691854,
Atacama,,,0,2020/05/04,70.0,3.0,2.0,1.0,0.34%,,,,3,314709,
Coquimbo,,,0,2020/05/04,91.0,3.0,1.0,2.0,0.44%,,,,4,836096,
Valparaíso,,,13,2020/05/04,656.0,18.0,18.0,0.0,3.18%,,,,5,1960170,
Metropolitana,,,143,2020/05/04,13528.0,872.0,790.0,82.0,65.53%,,,,13,8125072,
O’Higgins,,,3,2020/05/04,131.0,6.0,6.0,0.0,0.63%,,,,6,991063,
Maule,,,13,2020/05/04,399.0,2.0,2.0,0.0,1.93%,,,,7,1131939,
Ñuble,,,17,2020/05/04,787.0,1.0,0.0,1.0,3.81%,,,,16,511551,
Biobío,,,8,2020/05/04,762.0,3.0,3.0,0.0,3.69%,,,,8,1663696,
Araucanía,,,36,2020/05/04,1331.0,3.0,1.0,2.0,6.45%,,,,9,1014343,
Los Ríos,,,4,2020/05/04,199.0,1.0,1.0,0.0,0.96%,,,,14,405835,
Los Lagos,,,10,2020/05/04,524.0,7.0,5.0,2.0,2.54%,,,,10,891440,
Aysén,,,0,2020/05/04,7.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,11,2020/05/04,795.0,18.0,17.0,1.0,3.85%,,,,12,178362,
Arica y Parinacota,0.0,12.0,0,2020/04/04,,,,,,,,,15,252110,4.759827059616834
Tarapacá,4.0,17.0,0,2020/04/04,,,,,,,,,1,382773,4.441274593558062
Antofagasta,1.0,55.0,0,2020/04/04,,,,,,,,,2,691854,7.949654117776293
Atacama,0.0,5.0,0,2020/04/04,,,,,,,,,3,314709,1.5887693075190097
Coquimbo,9.0,44.0,0,2020/04/04,,,,,,,,,4,836096,5.262553582363748
Valparaíso,9.0,185.0,1,2020/04/04,,,,,,,,,5,1960170,9.437956911900498
Metropolitana,215.0,1957.0,9,2020/04/04,,,,,,,,,13,8125072,24.08594040766654
O’Higgins,5.0,38.0,0,2020/04/04,,,,,,,,,6,991063,3.83426684277387
Maule,8.0,97.0,1,2020/04/04,,,,,,,,,7,1131939,8.569366370449291
Ñuble,31.0,401.0,2,2020/04/04,,,,,,,,,16,511551,78.38905602764925
Biobío,45.0,347.0,2,2020/04/04,,,,,,,,,8,1663696,20.857175830199747
Araucanía,45.0,477.0,9,2020/04/04,,,,,,,,,9,1014343,47.025513066093026
Los Ríos,11.0,89.0,1,2020/04/04,,,,,,,,,14,405835,21.930094742937403
Los Lagos,25.0,259.0,0,2020/04/04,,,,,,,,,10,891440,29.054114690837295
Aysén,0.0,6.0,0,2020/04/04,,,,,,,,,11,107297,5.591955040681473
Magallanes,16.0,172.0,2,2020/04/04,,,,,,,,,12,178362,96.4330967358518
Arica y Parinacota,0.0,1.0,0,2020/03/20,,,,,,,,,15,252110,0.3966522549680695
Tarapacá,0.0,0.0,0,2020/03/20,,,,,,,,,1,382773,0.0
Antofagasta,4.0,6.0,0,2020/03/20,,,,,,,,,2,691854,0.8672349946665048
Atacama,0.0,1.0,0,2020/03/20,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,1.0,3.0,0,2020/03/20,,,,,,,,,4,836096,0.358810471524801
Valparaíso,1.0,5.0,0,2020/03/20,,,,,,,,,5,1960170,0.25507991653785134
Metropolitana,57.0,304.0,0,2020/03/20,,,,,,,,,13,8125072,3.7415053060452883
O’Higgins,4.0,6.0,0,2020/03/20,,,,,,,,,6,991063,0.60541055412219
Maule,0.0,14.0,0,2020/03/20,,,,,,,,,7,1131939,1.2368157648071143
Ñuble,16.0,44.0,0,2020/03/20,,,,,,,,,16,511551,8.601292930714632
Biobío,5.0,19.0,0,2020/03/20,,,,,,,,,8,1663696,1.1420355641896116
Araucanía,2.0,9.0,0,2020/03/20,,,,,,,,,9,1014343,0.8872738314357176
Los Ríos,0.0,1.0,0,2020/03/20,,,,,,,,,14,405835,0.24640555890940902
Los Lagos,2.0,18.0,0,2020/03/20,,,,,,,,,10,891440,2.0192048819886925
Aysén,0.0,1.0,0,2020/03/20,,,,,,,,,11,107297,0.9319925067802455
Magallanes,0.0,2.0,0,2020/03/20,,,,,,,,,12,178362,1.1213150783238583
Arica y Parinacota,,,7,2020/05/16,377.0,9.0,7.0,2.0,0.91%,,,,15,252110,
Tarapacá,,,2,2020/05/16,845.0,66.0,51.0,15.0,2.04%,,,,1,382773,
Antofagasta,,,12,2020/05/16,1429.0,98.0,71.0,27.0,3.45%,,,,2,691854,
Atacama,,,0,2020/05/16,146.0,3.0,3.0,0.0,0.35%,,,,3,314709,
Coquimbo,,,2,2020/05/16,187.0,7.0,0.0,7.0,0.45%,,,,4,836096,
Valparaíso,,,28,2020/05/16,1365.0,53.0,33.0,20.0,3.29%,,,,5,1960170,
Metropolitana,,,246,2020/05/16,30794.0,1518.0,1319.0,199.0,74.33%,,,,13,8125072,
O’Higgins,,,5,2020/05/16,329.0,6.0,6.0,0.0,0.79%,,,,6,991063,
Maule,,,14,2020/05/16,551.0,11.0,9.0,2.0,1.33%,,,,7,1131939,
Ñuble,,,20,2020/05/16,921.0,36.0,14.0,22.0,2.22%,,,,16,511551,
Biobío,,,9,2020/05/16,1074.0,38.0,29.0,9.0,2.59%,,,,8,1663696,
Araucanía,,,43,2020/05/16,1587.0,23.0,16.0,7.0,3.83%,,,,9,1014343,
Los Ríos,,,6,2020/05/16,219.0,0.0,0.0,0.0,0.53%,,,,14,405835,
Los Lagos,,,11,2020/05/16,644.0,3.0,3.0,0.0,1.55%,,,,10,891440,
Aysén,,,0,2020/05/16,8.0,0.0,0.0,0.0,0.02%,,,,11,107297,
Magallanes,,,16,2020/05/16,952.0,15.0,12.0,3.0,2.30%,,,,12,178362,
Arica y Parinacota,5.0,129.0,1,2020/04/16,,,,,,,,,15,252110,51.16814089088096
Tarapacá,4.0,66.0,0,2020/04/16,,,,,,,,,1,382773,17.242595480872478
Antofagasta,16.0,192.0,1,2020/04/16,,,,,,,,,2,691854,27.751519829328153
Atacama,0.0,13.0,0,2020/04/16,,,,,,,,,3,314709,4.130800199549425
Coquimbo,2.0,68.0,0,2020/04/16,,,,,,,,,4,836096,8.133037354562155
Valparaíso,31.0,330.0,4,2020/04/16,,,,,,,,,5,1960170,16.835274491498186
Metropolitana,348.0,4682.0,48,2020/04/16,,,,,,,,,13,8125072,57.624104746394856
O’Higgins,0.0,54.0,0,2020/04/16,,,,,,,,,6,991063,5.44869498709971
Maule,15.0,167.0,4,2020/04/16,,,,,,,,,7,1131939,14.753445194484863
Ñuble,5.0,639.0,10,2020/04/16,,,,,,,,,16,511551,124.91423142560566
Biobío,17.0,559.0,2,2020/04/16,,,,,,,,,8,1663696,33.59988844115752
Araucanía,56.0,882.0,21,2020/04/16,,,,,,,,,9,1014343,86.95283548070032
Los Ríos,3.0,153.0,3,2020/04/16,,,,,,,,,14,405835,37.70005051313957
Los Lagos,9.0,399.0,5,2020/04/16,,,,,,,,,10,891440,44.759041550749345
Aysén,0.0,7.0,0,2020/04/16,,,,,,,,,11,107297,6.523947547461719
Magallanes,23.0,467.0,6,2020/04/16,,,,,,,,,12,178362,261.8270707886209
Arica y Parinacota,12.0,87.0,0,2020/04/10,,,,,,,,,15,252110,34.50874618222204
Tarapacá,6.0,35.0,0,2020/04/10,,,,,,,,,1,382773,9.14380063379601
Antofagasta,18.0,110.0,1,2020/04/10,,,,,,,,,2,691854,15.899308235552587
Atacama,3.0,13.0,0,2020/04/10,,,,,,,,,3,314709,4.130800199549425
Coquimbo,0.0,61.0,0,2020/04/10,,,,,,,,,4,836096,7.295812921004287
Valparaíso,11.0,241.0,2,2020/04/10,,,,,,,,,5,1960170,12.294851977124432
Metropolitana,361.0,3193.0,29,2020/04/10,,,,,,,,,13,8125072,39.298113296719094
O’Higgins,0.0,44.0,0,2020/04/10,,,,,,,,,6,991063,4.439677396896061
Maule,3.0,131.0,2,2020/04/10,,,,,,,,,7,1131939,11.573061799266569
Ñuble,18.0,589.0,6,2020/04/10,,,,,,,,,16,511551,115.14003491342994
Biobío,14.0,474.0,2,2020/04/10,,,,,,,,,8,1663696,28.49078196978294
Araucanía,23.0,712.0,16,2020/04/10,,,,,,,,,9,1014343,70.19321866469232
Los Ríos,6.0,124.0,2,2020/04/10,,,,,,,,,14,405835,30.554289304766712
Los Lagos,9.0,349.0,2,2020/04/10,,,,,,,,,10,891440,39.15013910078076
Aysén,0.0,7.0,0,2020/04/10,,,,,,,,,11,107297,6.523947547461719
Magallanes,45.0,331.0,3,2020/04/10,,,,,,,,,12,178362,185.57764546259853
Arica y Parinacota,1.0,3.0,0,2020/03/26,,,,,,,,,15,252110,1.1899567649042084
Tarapacá,1.0,5.0,0,2020/03/26,,,,,,,,,1,382773,1.30625723339943
