Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-21,0.0,0.0,0.0,4.0,2.0,3.0,23.0,60.0,57.0,17.0,0.0,0.0,0.0
Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapacá,1.0,Alto Hospicio,1107.0,129999.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,8.0,8.0,0.0,0.0,0.0
Tarapacá,1.0,Camina,1402.0,1375.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapacá,1.0,Colchane,1403.0,1583.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapacá,1.0,Huara,1404.0,3000.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapacá,1.0,Iquique,1101.0,223463.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,9.0,6.0,11.0,5.0,5.0,0.0,0.0,0.0
Tarapacá,1.0,Pica,1405.0,5958.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,6.0,0.0,0.0,0.0
Tarapacá,1.0,Pozo Almonte,1401.0,17395.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,26.0,31.0,33.0,49.0,41.0,1.0,0.0,0.0
Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-21,0.0,0.0,1.0,0.0,2.0,3.0,2.0,7.0,8.0,2.0,0.0,0.0,0.0
Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
