Region,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Aisen,Aisen,Aisen,Aisen,Aisen,Aisen,Aisen,Aisen,Aisen,Aisen,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes
Codigo region,15,15,15,15,01,01,01,01,01,01,01,02,02,02,02,02,02,02,02,02,03,03,03,03,03,03,03,03,03,04,04,04,04,04,04,04,04,04,04,04,04,04,04,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12
Comuna,Arica,Camarones,General Lagos,Putre,Alto Hospicio,Camina,Colchane,Huara,Iquique,Pica,Pozo Almonte,Antofagasta,Calama,Maria Elena,Mejillones,Ollague,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Alto del Carmen,Caldera,Chanaral,Copiapo,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Andacollo,Canela,Combarbala,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Rio Hurtado,Salamanca,Vicuna,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concon,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernandez,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Nogales,Olmue,Panquehue,Papudo,Petorca,Puchuncavi,Putaendo,Quillota,Quilpue,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa Maria,Santo Domingo,Valparaiso,Villa Alemana,Vina del Mar,Zapallar,Alhue,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchali,Curacavi,El Bosque,El Monte,Estacion Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipu,Maria Pinto,Melipilla,Nunoa,Padre Hurtado,Paine,Pedro Aguirre Cerda,Penaflor,Penalolen,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquin,San Jose de Maipo,San Miguel,San Pedro,San Ramon,Santiago,Talagante,Tiltil,Vitacura,Chepica,Chimbarongo,Codegua,Coinco,Coltauco,Donihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machali,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requinoa,San Fernando,San Vicente,Santa Cruz,Cauquenes,Chanco,Colbun,Constitucion,Curepto,Curico,Empedrado,Hualane,Licanten,Linares,Longavi,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Rio Claro,Romeral,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquen,Villa Alegre,Yerbas Buenas,Bulnes,Chillan,Chillan Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Niquen,Pemuco,Pinto,Portezuelo,Quillon,Quirihue,Ranquil,San Carlos,San Fabian,San Ignacio,San Nicolas,Treguaco,Yungay,Alto Biobio,Antuco,Arauco,Cabrero,Canete,Chiguayante,Concepcion,Contulmo,Coronel,Curanilahue,Florida,Hualpen,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchen,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Barbara,Santa Juana,Talcahuano,Tirua,Tome,Tucapel,Yumbel,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautin,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquen,Pucon,Puren,Renaico,Saavedra,Temuco,Teodoro Schmidt,Tolten,Traiguen,Victoria,Vilcun,Villarrica,Corral,Futrono,La Union,Lago Ranco,Lanco,Los Lagos,Mafil,Mariquina,Paillaco,Panguipulli,Rio Bueno,Valdivia,Ancud,Calbuco,Castro,Chaiten,Chonchi,Cochamo,Curaco de Velez,Dalcahue,Fresia,Frutillar,Futaleufu,Hualaihue,Llanquihue,Los Muermos,Maullin,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldon,Purranque,Puyehue,Queilen,Quellon,Quemchi,Quinchao,Rio Negro,San Juan de la Costa,San Pablo,Aisen,Chile Chico,Cisnes,Cochrane,Coyhaique,Guaitecas,Lago Verde,OHiggins,Rio Ibanez,Tortel,Antartica,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Rio Verde,San Gregorio,Timaukel,Torres del Paine
Codigo comuna,15101,15102,15202,15201,01107,01402,01403,01404,01101,01405,01401,02101,02201,02302,02102,02202,02203,02103,02104,02301,03302,03102,03201,03101,03202,03303,03304,03103,03301,04103,04202,04302,04102,04201,04104,04101,04203,04303,04301,04105,04304,04305,04204,04106,05602,05402,05502,05302,05603,05102,05702,05103,05604,05605,05503,05201,05104,05504,05401,05802,05703,05301,05506,05803,05704,05403,05404,05105,05705,05501,05801,05107,05303,05601,05304,05701,05706,05606,05101,05804,05109,05405,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13120,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,06302,06303,06102,06103,06104,06105,06106,06202,06107,06203,06304,06108,06109,06204,06110,06305,06205,06111,06306,06206,06307,06112,06113,06201,06308,06309,06114,06101,06115,06116,06301,06117,06310,07201,07202,07402,07102,07103,07301,07104,07302,07303,07401,07403,07105,07304,07404,07106,07203,07107,07305,07405,07108,07306,07307,07109,07406,07110,07101,07308,07309,07407,07408,16102,16101,16103,16202,16203,16302,16104,16204,16303,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,08314,08302,08202,08303,08203,08103,08101,08204,08102,08205,08104,08112,08105,08304,08201,08206,08301,08106,08305,08306,08307,08107,08308,08309,08108,08310,08311,08109,08110,08207,08111,08312,08313,09201,09102,09121,09202,09103,09203,09104,09204,09105,09106,09107,09108,09109,09205,09206,09207,09110,09111,09112,09113,09114,09115,09208,09209,09116,09101,09117,09118,09210,09211,09119,09120,14102,14202,14201,14203,14103,14104,14105,14106,14107,14108,14204,14101,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,11201,11401,11202,11301,,11203,11102,,11402,11303,12202,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402
Poblacion,247552.0,1233.0,810.0,2515.0,129999.0,1375.0,1583.0,3000.0,223463.0,5958.0,17395.0,425725.0,190336.0,6814.0,14776.0,287.0,10434.0,1746.0,13657.0,28079.0,5729.0,19426.0,13164.0,171766.0,14358.0,7681.0,11264.0,14312.0,57009.0,11791.0,9546.0,13884.0,256735.0,32801.0,4450.0,249656.0,23374.0,32527.0,121269.0,4675.0,12165.0,4372.0,29110.0,29741.0,15174.0,20663.0,53591.0,16482.0,25357.0,29170.0,15213.0,45889.0,17742.0,14338.0,19099.0,8277.0,1033.0,25321.0,37739.0,49931.0,26533.0,68093.0,23490.0,19266.0,7633.0,6201.0,10558.0,20071.0,17645.0,97572.0,167085.0,36135.0,11263.0,96761.0,20643.0,83494.0,16367.0,11934.0,315732.0,139310.0,361371.0,7994.0,7405.0,109641.0,28525.0,88956.0,142465.0,180353.0,139195.0,36430.0,172000.0,40014.0,206792.0,112528.0,142065.0,40171.0,100434.0,402433.0,122557.0,189335.0,100252.0,126898.0,330759.0,124076.0,103865.0,104403.0,134635.0,578605.0,14926.0,141612.0,250192.0,74188.0,82766.0,107803.0,101058.0,266798.0,30433.0,157749.0,253139.0,645909.0,254694.0,136368.0,190075.0,160847.0,334836.0,103485.0,18644.0,133059.0,11953.0,86510.0,503147.0,81838.0,21477.0,96774.0,15925.0,37696.0,14096.0,7831.0,21263.0,22700.0,36504.0,3114.0,26749.0,6765.0,7289.0,59913.0,14163.0,7632.0,27462.0,19141.0,6904.0,14624.0,13299.0,6349.0,11848.0,14952.0,20743.0,17882.0,9164.0,3531.0,13877.0,265211.0,63710.0,30371.0,78642.0,50617.0,41096.0,44143.0,9331.0,22565.0,50348.0,9426.0,163626.0,4206.0,10222.0,6989.0,101073.0,32810.0,60000.0,49800.0,44544.0,9083.0,8092.0,8601.0,11248.0,21071.0,14753.0,16170.0,19469.0,46292.0,49451.0,9959.0,236724.0,30850.0,4381.0,17512.0,19200.0,22607.0,198624.0,33827.0,5275.0,16845.0,28375.0,12334.0,5414.0,11567.0,8639.0,11880.0,4940.0,18777.0,12192.0,6261.0,56252.0,4654.0,16624.0,12172.0,5696.0,18596.0,6775.0,4306.0,38679.0,30725.0,37003.0,91180.0,238092.0,6330.0,125829.0,33892.0,11841.0,97273.0,26201.0,23873.0,27100.0,22524.0,218515.0,45750.0,31041.0,27944.0,10429.0,49865.0,4179.0,10032.0,145906.0,3611.0,14592.0,14779.0,158345.0,11019.0,58729.0,15205.0,22132.0,56058.0,25486.0,12341.0,26148.0,18055.0,18178.0,7802.0,8458.0,25446.0,12633.0,15148.0,40746.0,24739.0,11049.0,7517.0,10050.0,6265.0,33777.0,82110.0,7223.0,26096.0,29782.0,12188.0,10833.0,12793.0,302931.0,15786.0,10055.0,19314.0,35467.0,30766.0,59103.0,5447.0,15261.0,39538.0,10292.0,17652.0,20518.0,7389.0,23250.0,20798.0,35991.0,32925.0,176774.0,42458.0,36744.0,47607.0,5020.0,16013.0,4006.0,4066.0,15069.0,12656.0,20223.0,2806.0,9525.0,18621.0,17817.0,14894.0,173410.0,1827.0,269398.0,9192.0,48620.0,4201.0,21080.0,11787.0,5543.0,29309.0,8783.0,8298.0,14275.0,7639.0,10553.0,25002.0,5121.0,5828.0,3685.0,61210.0,1599.0,920.0,661.0,2699.0,572.0,137.0,1983.0,264.0,23782.0,7323.0,694.0,141984.0,211.0,681.0,282.0,1021.0
SE9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
SE10,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,3,-,-,-,-,1,-,-,-,1,2,-,-,-,-,6,2,-,-,1,-,-,1,-,1,1,-,1,2,-,3,1,-,2,2,-,-,1,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SE11,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,2,1,7,-,-,-,-,2,8,6,1,1,2,-,2,4,3,-,-,12,1,2,12,-,58,14,1,2,3,12,-,1,25,-,-,2,4,9,1,28,1,7,3,4,5,4,6,-,1,3,-,-,27,-,-,29,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,30,4,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,1,-,-,-,-,1,-,-,3,7,-,-,-,-,-,1,1,-,-,2,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,24,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,11,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,1,-,-,-,1,-,-,4,-,-,-,-
SE12,3,-,-,-,2,-,-,-,9,-,-,25,3,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,3,1,-,2,-,-,1,1,-,3,-,2,-,-,1,-,1,1,-,-,2,-,-,1,2,1,1,-,-,-,-,1,-,1,2,2,3,-,1,-,3,-,1,10,7,21,-,-,3,4,4,12,29,14,2,13,1,11,18,13,2,10,27,6,6,14,8,120,51,4,4,11,45,-,4,48,5,2,4,3,25,2,59,18,48,16,12,14,7,20,13,1,22,-,1,91,4,2,45,-,1,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,1,2,-,-,-,-,-,-,-,3,-,-,-,2,1,1,1,1,-,1,-,-,-,1,1,-,-,-,-,13,-,-,-,-,8,119,5,-,-,3,1,-,-,1,2,-,8,-,3,7,2,2,2,-,6,-,-,1,-,-,6,30,-,3,1,-,5,1,-,-,-,4,1,1,2,-,1,-,-,16,-,1,-,6,1,6,-,-,3,1,1,-,-,2,1,-,2,-,4,4,2,-,-,-,-,6,10,1,4,3,-,-,-,137,2,3,-,2,5,2,-,1,2,1,-,-,1,2,1,1,4,26,-,3,2,-,-,-,-,-,-,-,-,-,-,1,-,56,-,25,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,8,-,3,-,-,61,-,-,-,-
SE13,23,-,-,-,4,-,-,-,6,1,-,28,2,-,1,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,3,4,-,7,-,-,4,-,-,-,2,-,4,-,6,-,-,-,-,4,-,2,-,1,-,1,-,-,1,2,-,-,-,-,4,-,-,8,8,2,-,5,-,2,2,-,16,3,28,-,-,18,5,8,10,16,12,4,20,1,23,7,8,1,7,51,13,13,11,11,64,25,6,18,19,62,-,6,35,9,-,13,8,32,2,18,18,81,24,21,15,10,31,21,1,19,-,11,83,8,1,27,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,-,-,1,-,-,1,-,2,4,-,-,1,3,1,2,-,3,4,-,6,-,-,-,5,-,1,2,3,-,-,-,1,-,-,2,-,-,2,1,19,-,-,-,-,27,119,22,-,2,2,1,-,-,-,3,-,8,1,2,9,3,3,4,-,11,-,-,2,-,-,5,32,-,6,-,2,20,2,4,-,-,12,-,4,3,-,3,-,-,30,-,1,-,32,2,4,-,5,11,3,3,-,3,-,2,-,3,1,4,4,1,-,-,-,-,10,19,1,7,-,2,1,-,148,2,1,-,7,9,11,-,3,6,1,1,-,-,-,-,-,2,31,-,1,-,1,-,-,-,-,-,1,-,3,1,-,-,106,-,20,-,1,-,3,-,-,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,7,-,1,3,-,111,-,-,-,-
SE14,58,-,-,-,4,-,-,-,10,2,2,27,6,-,7,-,1,-,2,-,-,-,-,2,-,-,-,2,-,-,-,-,1,7,-,2,-,-,-,-,-,-,1,-,-,-,1,1,2,1,-,1,2,-,-,2,-,2,1,5,-,2,-,1,-,-,1,-,-,3,7,-,-,10,-,1,-,2,12,1,16,-,-,9,1,8,11,16,14,4,24,6,23,14,18,6,11,44,17,21,13,12,31,17,24,12,12,64,-,4,35,5,4,13,4,33,1,21,24,123,34,32,23,6,52,13,-,22,-,7,117,7,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,-,-,1,1,1,2,-,2,1,3,3,-,-,-,5,1,1,-,1,-,-,-,1,-,1,-,1,-,6,-,7,-,-,-,-,9,73,8,-,2,3,1,2,-,3,4,1,6,3,5,9,1,1,4,-,23,-,-,2,4,-,14,23,-,8,-,-,39,1,-,-,-,4,-,-,3,2,3,-,-,17,-,-,-,17,1,9,-,-,8,9,-,1,2,3,-,3,-,1,1,13,2,-,-,-,-,6,9,1,4,1,-,1,-,124,-,2,2,4,10,4,-,1,5,-,1,-,-,4,-,1,4,21,-,2,5,-,-,-,-,-,-,3,-,-,1,-,-,51,-,11,-,2,-,10,1,-,-,-,-,2,11,4,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,156,-,-,-,-
