SEREMI notificacion,Codigo region,Semana Epidemiologica,Casos confirmados
Arica y Parinacota,15,SE7,0
Tarapaca,01,SE7,0
Antofagasta,02,SE7,0
Atacama,03,SE7,0
Coquimbo,04,SE7,0
Valparaiso,05,SE7,0
Metropolitana,13,SE7,0
Del Libertador General Bernardo O’Higgins,06,SE7,0
Maule,07,SE7,0
Nuble,16,SE7,0
Biobio,08,SE7,0
La Araucania,09,SE7,0
Los Rios,14,SE7,0
Los Lagos,10,SE7,0
Aysen,11,SE7,0
Magallanes y la Antartica,12,SE7,0
Arica y Parinacota,15,SE8,0
Tarapaca,01,SE8,0
Antofagasta,02,SE8,0
Atacama,03,SE8,0
Coquimbo,04,SE8,0
Valparaiso,05,SE8,0
Metropolitana,13,SE8,0
Del Libertador General Bernardo O’Higgins,06,SE8,0
Maule,07,SE8,0
Nuble,16,SE8,0
Biobio,08,SE8,0
La Araucania,09,SE8,0
Los Rios,14,SE8,0
Los Lagos,10,SE8,0
Aysen,11,SE8,0
Magallanes y la Antartica,12,SE8,0
Arica y Parinacota,15,SE9,0
Tarapaca,01,SE9,0
Antofagasta,02,SE9,0
Atacama,03,SE9,0
Coquimbo,04,SE9,0
Valparaiso,05,SE9,0
Metropolitana,13,SE9,0
Del Libertador General Bernardo O’Higgins,06,SE9,0
Maule,07,SE9,0
Nuble,16,SE9,0
Biobio,08,SE9,0
La Araucania,09,SE9,0
Los Rios,14,SE9,0
Los Lagos,10,SE9,0
Aysen,11,SE9,0
Magallanes y la Antartica,12,SE9,0
Arica y Parinacota,15,SE10,0
Tarapaca,01,SE10,0
Antofagasta,02,SE10,0
Atacama,03,SE10,0
Coquimbo,04,SE10,0
Valparaiso,05,SE10,0
Metropolitana,13,SE10,0
Del Libertador General Bernardo O’Higgins,06,SE10,0
Maule,07,SE10,0
Nuble,16,SE10,0
Biobio,08,SE10,0
La Araucania,09,SE10,0
Los Rios,14,SE10,0
Los Lagos,10,SE10,0
Aysen,11,SE10,0
Magallanes y la Antartica,12,SE10,0
Arica y Parinacota,15,SE11,0
Tarapaca,01,SE11,0
Antofagasta,02,SE11,0
Atacama,03,SE11,0
Coquimbo,04,SE11,0
Valparaiso,05,SE11,0
Metropolitana,13,SE11,0
Del Libertador General Bernardo O’Higgins,06,SE11,0
Maule,07,SE11,0
Nuble,16,SE11,0
Biobio,08,SE11,0
La Araucania,09,SE11,0
Los Rios,14,SE11,0
Los Lagos,10,SE11,9
