Grupo de edad,00 - 04 años,05 - 09 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 y más años,00 - 04 años,05 - 09 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 y más años
Sexo,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2020-03-25,4,2,7,8,25,61,88,72,62,47,28,30,18,14,16,8,6,6,4,2,12,43,65,80,79,63,48,33,28,27,10,7,7,2
2020-03-26,5,2,8,9,32,75,106,86,71,55,45,34,26,18,21,8,9,7,5,3,14,50,77,98,95,82,60,46,37,34,13,11,8,2
2020-03-27,5,2,8,13,35,87,115,96,82,69,53,44,31,23,23,9,9,7,5,4,16,54,91,113,103,90,69,54,39,38,20,13,11,3
2020-03-28,5,4,10,16,46,100,137,119,97,86,72,58,39,27,26,12,13,9,6,6,17,60,109,131,115,95,79,67,54,47,25,16,13,7
2020-03-29,5,4,10,17,52,107,139,133,112,95,74,69,52,34,27,15,14,10,9,6,20,66,118,144,124,108,92,71,58,50,29,20,13,9
2020-03-30,5,4,10,18,58,116,149,142,125,108,83,76,56,38,30,18,15,10,9,9,25,66,131,160,129,113,105,79,66,53,35,22,14,11
2020-03-31,6,4,10,22,64,128,170,158,141,125,95,86,65,45,31,19,18,12,11,12,29,77,151,179,149,125,120,89,78,61,38,25,17,13
2020-04-01,7,7,12,26,72,147,188,174,157,139,117,107,78,50,41,25,22,12,12,13,32,93,172,205,163,154,134,110,89,70,45,32,22,17
2020-04-02,7,7,12,27,84,154,199,185,164,151,124,116,83,55,43,27,25,12,12,15,35,101,182,221,181,160,141,119,94,78,48,33,24,19
2020-04-03,8,9,13,34,99,187,226,213,188,171,142,130,91,63,48,35,27,13,15,17,43,119,222,254,206,180,156,139,110,90,52,43,29,26
2020-04-04,10,10,16,37,118,222,251,234,202,192,158,139,107,70,57,43,31,13,15,20,48,130,247,267,228,194,174,154,124,99,60,50,35,30
2020-04-05,9,11,21,42,125,236,274,251,220,206,170,148,110,75,61,46,37,13,16,20,52,138,266,281,252,209,196,172,130,105,64,56,39,31
2020-04-06,11,13,23,50,138,252,295,263,234,221,180,159,115,82,67,48,40,15,16,23,56,144,281,297,263,217,204,180,143,113,67,58,41,37
2020-04-07,12,14,23,52,145,268,310,276,246,234,190,170,126,91,73,50,46,16,18,25,64,150,298,309,277,232,214,194,153,124,74,60,42,41
2020-04-08,18,17,31,56,175,312,353,324,284,274,220,197,145,101,86,60,54,21,23,34,78,177,344,357,316,272,249,237,185,138,84,69,48,58
2020-04-09,22,18,34,60,192,332,372,340,308,289,234,216,155,110,92,66,59,27,30,36,85,205,372,378,334,290,266,251,202,148,89,74,52,72
2020-04-10,30,20,37,65,209,366,405,372,327,303,259,232,171,119,100,70,65,30,31,39,89,217,403,413,358,314,283,271,213,155,99,82,57,88
2020-04-11,37,27,40,69,235,389,431,384,338,326,270,245,182,125,106,74,74,32,33,42,99,230,432,440,382,329,304,282,225,166,111,87,61,95
2020-04-12,39,27,46,73,243,409,440,399,358,342,284,258,190,130,108,77,78,36,35,44,104,239,458,470,392,342,319,294,232,175,116,94,64,101
2020-04-13,38,27,51,77,252,434,469,423,387,357,308,268,201,135,112,80,80,39,37,48,108,253,477,494,419,369,338,315,243,188,119,95,64,107
2020-04-14,41,29,53,79,274,457,494,438,393,363,323,275,214,144,118,81,84,41,38,48,113,264,494,515,428,387,345,317,258,199,129,100,67,113
2020-04-15,46,32,57,86,290,486,526,461,415,386,337,295,224,151,127,88,92,46,40,50,121,284,518,550,459,414,367,336,283,211,140,110,71,117
2020-04-16,49,35,65,96,309,519,552,494,437,407,363,319,239,160,132,93,97,55,44,54,131,297,543,575,488,446,394,357,302,220,147,118,79,124
2020-04-17,52,38,71,103,327,558,578,520,455,432,376,336,258,172,140,99,101,60,48,57,136,316,574,603,514,472,422,375,321,234,155,127,85,137
2020-04-18,61,42,81,109,343,577,608,543,467,446,393,356,270,179,152,103,105,65,53,62,142,339,599,635,552,493,449,392,336,245,160,133,92,148
2020-04-19,65,44,86,113,353,596,625,567,484,461,403,362,274,182,157,108,111,69,55,67,152,356,622,659,570,513,468,406,351,251,166,137,95,160
2020-04-20,66,45,90,116,368,613,646,584,502,481,416,375,282,193,159,115,116,71,59,71,159,374,660,682,596,523,473,416,365,257,169,141,100,168
2020-04-21,75,52,96,118,386,635,669,604,524,489,427,387,290,200,161,120,116,82,67,79,167,391,696,707,610,533,483,433,373,265,178,143,104,172
2020-04-22,83,58,101,126,399,672,693,632,550,506,450,405,305,211,165,127,124,85,73,86,178,404,725,731,636,548,498,450,388,273,182,145,107,180
2020-04-23,88,61,105,136,419,715,736,656,575,535,476,424,314,226,168,131,127,92,76,89,190,426,750,756,656,568,516,466,403,287,190,149,113,193
2020-04-24,93,66,108,139,436,745,763,675,587,559,485,441,327,234,171,133,129,99,77,97,199,444,781,776,680,585,530,484,419,292,195,153,115,197
2020-04-25,100,71,114,153,452,790,803,707,618,580,514,460,337,241,174,140,137,107,81,104,209,475,805,816,708,611,548,505,434,297,208,157,121,208
2020-04-26,106,80,119,164,473,823,834,735,637,596,538,479,346,248,178,143,145,110,89,113,224,496,838,840,728,626,562,520,454,304,217,169,126,224
2020-04-27,111,81,125,175,492,855,857,755,662,609,549,493,359,256,182,144,156,117,95,117,230,512,869,864,751,641,580,529,465,317,224,173,128,231
2020-04-28,124,89,133,185,523,892,910,788,696,632,566,516,377,268,189,154,170,123,95,128,239,537,915,901,776,664,605,548,488,328,233,187,134,249
2020-05-01,157,115,159,222,640,1102,1101,950,830,769,678,619,434,319,210,169,196,156,123,155,279,652,1062,1064,904,762,677,645,565,365,269,220,147,293
2020-05-02,177,126,173,243,720,1232,1201,1032,895,839,733,677,480,342,225,175,207,179,132,169,311,706,1138,1140,957,819,734,683,616,394,287,229,158,304
2020-05-04,201,143,197,279,809,1390,1376,1168,991,923,840,746,550,376,241,194,229,199,148,197,349,783,1271,1255,1030,907,804,757,680,439,315,256,186,338
2020-05-06,233,173,228,324,907,1564,1553,1337,1125,1013,951,841,621,412,267,208,245,241,171,226,386,876,1428,1392,1144,1005,886,820,749,480,351,274,203,377
2020-05-08,277,194,247,370,1045,1747,1807,1506,1272,1177,1082,956,716,468,296,225,269,275,194,255,432,979,1615,1539,1268,1119,988,902,828,555,399,300,231,419
2020-05-11,334,244,294,453,1219,2058,2102,1766,1481,1357,1242,1115,840,530,355,255,304,321,231,300,490,1155,1854,1773,1453,1247,1134,1012,945,650,450,340,258,485
2020-05-15,468,347,412,626,1583,2692,2820,2325,1947,1791,1638,1460,1090,663,445,321,382,440,333,403,659,1483,2503,2328,1884,1597,1486,1340,1236,867,570,446,329,597
2020-05-18,543,410,490,743,1864,3118,3258,2697,2259,2101,1918,1710,1305,772,534,371,430,522,408,451,781,1735,2956,2691,2163,1859,1734,1553,1443,1002,669,509,371,678
2020-05-22,725,540,612,964,2487,4211,4409,3590,2963,2845,2643,2292,1748,1036,711,484,558,686,537,587,1016,2319,3931,3710,2924,2440,2426,2170,1973,1371,906,672,505,857
