Grupo de edad,Sexo,Fecha,Casos confirmados
00 - 04 años,M,2020-04-06,11
05 - 09 años,M,2020-04-06,13
10 - 14 años,M,2020-04-06,23
15 - 19 años,M,2020-04-06,50
20 - 24 años,M,2020-04-06,138
25 - 29 años,M,2020-04-06,252
30 - 34 años,M,2020-04-06,295
35 - 39 años,M,2020-04-06,263
40 - 44 años,M,2020-04-06,234
45 - 49 años,M,2020-04-06,221
50 - 54 años,M,2020-04-06,180
55 - 59 años,M,2020-04-06,159
60 - 64 años,M,2020-04-06,115
65 - 69 años,M,2020-04-06,82
70 - 74 años,M,2020-04-06,67
75 - 79 años,M,2020-04-06,48
80 y más años,M,2020-04-06,40
00 - 04 años,F,2020-04-06,15
05 - 09 años,F,2020-04-06,16
10 - 14 años,F,2020-04-06,23
15 - 19 años,F,2020-04-06,56
20 - 24 años,F,2020-04-06,144
25 - 29 años,F,2020-04-06,281
30 - 34 años,F,2020-04-06,297
35 - 39 años,F,2020-04-06,263
40 - 44 años,F,2020-04-06,217
45 - 49 años,F,2020-04-06,204
50 - 54 años,F,2020-04-06,180
55 - 59 años,F,2020-04-06,143
60 - 64 años,F,2020-04-06,113
65 - 69 años,F,2020-04-06,67
70 - 74 años,F,2020-04-06,58
75 - 79 años,F,2020-04-06,41
80 y más años,F,2020-04-06,37
00 - 04 años,M,2020-04-08,18
05 - 09 años,M,2020-04-08,17
10 - 14 años,M,2020-04-08,31
15 - 19 años,M,2020-04-08,56
20 - 24 años,M,2020-04-08,175
25 - 29 años,M,2020-04-08,312
30 - 34 años,M,2020-04-08,353
35 - 39 años,M,2020-04-08,324
40 - 44 años,M,2020-04-08,284
45 - 49 años,M,2020-04-08,274
50 - 54 años,M,2020-04-08,220
55 - 59 años,M,2020-04-08,197
60 - 64 años,M,2020-04-08,145
65 - 69 años,M,2020-04-08,101
70 - 74 años,M,2020-04-08,86
75 - 79 años,M,2020-04-08,60
80 y más años,M,2020-04-08,54
00 - 04 años,F,2020-04-08,21
05 - 09 años,F,2020-04-08,23
10 - 14 años,F,2020-04-08,34
15 - 19 años,F,2020-04-08,78
20 - 24 años,F,2020-04-08,177
25 - 29 años,F,2020-04-08,344
30 - 34 años,F,2020-04-08,357
35 - 39 años,F,2020-04-08,316
40 - 44 años,F,2020-04-08,272
45 - 49 años,F,2020-04-08,249
50 - 54 años,F,2020-04-08,237
55 - 59 años,F,2020-04-08,185
60 - 64 años,F,2020-04-08,138
65 - 69 años,F,2020-04-08,84
70 - 74 años,F,2020-04-08,69
75 - 79 años,F,2020-04-08,48
80 y más años,F,2020-04-08,58
00 - 04 años,M,2020-04-10,30
05 - 09 años,M,2020-04-10,20
10 - 14 años,M,2020-04-10,37
15 - 19 años,M,2020-04-10,65
20 - 24 años,M,2020-04-10,209
25 - 29 años,M,2020-04-10,366
30 - 34 años,M,2020-04-10,405
35 - 39 años,M,2020-04-10,372
40 - 44 años,M,2020-04-10,327
45 - 49 años,M,2020-04-10,303
50 - 54 años,M,2020-04-10,259
55 - 59 años,M,2020-04-10,232
60 - 64 años,M,2020-04-10,171
65 - 69 años,M,2020-04-10,119
70 - 74 años,M,2020-04-10,100
75 - 79 años,M,2020-04-10,70
80 y más años,M,2020-04-10,65
00 - 04 años,F,2020-04-10,30
05 - 09 años,F,2020-04-10,31
10 - 14 años,F,2020-04-10,39
15 - 19 años,F,2020-04-10,89
20 - 24 años,F,2020-04-10,217
25 - 29 años,F,2020-04-10,403
30 - 34 años,F,2020-04-10,413
35 - 39 años,F,2020-04-10,358
40 - 44 años,F,2020-04-10,314
45 - 49 años,F,2020-04-10,283
50 - 54 años,F,2020-04-10,271
