Establecimiento,Examenes,fecha,Numero de PCR
Instituto de salud pública,realizados,2020-04-09,9597
Hospitales público,realizados,2020-04-09,34874
Privados,realizados,2020-04-09,23882
Instituto de salud pública,informados ultimo dia,2020-04-09,605
Hospitales público,informados ultimo dia,2020-04-09,3420
Privados,informados ultimo dia,2020-04-09,3937
Total realizados,realizados,2020-04-09,68353
Total informados ultimo dia,informados ultimo dia,2020-04-09,7962
Instituto de salud pública,realizados,2020-04-10,10056
Hospitales público,realizados,2020-04-10,37086
Privados,realizados,2020-04-10,25655
Instituto de salud pública,informados ultimo dia,2020-04-10,459
Hospitales público,informados ultimo dia,2020-04-10,2212
Privados,informados ultimo dia,2020-04-10,1773
Total realizados,realizados,2020-04-10,72797
Total informados ultimo dia,informados ultimo dia,2020-04-10,4444
Instituto de salud pública,realizados,2020-04-11,10424
Hospitales público,realizados,2020-04-11,39078
Privados,realizados,2020-04-11,26872
Instituto de salud pública,informados ultimo dia,2020-04-11,368
Hospitales público,informados ultimo dia,2020-04-11,1992
Privados,informados ultimo dia,2020-04-11,1217
Total realizados,realizados,2020-04-11,76374
Total informados ultimo dia,informados ultimo dia,2020-04-11,3577
Instituto de salud pública,realizados,2020-04-12,10646
Hospitales público,realizados,2020-04-12,42035
Privados,realizados,2020-04-12,29590
Instituto de salud pública,informados ultimo dia,2020-04-12,222
Hospitales público,informados ultimo dia,2020-04-12,2957
Privados,informados ultimo dia,2020-04-12,2718
Total realizados,realizados,2020-04-12,82271
Total informados ultimo dia,informados ultimo dia,2020-04-12,5897
Instituto de salud pública,realizados,2020-04-13,10861
Hospitales público,realizados,2020-04-13,43624
Privados,realizados,2020-04-13,30550
Instituto de salud pública,informados ultimo dia,2020-04-13,215
Hospitales público,informados ultimo dia,2020-04-13,1589
Privados,informados ultimo dia,2020-04-13,960
Total realizados,realizados,2020-04-13,85035
Total informados ultimo dia,informados ultimo dia,2020-04-13,2764
Instituto de salud pública,realizados,2020-04-14,11007
Hospitales público,realizados,2020-04-14,45265
Privados,realizados,2020-04-14,31522
Instituto de salud pública,informados ultimo dia,2020-04-14,146
Hospitales público,informados ultimo dia,2020-04-14,1641
Privados,informados ultimo dia,2020-04-14,972
Total realizados,realizados,2020-04-14,87794
Total informados ultimo dia,informados ultimo dia,2020-04-14,2759
Instituto de salud pública,realizados,2020-04-15,11186
Hospitales público,realizados,2020-04-15,46889
Privados,realizados,2020-04-15,33798
Instituto de salud pública,informados ultimo dia,2020-04-15,179
Hospitales público,informados ultimo dia,2020-04-15,1624
Privados,informados ultimo dia,2020-04-15,2276
Total realizados,realizados,2020-04-15,91873
Total informados ultimo dia,informados ultimo dia,2020-04-15,4079
Instituto de salud pública,realizados,2020-04-16,11446
Hospitales público,realizados,2020-04-16,50837
Privados,realizados,2020-04-16,36141
Instituto de salud pública,informados ultimo dia,2020-04-16,260
Hospitales público,informados ultimo dia,2020-04-16,3948
Privados,informados ultimo dia,2020-04-16,2343
Total realizados,realizados,2020-04-16,98424
Total informados ultimo dia,informados ultimo dia,2020-04-16,6551
Instituto de salud pública,realizados,2020-04-17,11704
Hospitales público,realizados,2020-04-17,53258
Privados,realizados,2020-04-17,38911
Instituto de salud pública,informados ultimo dia,2020-04-17,258
Hospitales público,informados ultimo dia,2020-04-17,2421
Privados,informados ultimo dia,2020-04-17,2770
Total realizados,realizados,2020-04-17,103873
Total informados ultimo dia,informados ultimo dia,2020-04-17,5449
Instituto de salud pública,realizados,2020-04-18,12063
Hospitales público,realizados,2020-04-18,56358
Privados,realizados,2020-04-18,40470
Instituto de salud pública,informados ultimo dia,2020-04-18,359
Hospitales público,informados ultimo dia,2020-04-18,3100
Privados,informados ultimo dia,2020-04-18,1559
Total realizados,realizados,2020-04-18,108891
Total informados ultimo dia,informados ultimo dia,2020-04-18,5018
Instituto de salud pública,realizados,2020-04-19,12248
Hospitales público,realizados,2020-04-19,58578
Privados,realizados,2020-04-19,42823
Instituto de salud pública,informados ultimo dia,2020-04-19,185
Hospitales público,informados ultimo dia,2020-04-19,2220
Privados,informados ultimo dia,2020-04-19,2353
Total realizados,realizados,2020-04-19,113649
Total informados ultimo dia,informados ultimo dia,2020-04-19,4758
Instituto de salud pública,realizados,2020-04-20,12609
Hospitales público,realizados,2020-04-20,61640
Privados,realizados,2020-04-20,44578
Instituto de salud pública,informados ultimo dia,2020-04-20,361
Hospitales público,informados ultimo dia,2020-04-20,3062
Privados,informados ultimo dia,2020-04-20,1755
Total realizados,realizados,2020-04-20,118827
Total informados ultimo dia,informados ultimo dia,2020-04-20,5178
Instituto de salud pública,realizados,2020-04-21,12838
Hospitales público,realizados,2020-04-21,63919
Privados,realizados,2020-04-21,45600
Instituto de salud pública,informados ultimo dia,2020-04-21,229
Hospitales público,informados ultimo dia,2020-04-21,2279
Privados,informados ultimo dia,2020-04-21,1022
Total realizados,realizados,2020-04-21,122357
Total informados ultimo dia,informados ultimo dia,2020-04-21,3530
Instituto de salud pública,realizados,2020-04-22,13087
Hospitales público,realizados,2020-04-22,67290
Privados,realizados,2020-04-22,48345
Instituto de salud pública,informados ultimo dia,2020-04-22,249
Hospitales público,informados ultimo dia,2020-04-22,3371
Privados,informados ultimo dia,2020-04-22,2745
Total realizados,realizados,2020-04-22,128722
Total informados ultimo dia,informados ultimo dia,2020-04-22,6365
Instituto de salud pública,realizados,2020-04-23,13420
Hospitales público,realizados,2020-04-23,70854
Privados,realizados,2020-04-23,50873
Instituto de salud pública,informados ultimo dia,2020-04-23,333
Hospitales público,informados ultimo dia,2020-04-23,3564
Privados,informados ultimo dia,2020-04-23,2528
Total realizados,realizados,2020-04-23,135147
Total informados ultimo dia,informados ultimo dia,2020-04-23,6425
Instituto de salud pública,realizados,2020-04-24,13763
Hospitales público,realizados,2020-04-24,74609
Privados,realizados,2020-04-24,53895
Instituto de salud pública,informados ultimo dia,2020-04-24,343
Hospitales público,informados ultimo dia,2020-04-24,3755
Privados,informados ultimo dia,2020-04-24,3022
Total realizados,realizados,2020-04-24,142267
Total informados ultimo dia,informados ultimo dia,2020-04-24,7120
Instituto de salud pública,realizados,2020-04-25,14130
Hospitales público,realizados,2020-04-25,78360
Privados,realizados,2020-04-25,56722
Instituto de salud pública,informados ultimo dia,2020-04-25,367
Hospitales público,informados ultimo dia,2020-04-25,3751
Privados,informados ultimo dia,2020-04-25,2827
Total realizados,realizados,2020-04-25,149212
Total informados ultimo dia,informados ultimo dia,2020-04-25,6945
Instituto de salud pública,realizados,2020-04-26,14381
Hospitales público,realizados,2020-04-26,81708
Privados,realizados,2020-04-26,59886
Instituto de salud pública,informados ultimo dia,2020-04-26,251
Hospitales público,informados ultimo dia,2020-04-26,3348
Privados,informados ultimo dia,2020-04-26,3164
Total realizados,realizados,2020-04-26,155975
Total informados ultimo dia,informados ultimo dia,2020-04-26,6763
