Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04
Arica y Parinacota,15,Arica,15101,247552.0,2.4,2.4,4.8,16.6,25.4,35.1,46.5,50.1,54.1,67.1,90.5,109.1,120.0,125.2
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,2.4,2.4,4.8,16.3,25.0,35.1,45.6,49.2,53.2,65.8,88.9,107.1,117.8,123.0
Tarapaca,01,Alto Hospicio,01107,129999.0,0.0,0.8,2.3,3.8,4.6,7.7,10.8,11.5,12.3,20.8,30.0,42.3,59.2,98.5
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Tarapaca,01,Iquique,01101,223463.0,2.2,2.2,4.5,5.8,7.2,8.1,11.6,11.6,13.9,16.1,26.0,33.6,40.3,54.6
Tarapaca,01,Pica,01405,5958.0,0.0,0.0,0.0,16.8,33.6,83.9,167.8,318.9,402.8,470.0,520.3,520.3,520.3,520.3
Tarapaca,01,Pozo Almonte,01401,17395.0,0.0,0.0,0.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,17.2
Tarapaca,01,Total,,382773.0,1.3,1.6,3.4,5.5,6.8,9.1,13.6,16.2,19.1,24.3,34.0,42.6,52.3,75.0
Antofagasta,02,Antofagasta,02101,425725.0,6.8,7.5,10.3,12.7,14.1,19.3,24.9,28.7,34.1,43.2,61.3,71.2,88.8,112.5
Antofagasta,02,Calama,02201,190336.0,1.6,1.6,2.6,3.7,4.2,6.8,10.5,11.0,11.0,13.1,18.4,28.4,37.3,44.1
Antofagasta,02,Maria Elena,02302,6814.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,29.4,58.7,88.1,102.7,190.8,440.3,513.6
Antofagasta,02,Mejillones,02102,14776.0,0.0,0.0,0.0,6.8,13.5,40.6,81.2,94.7,128.6,182.7,291.0,439.9,521.1,852.7
Antofagasta,02,Ollague,02202,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,9.6,19.2,28.8,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3
Antofagasta,02,Sierra Gorda,02103,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,Taltal,02104,13657.0,0.0,0.0,0.0,0.0,7.3,22.0,22.0,51.3,51.3,51.3,51.3,51.3,51.3,58.6
Antofagasta,02,Tocopilla,02301,28079.0,7.1,7.1,7.1,7.1,7.1,7.1,10.7,21.4,39.2,39.2,39.2,39.2,42.7,46.3
Antofagasta,02,Total,,691854.0,5.1,5.6,7.8,9.8,11.1,15.9,21.5,25.4,30.5,38.2,53.2,66.1,83.7,108.3
Atacama,03,Alto del Carmen,03302,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Caldera,03102,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
Atacama,03,Chanaral,03201,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Copiapo,03101,171766.0,0.6,1.2,2.3,2.3,2.9,4.7,4.7,4.7,4.7,4.7,4.7,4.7,11.1,19.8
Atacama,03,Diego de Almagro,03202,14358.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.9
Atacama,03,Freirina,03303,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
Atacama,03,Huasco,03304,11264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,8.9
Atacama,03,Tierra Amarilla,03103,14312.0,0.0,0.0,0.0,0.0,14.0,27.9,27.9,27.9,27.9,27.9,34.9,41.9,48.9,62.9
Atacama,03,Vallenar,03301,57009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,22.8,29.8,42.1
Atacama,03,Total,,314709.0,0.6,1.0,1.6,1.6,2.5,4.1,4.1,4.1,4.1,4.4,6.7,9.2,14.3,22.9
Coquimbo,04,Andacollo,04103,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Coquimbo,04,Canela,04202,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Combarbala,04302,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,6.6,7.4,7.4,7.4,7.4,8.2,8.2,7.4,7.8,9.0,9.3,10.1,11.3,12.1
Coquimbo,04,Illapel,04201,32801.0,0.0,0.0,0.0,21.3,36.6,39.6,51.8,57.9,57.9,54.9,54.9,54.9,54.9,57.9
Coquimbo,04,La Higuera,04104,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
