Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Tasa de incidencia
Arica y Parinacota,15,Arica,15101,247552.0,2020-03-30,2.4
Arica y Parinacota,15,Camarones,15102,1233.0,2020-03-30,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,2020-03-30,0.0
Arica y Parinacota,15,Putre,15201,2515.0,2020-03-30,0.0
Arica y Parinacota,15,Total,,252110.0,2020-03-30,2.4
Tarapaca,01,Alto Hospicio,01107,129999.0,2020-03-30,0.0
Tarapaca,01,Camina,01402,1375.0,2020-03-30,0.0
Tarapaca,01,Colchane,01403,1583.0,2020-03-30,0.0
Tarapaca,01,Huara,01404,3000.0,2020-03-30,0.0
Tarapaca,01,Iquique,01101,223463.0,2020-03-30,2.2
Tarapaca,01,Pica,01405,5958.0,2020-03-30,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,2020-03-30,0.0
Tarapaca,01,Total,,382773.0,2020-03-30,1.3
Antofagasta,02,Antofagasta,02101,425725.0,2020-03-30,6.8
Antofagasta,02,Calama,02201,190336.0,2020-03-30,1.6
Antofagasta,02,Maria Elena,02302,6814.0,2020-03-30,0.0
Antofagasta,02,Mejillones,02102,14776.0,2020-03-30,0.0
Antofagasta,02,Ollague,02202,287.0,2020-03-30,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,2020-03-30,9.6
Antofagasta,02,Sierra Gorda,02103,1746.0,2020-03-30,0.0
Antofagasta,02,Taltal,02104,13657.0,2020-03-30,0.0
Antofagasta,02,Tocopilla,02301,28079.0,2020-03-30,7.1
Antofagasta,02,Total,,691854.0,2020-03-30,5.1
Atacama,03,Alto del Carmen,03302,5729.0,2020-03-30,0.0
Atacama,03,Caldera,03102,19426.0,2020-03-30,0.0
Atacama,03,Chanaral,03201,13164.0,2020-03-30,0.0
Atacama,03,Copiapo,03101,171766.0,2020-03-30,0.6
Atacama,03,Diego de Almagro,03202,14358.0,2020-03-30,7.0
Atacama,03,Freirina,03303,7681.0,2020-03-30,0.0
Atacama,03,Huasco,03304,11264.0,2020-03-30,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,2020-03-30,0.0
Atacama,03,Vallenar,03301,57009.0,2020-03-30,0.0
Atacama,03,Total,,314709.0,2020-03-30,0.6
Coquimbo,04,Andacollo,04103,11791.0,2020-03-30,0.0
Coquimbo,04,Canela,04202,9546.0,2020-03-30,0.0
Coquimbo,04,Combarbala,04302,13884.0,2020-03-30,0.0
Coquimbo,04,Coquimbo,04102,256735.0,2020-03-30,6.6
Coquimbo,04,Illapel,04201,32801.0,2020-03-30,0.0
Coquimbo,04,La Higuera,04104,4450.0,2020-03-30,0.0
Coquimbo,04,La Serena,04101,249656.0,2020-03-30,0.8
Coquimbo,04,Los Vilos,04203,23374.0,2020-03-30,4.3
Coquimbo,04,Monte Patria,04303,32527.0,2020-03-30,0.0
Coquimbo,04,Ovalle,04301,121269.0,2020-03-30,3.3
Coquimbo,04,Paiguano,04105,4675.0,2020-03-30,0.0
Coquimbo,04,Punitaqui,04304,12165.0,2020-03-30,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,2020-03-30,22.9
Coquimbo,04,Salamanca,04204,29110.0,2020-03-30,6.9
Coquimbo,04,Vicuna,04106,29741.0,2020-03-30,0.0
Coquimbo,04,Total,,836096.0,2020-03-30,3.2
Valparaiso,05,Algarrobo,05602,15174.0,2020-03-30,46.1
Valparaiso,05,Cabildo,05402,20663.0,2020-03-30,0.0
Valparaiso,05,Calera,05502,53591.0,2020-03-30,11.2
Valparaiso,05,Calle Larga,05302,16482.0,2020-03-30,0.0
Valparaiso,05,Cartagena,05603,25357.0,2020-03-30,0.0
Valparaiso,05,Casablanca,05102,29170.0,2020-03-30,3.4
Valparaiso,05,Catemu,05702,15213.0,2020-03-30,0.0
Valparaiso,05,Concon,05103,45889.0,2020-03-30,2.2
Valparaiso,05,El Quisco,05604,17742.0,2020-03-30,0.0
Valparaiso,05,El Tabo,05605,14338.0,2020-03-30,7.0
Valparaiso,05,Hijuelas,05503,19099.0,2020-03-30,0.0
Valparaiso,05,Isla de Pascua,05201,8277.0,2020-03-30,12.1
Valparaiso,05,Juan Fernandez,05104,1033.0,2020-03-30,0.0
Valparaiso,05,La Cruz,05504,25321.0,2020-03-30,0.0
Valparaiso,05,La Ligua,05401,37739.0,2020-03-30,5.3
Valparaiso,05,Limache,05802,49931.0,2020-03-30,4.0
Valparaiso,05,Llaillay,05703,26533.0,2020-03-30,0.0
Valparaiso,05,Los Andes,05301,68093.0,2020-03-30,2.9
Valparaiso,05,Nogales,05506,23490.0,2020-03-30,0.0
Valparaiso,05,Olmue,05803,19266.0,2020-03-30,0.0
Valparaiso,05,Panquehue,05704,7633.0,2020-03-30,0.0
Valparaiso,05,Papudo,05403,6201.0,2020-03-30,0.0
Valparaiso,05,Petorca,05404,10558.0,2020-03-30,0.0
Valparaiso,05,Puchuncavi,05105,20071.0,2020-03-30,0.0
Valparaiso,05,Putaendo,05705,17645.0,2020-03-30,5.7
Valparaiso,05,Quillota,05501,97572.0,2020-03-30,6.1
Valparaiso,05,Quilpue,05801,167085.0,2020-03-30,6.6
Valparaiso,05,Quintero,05107,36135.0,2020-03-30,8.3
Valparaiso,05,Rinconada,05303,11263.0,2020-03-30,0.0
Valparaiso,05,San Antonio,05601,96761.0,2020-03-30,2.1
Valparaiso,05,San Esteban,05304,20643.0,2020-03-30,0.0
Valparaiso,05,San Felipe,05701,83494.0,2020-03-30,3.6
Valparaiso,05,Santa Maria,05706,16367.0,2020-03-30,0.0
Valparaiso,05,Santo Domingo,05606,11934.0,2020-03-30,16.8
Valparaiso,05,Valparaiso,05101,315732.0,2020-03-30,5.1
Valparaiso,05,Villa Alemana,05804,139310.0,2020-03-30,4.3
Valparaiso,05,Vina del Mar,05109,361371.0,2020-03-30,8.0
Valparaiso,05,Zapallar,05405,7994.0,2020-03-30,0.0
Valparaiso,05,Total,,1960170.0,2020-03-30,5.2
Metropolitana,13,Alhue,13502,7405.0,2020-03-30,0.0
Metropolitana,13,Buin,13402,109641.0,2020-03-30,6.4
Metropolitana,13,Calera de Tango,13403,28525.0,2020-03-30,21.0
Metropolitana,13,Cerrillos,13102,88956.0,2020-03-30,3.4
Metropolitana,13,Cerro Navia,13103,142465.0,2020-03-30,13.3
Metropolitana,13,Colina,13301,180353.0,2020-03-30,17.7
Metropolitana,13,Conchali,13104,139195.0,2020-03-30,10.1
Metropolitana,13,Curacavi,13503,36430.0,2020-03-30,13.7
Metropolitana,13,El Bosque,13105,172000.0,2020-03-30,10.5
Metropolitana,13,El Monte,13602,40014.0,2020-03-30,2.5
Metropolitana,13,Estacion Central,13106,206792.0,2020-03-30,7.7
Metropolitana,13,Huechuraba,13107,112528.0,2020-03-30,15.1
Metropolitana,13,Independencia,13108,142065.0,2020-03-30,10.6
Metropolitana,13,Isla de Maipo,13603,40171.0,2020-03-30,0.0
Metropolitana,13,La Cisterna,13109,100434.0,2020-03-30,10.0
Metropolitana,13,La Florida,13110,402433.0,2020-03-30,10.7
Metropolitana,13,La Granja,13111,122557.0,2020-03-30,4.1
Metropolitana,13,La Pintana,13112,189335.0,2020-03-30,1.1
Metropolitana,13,La Reina,13113,100252.0,2020-03-30,23.9
Metropolitana,13,Lampa,13302,126898.0,2020-03-30,7.9
Metropolitana,13,Las Condes,13114,330759.0,2020-03-30,54.7
Metropolitana,13,Lo Barnechea,13115,124076.0,2020-03-30,54.8
Metropolitana,13,Lo Espejo,13116,103865.0,2020-03-30,3.9
Metropolitana,13,Lo Prado,13117,104403.0,2020-03-30,13.4
Metropolitana,13,Macul,13118,134635.0,2020-03-30,7.4
Metropolitana,13,Maipu,13119,578605.0,2020-03-30,7.4
Metropolitana,13,Maria Pinto,13504,14926.0,2020-03-30,0.0
Metropolitana,13,Melipilla,13501,141612.0,2020-03-30,4.2
Metropolitana,13,Nunoa,13120,250192.0,2020-03-30,26.8
Metropolitana,13,Padre Hurtado,13604,74188.0,2020-03-30,13.5
Metropolitana,13,Paine,13404,82766.0,2020-03-30,3.6
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,2020-03-30,6.5
Metropolitana,13,Penaflor,13605,101058.0,2020-03-30,9.9
Metropolitana,13,Penalolen,13122,266798.0,2020-03-30,11.6
Metropolitana,13,Pirque,13202,30433.0,2020-03-30,0.0
Metropolitana,13,Providencia,13123,157749.0,2020-03-30,52.0
Metropolitana,13,Pudahuel,13124,253139.0,2020-03-30,6.7
Metropolitana,13,Puente Alto,13201,645909.0,2020-03-30,7.0
Metropolitana,13,Quilicura,13125,254694.0,2020-03-30,6.7
Metropolitana,13,Quinta Normal,13126,136368.0,2020-03-30,15.4
Metropolitana,13,Recoleta,13127,190075.0,2020-03-30,8.9
Metropolitana,13,Renca,13128,160847.0,2020-03-30,5.6
Metropolitana,13,San Bernardo,13401,334836.0,2020-03-30,9.6
Metropolitana,13,San Joaquin,13129,103485.0,2020-03-30,12.6
Metropolitana,13,San Jose de Maipo,13203,18644.0,2020-03-30,10.7
Metropolitana,13,San Miguel,13130,133059.0,2020-03-30,18.8
Metropolitana,13,San Pedro,13505,11953.0,2020-03-30,0.0
Metropolitana,13,San Ramon,13131,86510.0,2020-03-30,1.2
Metropolitana,13,Santiago,13101,503147.0,2020-03-30,25.2
Metropolitana,13,Talagante,13601,81838.0,2020-03-30,3.7
Metropolitana,13,Tiltil,13303,21477.0,2020-03-30,9.3
Metropolitana,13,Vitacura,13132,96774.0,2020-03-30,85.8
Metropolitana,13,Total,,8125072.0,2020-03-30,14.7
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913.0,2020-03-30,5.0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462.0,2020-03-30,0.0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141.0,2020-03-30,0.0
