Region,Comuna,Poblacion,Casos Confirmados
Arica y Parinacota,Arica,247552,63
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,Putre,2515,-
Tarapaca,Alto Hospicio,129999,6
Tarapaca,Camina,1375,-
Tarapaca,Colchane,1583,-
Tarapaca,Huara,3000,-
Tarapaca,Iquique,223463,16
Tarapaca,Pica,5958,-
Tarapaca,Pozo Almonte,17395,-
Antofagasta,Antofagasta,425725,60
Antofagasta,Calama,190336,8
Antofagasta,Maria Elena,6814,-
Antofagasta,Mejillones,14776,-
Antofagasta,Ollague,287,-
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Taltal,13657,-
Antofagasta,Tocopilla,28079,-
Atacama,Alto del Carmen,5729,-
Atacama,Caldera,19426,-
Atacama,Chanaral,13164,-
Atacama,Copiapo,171766,5
Atacama,Diego de Almagro,14358,-
Atacama,Freirina,7681,-
Atacama,Huasco,11264,-
Atacama,Tierra Amarilla,14312,-
Atacama,Vallenar,57009,-
Coquimbo,Andacollo,11791,-
Coquimbo,Canela,9546,-
Coquimbo,Combarbala,13884,-
Coquimbo,Coquimbo,256735,19
Coquimbo,Illapel,32801,12
Coquimbo,La Higuera,4450,-
Coquimbo,La Serena,249656,12
Coquimbo,Los Vilos,23374,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Ovalle,121269,7
Coquimbo,Paiguano,4675,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Salamanca,29110,4
Coquimbo,Vicuna,29741,-
Valparaiso,Algarrobo,15174,8
Valparaiso,Cabildo,20663,-
Valparaiso,Calera,53591,9
Valparaiso,Calle Larga,16482,-
Valparaiso,Cartagena,25357,-
Valparaiso,Casablanca,29170,-
Valparaiso,Catemu,15213,-
Valparaiso,Concon,45889,-
Valparaiso,El Quisco,17742,-
Valparaiso,El Tabo,14338,-
Valparaiso,Hijuelas,19099,-
Valparaiso,Isla de Pascua,8277,5
Valparaiso,Juan Fernandez,1033,-
Valparaiso,La Cruz,25321,-
Valparaiso,La Ligua,37739,-
Valparaiso,Limache,49931,5
Valparaiso,Llaillay,26533,-
Valparaiso,Los Andes,68093,6
Valparaiso,Nogales,23490,-
Valparaiso,Olmue,19266,-
Valparaiso,Panquehue,7633,-
Valparaiso,Papudo,6201,-
Valparaiso,Petorca,10558,4
Valparaiso,Puchuncavi,20071,-
Valparaiso,Putaendo,17645,-
Valparaiso,Quillota,97572,13
Valparaiso,Quilpue,167085,15
Valparaiso,Quintero,36135,-
Valparaiso,Rinconada,11263,-
Valparaiso,San Antonio,96761,9
Valparaiso,San Esteban,20643,-
Valparaiso,San Felipe,83494,6
Valparaiso,Santa Maria,16367,-
Valparaiso,Santo Domingo,11934,5
Valparaiso,Valparaiso,315732,36
Valparaiso,Villa Alemana,139310,12
Valparaiso,Vina del Mar,361371,66
Valparaiso,Zapallar,7994,-
Metropolitana,Alhue,7405,-
Metropolitana,Buin,109641,20
Metropolitana,Calera de Tango,28525,8
Metropolitana,Cerrillos,88956,11
Metropolitana,Cerro Navia,142465,36
Metropolitana,Colina,180353,62
Metropolitana,Conchali,139195,38
Metropolitana,Curacavi,36430,9
Metropolitana,El Bosque,172000,46
Metropolitana,El Monte,40014,7
Metropolitana,Estacion Central,206792,41
Metropolitana,Huechuraba,112528,35
Metropolitana,Independencia,142065,31
Metropolitana,Isla de Maipo,40171,7
Metropolitana,La Cisterna,100434,26
Metropolitana,La Florida,402433,103
Metropolitana,La Granja,122557,26
Metropolitana,La Pintana,189335,25
Metropolitana,La Reina,100252,44
Metropolitana,Lampa,126898,18
Metropolitana,Las Condes,330759,266
Metropolitana,Lo Barnechea,124076,105
Metropolitana,Lo Espejo,103865,23
Metropolitana,Lo Prado,104403,32
Metropolitana,Macul,134635,37
Metropolitana,Maipu,578605,106
Metropolitana,Maria Pinto,14926,-
Metropolitana,Melipilla,141612,12
Metropolitana,Nunoa,250192,118
Metropolitana,Padre Hurtado,74188,18
Metropolitana,Paine,82766,-
Metropolitana,Pedro Aguirre Cerda,107803,19
Metropolitana,Penaflor,101058,18
Metropolitana,Penalolen,266798,78
Metropolitana,Pirque,30433,4
Metropolitana,Providencia,157749,115
Metropolitana,Pudahuel,253139,52
Metropolitana,Puente Alto,645909,166
Metropolitana,Quilicura,254694,57
Metropolitana,Quinta Normal,136368,57
Metropolitana,Recoleta,190075,52
Metropolitana,Renca,160847,22
Metropolitana,San Bernardo,334836,79
Metropolitana,San Joaquin,103485,42
Metropolitana,San Jose de Maipo,18644,-
Metropolitana,San Miguel,133059,56
Metropolitana,San Pedro,11953,-
Metropolitana,San Ramon,86510,12
Metropolitana,Santiago,503147,271
Metropolitana,Talagante,81838,14
Metropolitana,Tiltil,21477,4
Metropolitana,Vitacura,96774,114
Del Libertador General Bernardo OHiggins,Chepica,15925,-
Del Libertador General Bernardo OHiggins,Chimbarongo,37696,-
Del Libertador General Bernardo OHiggins,Codegua,14096,-
Del Libertador General Bernardo OHiggins,Coinco,7831,-
Del Libertador General Bernardo OHiggins,Coltauco,21263,-
Del Libertador General Bernardo OHiggins,Donihue,22700,-
Del Libertador General Bernardo OHiggins,Graneros,36504,-
Del Libertador General Bernardo OHiggins,La Estrella,3114,-
Del Libertador General Bernardo OHiggins,Las Cabras,26749,-
Del Libertador General Bernardo OHiggins,Litueche,6765,-
Del Libertador General Bernardo OHiggins,Lolol,7289,-
Del Libertador General Bernardo OHiggins,Machali,59913,8
Del Libertador General Bernardo OHiggins,Malloa,14163,-
Del Libertador General Bernardo OHiggins,Marchihue,7632,-
Del Libertador General Bernardo OHiggins,Mostazal,27462,-
Del Libertador General Bernardo OHiggins,Nancagua,19141,-
Del Libertador General Bernardo OHiggins,Navidad,6904,-
Del Libertador General Bernardo OHiggins,Olivar,14624,-
Del Libertador General Bernardo OHiggins,Palmilla,13299,-
Del Libertador General Bernardo OHiggins,Paredones,6349,-
Del Libertador General Bernardo OHiggins,Peralillo,11848,-
Del Libertador General Bernardo OHiggins,Peumo,14952,-
Del Libertador General Bernardo OHiggins,Pichidegua,20743,-
Del Libertador General Bernardo OHiggins,Pichilemu,17882,-
Del Libertador General Bernardo OHiggins,Placilla,9164,-
Del Libertador General Bernardo OHiggins,Pumanque,3531,-
Del Libertador General Bernardo OHiggins,Quinta de Tilcoco,13877,-
Del Libertador General Bernardo OHiggins,Rancagua,265211,15
Del Libertador General Bernardo OHiggins,Rengo,63710,-
Del Libertador General Bernardo OHiggins,Requinoa,30371,-
Del Libertador General Bernardo OHiggins,San Fernando,78642,4
Del Libertador General Bernardo OHiggins,San Vicente,50617,4
Del Libertador General Bernardo OHiggins,Santa Cruz,41096,-
Maule,Cauquenes,44143,4
Maule,Chanco,9331,-
Maule,Colbun,22565,5
Maule,Constitucion,50348,5
Maule,Curepto,9426,-
Maule,Curico,163626,13
Maule,Empedrado,4206,-
Maule,Hualane,10222,-
Maule,Licanten,6989,-
