Region,Comuna,Poblacion,Casos Confirmados
Arica y Parinacota,Arica,247552,12
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,Putre,2515,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Camina,1375,-
Tarapaca,Colchane,1583,-
Tarapaca,Huara,3000,-
Tarapaca,Iquique,223463,10
Tarapaca,Pica,5958,-
Tarapaca,Pozo Almonte,17395,-
Antofagasta,Antofagasta,425725,44
Antofagasta,Calama,190336,5
Antofagasta,Maria Elena,6814,-
Antofagasta,Mejillones,14776,-
Antofagasta,Ollagüe,287,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Taltal,13657,-
Antofagasta,Tocopilla,28079,-
Atacama,Alto del Carmen,5729,-
Atacama,Caldera,19426,-
Atacama,Chanaral,13164,-
Atacama,Copiapo,171766,4
Atacama,Diego de Almagro,14358,-
Atacama,Freirina,7681,-
Atacama,Huasco,11264,-
Atacama,Tierra Amarilla,14312,-
Atacama,Vallenar,57009,-
Coquimbo,Andacollo,11791,-
Coquimbo,Canela,9546,-
Coquimbo,Combarbala,13884,-
Coquimbo,Coquimbo,256735,19
Coquimbo,Illapel,32801,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Serena,249656,8
Coquimbo,Los Vilos,23374,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Ovalle,121269,4
Coquimbo,Paiguano,4675,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Salamanca,29110,-
Coquimbo,Vicuna,29741,-
Valparaiso,Algarrobo,15174,9
Valparaiso,Cabildo,20663,-
Valparaiso,Calera,53591,7
Valparaiso,Calle Larga,16482,-
Valparaiso,Cartagena,25357,-
Valparaiso,Casablanca,29170,-
Valparaiso,Catemu,15213,-
Valparaiso,Concon,45889,7
Valparaiso,El Quisco,17742,-
Valparaiso,El Tabo,14338,-
