Sintomas,2020-03-11,2020-03-14,2020-03-15,2020-03-16,2020-03-24,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Tos,11,25,38,43,597,896,1030,1231,1359,1495,1714,1992,2136,2359,2621,2810,2976,3115,3274,3420,3548,3667,3750
Fiebre,9,21,30,35,496,738,866,1053,1148,1257,1440,1657,1757,2007,2199,2347,2478,2603,2728,2818,2925,2990,3041
Mialgia,6,19,28,34,452,689,793,966,1064,1184,1349,1553,1656,1923,2143,2303,2438,2565,2706,2810,2934,3025,3082
Cefalea,8,18,29,31,394,578,671,836,945,1057,1232,1448,1557,1813,2031,2194,2310,2441,2603,2739,2876,2977,3040
Odinofagia,7,20,27,33,407,575,663,768,843,927,1047,1191,1275,1476,1623,1733,1823,1903,1999,2090,2170,2241,2287
Disnea,2,3,6,7,78,139,171,217,247,297,353,426,465,559,639,704,753,794,839,861,911,935,953
Diarrea,,,,,,55,73,105,121,142,172,207,237,281,322,356,368,397,428,450,482,502,511
Dolor torácico,5,6,7,7,41,64,77,93,109,123,140,172,189,231,264,302,333,353,377,392,405,424,432
Taquipnea,,,,,16,27,31,42,51,62,80,99,107,128,142,161,178,187,190,194,205,209,211
Dolor abdominal,,,,,16,26,33,47,50,60,73,92,102,131,154,179,190,198,220,227,248,257,260
Cianosis,,,,,1,3,4,4,6,9,9,10,10,15,16,17,18,22,23,23,23,23,24
Postración,,,,,5,5,5,6,9,,,,,,,,,,,,,,
Congestión nasal,2,6,10,12,,,,,,,,,,,,,,,,,,,
