Sintomas,Tos,Fiebre,Mialgia,Cefalea,Odinofagia,Disnea,Diarrea,Dolor torácico,Taquipnea,Dolor abdominal,Cianosis,Postración,Congestión nasal
2020-03-11,11,9,6,8,7,2,-,5,-,-,-,-,2
2020-03-14,25,21,19,18,20,3,-,6,-,-,-,-,6
2020-03-15,38,30,28,29,27,6,-,7,-,-,-,-,10
2020-03-16,43,35,34,31,33,7,-,7,-,-,-,-,12
2020-03-24,597,496,452,394,407,78,-,41,16,16,1,5,-
2020-03-26,896,738,689,578,575,139,55,64,27,26,3,5,-
2020-03-27,1030,866,793,671,663,171,73,77,31,33,4,5,-
2020-03-28,1231,1053,966,836,768,217,105,93,42,47,4,6,-
2020-03-29,1359,1148,1064,945,843,247,121,109,51,50,6,9,-
2020-03-30,1495,1257,1184,1057,927,297,142,123,62,60,9,-,-
2020-03-31,1714,1440,1349,1232,1047,353,172,140,80,73,9,-,-
2020-04-01,1992,1657,1553,1448,1191,426,207,172,99,92,10,-,-
2020-04-02,2136,1757,1656,1557,1275,465,237,189,107,102,10,-,-
2020-04-03,2359,2007,1923,1813,1476,559,281,231,128,131,15,-,-
2020-04-04,2621,2199,2143,2031,1623,639,322,264,142,154,16,-,-
2020-04-05,2810,2347,2303,2194,1733,704,356,302,161,179,17,-,-
2020-04-06,2976,2478,2438,2310,1823,753,368,333,178,190,18,-,-
2020-04-07,3115,2603,2565,2441,1903,794,397,353,187,198,22,-,-
2020-04-08,3274,2728,2706,2603,1999,839,428,377,190,220,23,-,-
2020-04-09,3420,2818,2810,2739,2090,861,450,392,194,227,23,-,-
2020-04-10,3548,2925,2934,2876,2170,911,482,405,205,248,23,-,-
2020-04-11,3667,2990,3025,2977,2241,935,502,424,209,257,23,-,-
2020-04-12,3750,3041,3082,3040,2287,953,511,432,211,260,24,-,-
