Sintomas,fecha,numero
Tos,2020-03-11,11
Fiebre,2020-03-11,9
Mialgia,2020-03-11,6
Cefalea,2020-03-11,8
Odinofagia,2020-03-11,7
Disnea,2020-03-11,2
Diarrea,2020-03-11,
Dolor torácico,2020-03-11,5
Taquipnea,2020-03-11,
Dolor abdominal,2020-03-11,
Cianosis,2020-03-11,
Postración,2020-03-11,
Congestión nasal,2020-03-11,2
Tos,2020-03-14,25
Fiebre,2020-03-14,21
Mialgia,2020-03-14,19
Cefalea,2020-03-14,18
Odinofagia,2020-03-14,20
Disnea,2020-03-14,3
Diarrea,2020-03-14,
Dolor torácico,2020-03-14,6
Taquipnea,2020-03-14,
Dolor abdominal,2020-03-14,
Cianosis,2020-03-14,
Postración,2020-03-14,
Congestión nasal,2020-03-14,6
Tos,2020-03-15,38
Fiebre,2020-03-15,30
Mialgia,2020-03-15,28
Cefalea,2020-03-15,29
Odinofagia,2020-03-15,27
Disnea,2020-03-15,6
Diarrea,2020-03-15,
Dolor torácico,2020-03-15,7
Taquipnea,2020-03-15,
Dolor abdominal,2020-03-15,
Cianosis,2020-03-15,
Postración,2020-03-15,
Congestión nasal,2020-03-15,10
Tos,2020-03-16,43
Fiebre,2020-03-16,35
Mialgia,2020-03-16,34
Cefalea,2020-03-16,31
Odinofagia,2020-03-16,33
Disnea,2020-03-16,7
Diarrea,2020-03-16,
Dolor torácico,2020-03-16,7
Taquipnea,2020-03-16,
Dolor abdominal,2020-03-16,
Cianosis,2020-03-16,
Postración,2020-03-16,
Congestión nasal,2020-03-16,12
Tos,2020-03-24,597
Fiebre,2020-03-24,496
Mialgia,2020-03-24,452
Cefalea,2020-03-24,394
Odinofagia,2020-03-24,407
Disnea,2020-03-24,78
Diarrea,2020-03-24,
Dolor torácico,2020-03-24,41
Taquipnea,2020-03-24,16
Dolor abdominal,2020-03-24,16
Cianosis,2020-03-24,1
Postración,2020-03-24,5
Congestión nasal,2020-03-24,
Tos,2020-03-26,896
Fiebre,2020-03-26,738
Mialgia,2020-03-26,689
Cefalea,2020-03-26,578
Odinofagia,2020-03-26,575
Disnea,2020-03-26,139
Diarrea,2020-03-26,55
Dolor torácico,2020-03-26,64
Taquipnea,2020-03-26,27
Dolor abdominal,2020-03-26,26
Cianosis,2020-03-26,3
Postración,2020-03-26,5
Congestión nasal,2020-03-26,
Tos,2020-03-27,1030
Fiebre,2020-03-27,866
Mialgia,2020-03-27,793
Cefalea,2020-03-27,671
Odinofagia,2020-03-27,663
Disnea,2020-03-27,171
Diarrea,2020-03-27,73
Dolor torácico,2020-03-27,77
Taquipnea,2020-03-27,31
