Sintomas,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Tos,103,129,147,173,180,200,234,273,284,318,362,390,418,451,489,548,619,674,684
Fiebre,98,122,141,171,178,195,231,264,274,320,357,381,405,439,463,528,598,648,657
Mialgia,71,88,97,116,118,132,154,174,181,212,243,257,274,295,314,361,422,456,462
Cefalea,48,60,65,83,86,95,115,133,139,166,184,199,209,228,256,297,346,374,380
Odinofagia,48,54,63,75,80,87,100,112,118,144,159,174,185,201,215,245,279,307,311
Disnea,34,49,62,80,86,99,120,141,149,176,202,226,248,264,285,308,342,358,365
Diarrea,7,11,13,18,19,23,28,37,41,50,58,62,66,73,76,87,95,105,108
Dolor torácico,11,16,17,22,23,26,32,34,36,46,57,63,71,75,84,92,97,103,105
Taquipnea,10,15,18,25,27,33,39,48,52,61,69,80,91,95,100,108,121,125,126
Dolor abdominal,3,4,4,7,7,9,12,16,17,21,27,27,27,32,38,43,50,52,53
Cianosis,3,3,4,4,4,6,6,7,7,10,9,10,11,13,13,15,15,16,16
Postración,1,1,1,1,1,,,,,,,,,,,,,,
Congestión nasal,,,,,,,,,,,,,,,,,,,
