Sintomas,Tos,Fiebre,Mialgia,Cefalea,Odinofagia,Disnea,Diarrea,Dolor torácico,Taquipnea,Dolor abdominal,Cianosis,Postración,Congestión nasal
2020-03-25,103.0,98.0,71.0,48.0,48.0,34.0,7.0,11.0,10.0,3.0,3.0,1.0,
2020-03-26,129.0,122.0,88.0,60.0,54.0,49.0,11.0,16.0,15.0,4.0,3.0,1.0,
2020-03-27,147.0,141.0,97.0,65.0,63.0,62.0,13.0,17.0,18.0,4.0,4.0,1.0,
2020-03-28,173.0,171.0,116.0,83.0,75.0,80.0,18.0,22.0,25.0,7.0,4.0,1.0,
2020-03-29,180.0,178.0,118.0,86.0,80.0,86.0,19.0,23.0,27.0,7.0,4.0,1.0,
2020-03-30,200.0,195.0,132.0,95.0,87.0,99.0,23.0,26.0,33.0,9.0,6.0,,
2020-03-31,234.0,231.0,154.0,115.0,100.0,120.0,28.0,32.0,39.0,12.0,6.0,,
2020-04-01,273.0,264.0,174.0,133.0,112.0,141.0,37.0,34.0,48.0,16.0,7.0,,
2020-04-02,284.0,274.0,181.0,139.0,118.0,149.0,41.0,36.0,52.0,17.0,7.0,,
2020-04-03,318.0,320.0,212.0,166.0,144.0,176.0,50.0,46.0,61.0,21.0,10.0,,
2020-04-04,362.0,357.0,243.0,184.0,159.0,202.0,58.0,57.0,69.0,27.0,9.0,,
2020-04-05,390.0,381.0,257.0,199.0,174.0,226.0,62.0,63.0,80.0,27.0,10.0,,
2020-04-06,418.0,405.0,274.0,209.0,185.0,248.0,66.0,71.0,91.0,27.0,11.0,,
2020-04-07,451.0,439.0,295.0,228.0,201.0,264.0,73.0,75.0,95.0,32.0,13.0,,
2020-04-08,489.0,463.0,314.0,256.0,215.0,285.0,76.0,84.0,100.0,38.0,13.0,,
2020-04-09,548.0,528.0,361.0,297.0,245.0,308.0,87.0,92.0,108.0,43.0,15.0,,
2020-04-10,619.0,598.0,422.0,346.0,279.0,342.0,95.0,97.0,121.0,50.0,15.0,,
2020-04-11,674.0,648.0,456.0,374.0,307.0,358.0,105.0,103.0,125.0,52.0,16.0,,
2020-04-12,684.0,657.0,462.0,380.0,311.0,365.0,108.0,105.0,126.0,53.0,16.0,,
