Sintomas,fecha,numero
Tos,2020-03-25,103
Fiebre,2020-03-25,98
Mialgia,2020-03-25,71
Cefalea,2020-03-25,48
Odinofagia,2020-03-25,48
Disnea,2020-03-25,34
Diarrea,2020-03-25,7
Dolor torácico,2020-03-25,11
Taquipnea,2020-03-25,10
Dolor abdominal,2020-03-25,3
Cianosis,2020-03-25,3
Postración,2020-03-25,1
Congestión nasal,2020-03-25,
Tos,2020-03-26,129
Fiebre,2020-03-26,122
Mialgia,2020-03-26,88
Cefalea,2020-03-26,60
Odinofagia,2020-03-26,54
Disnea,2020-03-26,49
Diarrea,2020-03-26,11
Dolor torácico,2020-03-26,16
Taquipnea,2020-03-26,15
Dolor abdominal,2020-03-26,4
Cianosis,2020-03-26,3
Postración,2020-03-26,1
Congestión nasal,2020-03-26,
Tos,2020-03-27,147
Fiebre,2020-03-27,141
Mialgia,2020-03-27,97
Cefalea,2020-03-27,65
Odinofagia,2020-03-27,63
Disnea,2020-03-27,62
Diarrea,2020-03-27,13
Dolor torácico,2020-03-27,17
Taquipnea,2020-03-27,18
Dolor abdominal,2020-03-27,4
Cianosis,2020-03-27,4
Postración,2020-03-27,1
Congestión nasal,2020-03-27,
Tos,2020-03-28,173
Fiebre,2020-03-28,171
Mialgia,2020-03-28,116
Cefalea,2020-03-28,83
Odinofagia,2020-03-28,75
Disnea,2020-03-28,80
Diarrea,2020-03-28,18
Dolor torácico,2020-03-28,22
Taquipnea,2020-03-28,25
Dolor abdominal,2020-03-28,7
Cianosis,2020-03-28,4
Postración,2020-03-28,1
Congestión nasal,2020-03-28,
Tos,2020-03-29,180
Fiebre,2020-03-29,178
Mialgia,2020-03-29,118
Cefalea,2020-03-29,86
Odinofagia,2020-03-29,80
Disnea,2020-03-29,86
Diarrea,2020-03-29,19
Dolor torácico,2020-03-29,23
Taquipnea,2020-03-29,27
Dolor abdominal,2020-03-29,7
Cianosis,2020-03-29,4
Postración,2020-03-29,1
Congestión nasal,2020-03-29,
Tos,2020-03-30,200
Fiebre,2020-03-30,195
Mialgia,2020-03-30,132
Cefalea,2020-03-30,95
Odinofagia,2020-03-30,87
Disnea,2020-03-30,99
Diarrea,2020-03-30,23
Dolor torácico,2020-03-30,26
Taquipnea,2020-03-30,33
Dolor abdominal,2020-03-30,9
Cianosis,2020-03-30,6
Postración,2020-03-30,
Congestión nasal,2020-03-30,
Tos,2020-03-31,234
Fiebre,2020-03-31,231
Mialgia,2020-03-31,154
Cefalea,2020-03-31,115
Odinofagia,2020-03-31,100
Disnea,2020-03-31,120
Diarrea,2020-03-31,28
Dolor torácico,2020-03-31,32
Taquipnea,2020-03-31,39
Dolor abdominal,2020-03-31,12
Cianosis,2020-03-31,6
Postración,2020-03-31,
Congestión nasal,2020-03-31,
Tos,2020-04-01,273
Fiebre,2020-04-01,264
Mialgia,2020-04-01,174
Cefalea,2020-04-01,133
Odinofagia,2020-04-01,112
Disnea,2020-04-01,141
Diarrea,2020-04-01,37
Dolor torácico,2020-04-01,34
Taquipnea,2020-04-01,48
Dolor abdominal,2020-04-01,16
Cianosis,2020-04-01,7
Postración,2020-04-01,
Congestión nasal,2020-04-01,
Tos,2020-04-02,284
Fiebre,2020-04-02,274
Mialgia,2020-04-02,181
Cefalea,2020-04-02,139
Odinofagia,2020-04-02,118
Disnea,2020-04-02,149
Diarrea,2020-04-02,41
Dolor torácico,2020-04-02,36
Taquipnea,2020-04-02,52
Dolor abdominal,2020-04-02,17
Cianosis,2020-04-02,7
Postración,2020-04-02,
Congestión nasal,2020-04-02,
Tos,2020-04-03,318
Fiebre,2020-04-03,320
Mialgia,2020-04-03,212
Cefalea,2020-04-03,166
Odinofagia,2020-04-03,144
Disnea,2020-04-03,176
Diarrea,2020-04-03,50
Dolor torácico,2020-04-03,46
Taquipnea,2020-04-03,61
Dolor abdominal,2020-04-03,21
Cianosis,2020-04-03,10
Postración,2020-04-03,
Congestión nasal,2020-04-03,
Tos,2020-04-04,362
Fiebre,2020-04-04,357
Mialgia,2020-04-04,243
Cefalea,2020-04-04,184
Odinofagia,2020-04-04,159
Disnea,2020-04-04,202
Diarrea,2020-04-04,58
Dolor torácico,2020-04-04,57
Taquipnea,2020-04-04,69
Dolor abdominal,2020-04-04,27
Cianosis,2020-04-04,9
Postración,2020-04-04,
Congestión nasal,2020-04-04,
Tos,2020-04-05,390
Fiebre,2020-04-05,381
Mialgia,2020-04-05,257
Cefalea,2020-04-05,199
Odinofagia,2020-04-05,174
Disnea,2020-04-05,226
Diarrea,2020-04-05,62
Dolor torácico,2020-04-05,63
Taquipnea,2020-04-05,80
Dolor abdominal,2020-04-05,27
Cianosis,2020-04-05,10
Postración,2020-04-05,
Congestión nasal,2020-04-05,
Tos,2020-04-06,418
Fiebre,2020-04-06,405
Mialgia,2020-04-06,274
Cefalea,2020-04-06,209
Odinofagia,2020-04-06,185
Disnea,2020-04-06,248
Diarrea,2020-04-06,66
Dolor torácico,2020-04-06,71
Taquipnea,2020-04-06,91
Dolor abdominal,2020-04-06,27
Cianosis,2020-04-06,11
Postración,2020-04-06,
Congestión nasal,2020-04-06,
Tos,2020-04-07,451
Fiebre,2020-04-07,439
Mialgia,2020-04-07,295
Cefalea,2020-04-07,228
