Grupo de edad,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26
00 - 5 años,11,12,12,12,12
5 - 17 años,15,15,15,15,15
18 - 49 años,381,392,396,402,403
50 - 59 años,199,205,210,216,220
60 - 69 años,174,177,182,187,187
70 - 79 años,153,157,158,159,162
80 y más años,76,80,81,87,89
00 - 5 años,8,10,11,15,16
5 - 17 años,14,14,14,14,14
18 - 49 años,307,311,316,321,325
50 - 59 años,164,164,168,172,176
60 - 69 años,123,128,130,134,137
70 - 79 años,119,123,123,125,129
80 y más años,75,82,89,96,97
