Grupo de edad,Sexo,fecha,numero
00 - 5 años,M,2020-04-22,11
5 - 17 años,M,2020-04-22,15
18 - 49 años,M,2020-04-22,381
50 - 59 años,M,2020-04-22,199
60 - 69 años,M,2020-04-22,174
70 - 79 años,M,2020-04-22,153
80 y más años,M,2020-04-22,76
00 - 5 años,F,2020-04-22,8
5 - 17 años,F,2020-04-22,14
18 - 49 años,F,2020-04-22,307
50 - 59 años,F,2020-04-22,164
60 - 69 años,F,2020-04-22,123
70 - 79 años,F,2020-04-22,119
80 y más años,F,2020-04-22,75
00 - 5 años,M,2020-04-23,12
5 - 17 años,M,2020-04-23,15
18 - 49 años,M,2020-04-23,392
50 - 59 años,M,2020-04-23,205
60 - 69 años,M,2020-04-23,177
70 - 79 años,M,2020-04-23,157
80 y más años,M,2020-04-23,80
00 - 5 años,F,2020-04-23,10
5 - 17 años,F,2020-04-23,14
18 - 49 años,F,2020-04-23,311
50 - 59 años,F,2020-04-23,164
60 - 69 años,F,2020-04-23,128
70 - 79 años,F,2020-04-23,123
80 y más años,F,2020-04-23,82
00 - 5 años,M,2020-04-24,12
5 - 17 años,M,2020-04-24,15
18 - 49 años,M,2020-04-24,396
50 - 59 años,M,2020-04-24,210
60 - 69 años,M,2020-04-24,182
70 - 79 años,M,2020-04-24,158
80 y más años,M,2020-04-24,81
00 - 5 años,F,2020-04-24,11
5 - 17 años,F,2020-04-24,14
18 - 49 años,F,2020-04-24,316
50 - 59 años,F,2020-04-24,168
60 - 69 años,F,2020-04-24,130
70 - 79 años,F,2020-04-24,123
80 y más años,F,2020-04-24,89
00 - 5 años,M,2020-04-25,12
5 - 17 años,M,2020-04-25,15
18 - 49 años,M,2020-04-25,402
50 - 59 años,M,2020-04-25,216
60 - 69 años,M,2020-04-25,187
70 - 79 años,M,2020-04-25,159
80 y más años,M,2020-04-25,87
00 - 5 años,F,2020-04-25,15
5 - 17 años,F,2020-04-25,14
18 - 49 años,F,2020-04-25,321
50 - 59 años,F,2020-04-25,172
60 - 69 años,F,2020-04-25,134
70 - 79 años,F,2020-04-25,125
80 y más años,F,2020-04-25,96
00 - 5 años,M,2020-04-26,12
5 - 17 años,M,2020-04-26,15
18 - 49 años,M,2020-04-26,403
50 - 59 años,M,2020-04-26,220
60 - 69 años,M,2020-04-26,187
70 - 79 años,M,2020-04-26,162
80 y más años,M,2020-04-26,89
00 - 5 años,F,2020-04-26,16
5 - 17 años,F,2020-04-26,14
18 - 49 años,F,2020-04-26,325
50 - 59 años,F,2020-04-26,176
60 - 69 años,F,2020-04-26,137
70 - 79 años,F,2020-04-26,129
80 y más años,F,2020-04-26,97
00 - 5 años,M,2020-04-27,13
5 - 17 años,M,2020-04-27,15
18 - 49 años,M,2020-04-27,406
50 - 59 años,M,2020-04-27,221
60 - 69 años,M,2020-04-27,197
70 - 79 años,M,2020-04-27,164
80 y más años,M,2020-04-27,93
00 - 5 años,F,2020-04-27,16
5 - 17 años,F,2020-04-27,14
18 - 49 años,F,2020-04-27,330
50 - 59 años,F,2020-04-27,177
60 - 69 años,F,2020-04-27,138
70 - 79 años,F,2020-04-27,131
80 y más años,F,2020-04-27,97
00 - 5 años,M,2020-04-28,14
5 - 17 años,M,2020-04-28,15
18 - 49 años,M,2020-04-28,409
50 - 59 años,M,2020-04-28,225
60 - 69 años,M,2020-04-28,201
70 - 79 años,M,2020-04-28,167
80 y más años,M,2020-04-28,101
00 - 5 años,F,2020-04-28,16
5 - 17 años,F,2020-04-28,16
18 - 49 años,F,2020-04-28,340
50 - 59 años,F,2020-04-28,184
60 - 69 años,F,2020-04-28,142
70 - 79 años,F,2020-04-28,135
80 y más años,F,2020-04-28,102
00 - 5 años,M,2020-05-02,17
5 - 17 años,M,2020-05-02,18
18 - 49 años,M,2020-05-02,488
50 - 59 años,M,2020-05-02,282
60 - 69 años,M,2020-05-02,268
70 - 79 años,M,2020-05-02,216
80 y más años,M,2020-05-02,125
00 - 5 años,F,2020-05-02,20
5 - 17 años,F,2020-05-02,15
18 - 49 años,F,2020-05-02,404
50 - 59 años,F,2020-05-02,214
60 - 69 años,F,2020-05-02,192
70 - 79 años,F,2020-05-02,172
80 y más años,F,2020-05-02,124
