Grupo de edad,Sexo,fecha,numero
00  15 años,M,2020-03-24,1.0
15  29 años,M,2020-03-24,2.0
30  44 años,M,2020-03-24,9.0
45  59 años,M,2020-03-24,8.0
60  79 años,M,2020-03-24,11.0
80 y más años,M,2020-03-24,2.0
00  15 años,F,2020-03-24,1.0
15  29 años,F,2020-03-24,9.0
30  44 años,F,2020-03-24,7.0
45  59 años,F,2020-03-24,6.0
60  79 años,F,2020-03-24,5.0
80 y más años,F,2020-03-24,1.0
00  5 años,M,2020-03-24,
5  17 años,M,2020-03-24,
18  49 años,M,2020-03-24,
50  59 años,M,2020-03-24,
60  69 años,M,2020-03-24,
70  79 años,M,2020-03-24,
80 y más años,M,2020-03-24,
00  5 años,F,2020-03-24,
5  17 años,F,2020-03-24,
18  49 años,F,2020-03-24,
50  59 años,F,2020-03-24,
60  69 años,F,2020-03-24,
70  79 años,F,2020-03-24,
80 y más años,F,2020-03-24,
00  15 años,M,2020-03-25,1.0
15  29 años,M,2020-03-25,6.0
30  44 años,M,2020-03-25,26.0
45  59 años,M,2020-03-25,17.0
60  79 años,M,2020-03-25,22.0
80 y más años,M,2020-03-25,3.0
00  15 años,F,2020-03-25,1.0
15  29 años,F,2020-03-25,13.0
30  44 años,F,2020-03-25,20.0
45  59 años,F,2020-03-25,19.0
60  79 años,F,2020-03-25,12.0
80 y más años,F,2020-03-25,2.0
00  5 años,M,2020-03-25,
5  17 años,M,2020-03-25,
18  49 años,M,2020-03-25,
50  59 años,M,2020-03-25,
60  69 años,M,2020-03-25,
70  79 años,M,2020-03-25,
80 y más años,M,2020-03-25,
00  5 años,F,2020-03-25,
5  17 años,F,2020-03-25,
18  49 años,F,2020-03-25,
50  59 años,F,2020-03-25,
60  69 años,F,2020-03-25,
70  79 años,F,2020-03-25,
80 y más años,F,2020-03-25,
00  15 años,M,2020-03-26,1.0
15  29 años,M,2020-03-26,8.0
30  44 años,M,2020-03-26,28.0
45  59 años,M,2020-03-26,20.0
60  79 años,M,2020-03-26,25.0
80 y más años,M,2020-03-26,6.0
00  15 años,F,2020-03-26,1.0
15  29 años,F,2020-03-26,16.0
30  44 años,F,2020-03-26,24.0
45  59 años,F,2020-03-26,25.0
60  79 años,F,2020-03-26,17.0
80 y más años,F,2020-03-26,2.0
00  5 años,M,2020-03-26,
5  17 años,M,2020-03-26,
18  49 años,M,2020-03-26,
50  59 años,M,2020-03-26,
60  69 años,M,2020-03-26,
70  79 años,M,2020-03-26,
80 y más años,M,2020-03-26,
00  5 años,F,2020-03-26,
5  17 años,F,2020-03-26,
18  49 años,F,2020-03-26,
50  59 años,F,2020-03-26,
60  69 años,F,2020-03-26,
70  79 años,F,2020-03-26,
80 y más años,F,2020-03-26,
00  15 años,M,2020-03-27,1.0
15  29 años,M,2020-03-27,8.0
30  44 años,M,2020-03-27,34.0
45  59 años,M,2020-03-27,23.0
60  79 años,M,2020-03-27,28.0
80 y más años,M,2020-03-27,6.0
00  15 años,F,2020-03-27,1.0
15  29 años,F,2020-03-27,17.0
30  44 años,F,2020-03-27,26.0
45  59 años,F,2020-03-27,27.0
60  79 años,F,2020-03-27,25.0
80 y más años,F,2020-03-27,3.0
00  5 años,M,2020-03-27,
5  17 años,M,2020-03-27,
18  49 años,M,2020-03-27,
50  59 años,M,2020-03-27,
60  69 años,M,2020-03-27,
70  79 años,M,2020-03-27,
80 y más años,M,2020-03-27,
00  5 años,F,2020-03-27,
5  17 años,F,2020-03-27,
18  49 años,F,2020-03-27,
50  59 años,F,2020-03-27,
60  69 años,F,2020-03-27,
70  79 años,F,2020-03-27,
80 y más años,F,2020-03-27,
00  15 años,M,2020-03-28,1.0
15  29 años,M,2020-03-28,9.0
30  44 años,M,2020-03-28,42.0
45  59 años,M,2020-03-28,32.0
60  79 años,M,2020-03-28,32.0
80 y más años,M,2020-03-28,8.0
00  15 años,F,2020-03-28,1.0
15  29 años,F,2020-03-28,18.0
30  44 años,F,2020-03-28,26.0
45  59 años,F,2020-03-28,31.0
60  79 años,F,2020-03-28,32.0
80 y más años,F,2020-03-28,5.0
00  5 años,M,2020-03-28,
5  17 años,M,2020-03-28,
18  49 años,M,2020-03-28,
50  59 años,M,2020-03-28,
60  69 años,M,2020-03-28,
70  79 años,M,2020-03-28,
80 y más años,M,2020-03-28,
00  5 años,F,2020-03-28,
5  17 años,F,2020-03-28,
18  49 años,F,2020-03-28,
50  59 años,F,2020-03-28,
60  69 años,F,2020-03-28,
70  79 años,F,2020-03-28,
80 y más años,F,2020-03-28,
00  15 años,M,2020-03-29,1.0
15  29 años,M,2020-03-29,9.0
30  44 años,M,2020-03-29,43.0
45  59 años,M,2020-03-29,35.0
60  79 años,M,2020-03-29,35.0
80 y más años,M,2020-03-29,8.0
00  15 años,F,2020-03-29,2.0
15  29 años,F,2020-03-29,18.0
30  44 años,F,2020-03-29,28.0
45  59 años,F,2020-03-29,31.0
60  79 años,F,2020-03-29,32.0
80 y más años,F,2020-03-29,6.0
00  5 años,M,2020-03-29,
5  17 años,M,2020-03-29,
18  49 años,M,2020-03-29,
50  59 años,M,2020-03-29,
60  69 años,M,2020-03-29,
70  79 años,M,2020-03-29,
80 y más años,M,2020-03-29,
00  5 años,F,2020-03-29,
5  17 años,F,2020-03-29,
18  49 años,F,2020-03-29,
50  59 años,F,2020-03-29,
60  69 años,F,2020-03-29,
70  79 años,F,2020-03-29,
80 y más años,F,2020-03-29,
00  15 años,M,2020-03-30,1.0
15  29 años,M,2020-03-30,11.0
30  44 años,M,2020-03-30,46.0
45  59 años,M,2020-03-30,39.0
60  79 años,M,2020-03-30,36.0
80 y más años,M,2020-03-30,8.0
