Grupo de edad,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02
< 1 años,0,0,0,1,2,2,2,2,,,,,,,,
1 - 4 años,0,0,0,0,0,0,0,0,,,,,,,,
5 - 14 años,2,2,2,2,2,2,2,2,,,,,,,,
15 - 44 años,124,143,164,183,187,190,193,196,,,,,,,,
45 - 64 años,179,196,234,270,284,290,292,292,,,,,,,,
65 y más años,144,156,162,187,196,197,200,216,,,,,,,,
00 - 5 años,,,,,,,,,3,4,5,5,6,7,7,9
5 - 17 años,,,,,,,,,2,2,2,2,2,2,2,2
18 - 49 años,,,,,,,,,253,260,261,264,264,264,269,339
50 - 59 años,,,,,,,,,168,172,173,175,179,180,182,229
60 - 69 años,,,,,,,,,159,161,163,167,167,172,174,207
70 - 79 años,,,,,,,,,114,114,114,115,117,119,122,140
80 y más años,,,,,,,,,36,40,40,44,43,43,43,51
