Grupo de edad,fecha,numero
00 - 5 años,2020-04-22,3
5 - 17 años,2020-04-22,2
18 - 49 años,2020-04-22,253
50 - 59 años,2020-04-22,168
60 - 69 años,2020-04-22,159
70 - 79 años,2020-04-22,114
80 y más años,2020-04-22,36
00 - 5 años,2020-04-23,4
5 - 17 años,2020-04-23,2
18 - 49 años,2020-04-23,260
50 - 59 años,2020-04-23,172
60 - 69 años,2020-04-23,161
70 - 79 años,2020-04-23,114
80 y más años,2020-04-23,40
00 - 5 años,2020-04-24,5
5 - 17 años,2020-04-24,2
18 - 49 años,2020-04-24,261
50 - 59 años,2020-04-24,173
60 - 69 años,2020-04-24,163
70 - 79 años,2020-04-24,114
80 y más años,2020-04-24,40
00 - 5 años,2020-04-25,5
5 - 17 años,2020-04-25,2
18 - 49 años,2020-04-25,264
50 - 59 años,2020-04-25,175
60 - 69 años,2020-04-25,167
70 - 79 años,2020-04-25,115
80 y más años,2020-04-25,44
00 - 5 años,2020-04-26,6
5 - 17 años,2020-04-26,2
18 - 49 años,2020-04-26,264
50 - 59 años,2020-04-26,179
60 - 69 años,2020-04-26,167
70 - 79 años,2020-04-26,117
80 y más años,2020-04-26,43
00 - 5 años,2020-04-27,7
5 - 17 años,2020-04-27,2
18 - 49 años,2020-04-27,264
50 - 59 años,2020-04-27,180
60 - 69 años,2020-04-27,172
70 - 79 años,2020-04-27,119
80 y más años,2020-04-27,43
00 - 5 años,2020-04-28,7
5 - 17 años,2020-04-28,2
18 - 49 años,2020-04-28,269
50 - 59 años,2020-04-28,182
60 - 69 años,2020-04-28,174
70 - 79 años,2020-04-28,122
80 y más años,2020-04-28,43
