Grupo de edad,fecha,numero
< 1 años,2020-04-13,0
1 - 4 años,2020-04-13,0
5 - 14 años,2020-04-13,2
15 - 44 años,2020-04-13,124
45 - 64 años,2020-04-13,179
65 y más años,2020-04-13,144
< 1 años,2020-04-14,0
1 - 4 años,2020-04-14,0
5 - 14 años,2020-04-14,2
15 - 44 años,2020-04-14,143
45 - 64 años,2020-04-14,196
65 y más años,2020-04-14,156
< 1 años,2020-04-15,0
1 - 4 años,2020-04-15,0
5 - 14 años,2020-04-15,2
15 - 44 años,2020-04-15,164
45 - 64 años,2020-04-15,234
65 y más años,2020-04-15,162
< 1 años,2020-04-16,1
1 - 4 años,2020-04-16,0
5 - 14 años,2020-04-16,2
15 - 44 años,2020-04-16,183
45 - 64 años,2020-04-16,270
65 y más años,2020-04-16,187
< 1 años,2020-04-17,2
1 - 4 años,2020-04-17,0
5 - 14 años,2020-04-17,2
15 - 44 años,2020-04-17,187
45 - 64 años,2020-04-17,284
65 y más años,2020-04-17,196
< 1 años,2020-04-18,2
1 - 4 años,2020-04-18,0
5 - 14 años,2020-04-18,2
15 - 44 años,2020-04-18,190
45 - 64 años,2020-04-18,290
65 y más años,2020-04-18,197
< 1 años,2020-04-19,2
1 - 4 años,2020-04-19,0
5 - 14 años,2020-04-19,2
15 - 44 años,2020-04-19,193
45 - 64 años,2020-04-19,292
65 y más años,2020-04-19,200
< 1 años,2020-04-20,2
1 - 4 años,2020-04-20,0
5 - 14 años,2020-04-20,2
15 - 44 años,2020-04-20,196
45 - 64 años,2020-04-20,292
65 y más años,2020-04-20,216
