Region,Fecha,Casos confirmados
Arica y Parinacota,2020-04-29,4
Tarapacá,2020-04-29,14
Antofagasta,2020-04-29,33
Atacama,2020-04-29,7
Coquimbo,2020-04-29,2
Valparaíso,2020-04-29,33
Metropolitana,2020-04-29,339
O'Higgins,2020-04-29,7
Maule,2020-04-29,8
Ñuble,2020-04-29,14
Biobío,2020-04-29,10
Araucania,2020-04-29,22
Los Ríos,2020-04-29,2
Los Lagos,2020-04-29,4
Aysén,2020-04-29,0
Magallanes,2020-04-29,21
Total,2020-04-29,520
Arica y Parinacota,2020-04-30,2
Tarapacá,2020-04-30,15
Antofagasta,2020-04-30,27
Atacama,2020-04-30,1
Coquimbo,2020-04-30,0
Valparaíso,2020-04-30,28
Metropolitana,2020-04-30,650
O'Higgins,2020-04-30,3
Maule,2020-04-30,0
Ñuble,2020-04-30,7
Biobío,2020-04-30,6
Araucania,2020-04-30,18
Los Ríos,2020-04-30,7
Los Lagos,2020-04-30,5
Aysén,2020-04-30,0
Magallanes,2020-04-30,11
Total,2020-04-30,780
Arica y Parinacota,2020-05-01,13
Tarapacá,2020-05-01,0
Antofagasta,2020-05-01,37
Atacama,2020-05-01,0
Coquimbo,2020-05-01,0
Valparaíso,2020-05-01,4
Metropolitana,2020-05-01,812
O'Higgins,2020-05-01,1
Maule,2020-05-01,1
Ñuble,2020-05-01,0
Biobío,2020-05-01,0
Araucania,2020-05-01,0
Los Ríos,2020-05-01,0
Los Lagos,2020-05-01,13
Aysén,2020-05-01,0
Magallanes,2020-05-01,1
Total,2020-05-01,882
Arica y Parinacota,2020-05-02,4
Tarapacá,2020-05-02,11
Antofagasta,2020-05-02,80
Atacama,2020-05-02,13
Coquimbo,2020-05-02,1
Valparaíso,2020-05-02,42
Metropolitana,2020-05-02,998
O'Higgins,2020-05-02,10
Maule,2020-05-02,2
Ñuble,2020-05-02,4
Biobío,2020-05-02,19
Araucania,2020-05-02,19
Los Ríos,2020-05-02,7
Los Lagos,2020-05-02,11
Aysén,2020-05-02,0
Magallanes,2020-05-02,25
Total,2020-05-02,1246
Arica y Parinacota,2020-05-03,1
Tarapacá,2020-05-03,54
Antofagasta,2020-05-03,45
Atacama,2020-05-03,8
Coquimbo,2020-05-03,5
Valparaíso,2020-05-03,23
Metropolitana,2020-05-03,912
O'Higgins,2020-05-03,4
Maule,2020-05-03,1
Ñuble,2020-05-03,7
Biobío,2020-05-03,7
Araucania,2020-05-03,14
Los Ríos,2020-05-03,2
Los Lagos,2020-05-03,4
Aysén,2020-05-03,0
Magallanes,2020-05-03,25
Total,2020-05-03,1112
