Region,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
Arica y Parinacota,0,5,5,6,0,0,0,0,1,1,2,1,1,0,1,0,0,2,0,2,3,0,8,3,2,3,0,1,2,3
Tarapacá,0,0,2,1,6,7,13,4,40,37,1,7,9,8,6,16,22,15,22,8,13,2,8,26,10,8,13,10,4,27
Antofagasta,0,5,6,10,16,6,10,16,9,2,5,4,4,6,16,13,16,27,16,14,16,32,12,8,4,10,7,4,9,13
Atacama,0,0,0,3,0,1,4,2,6,1,9,0,4,0,0,1,1,0,1,3,0,2,2,4,1,0,0,1,1,1
Coquimbo,0,0,1,0,5,2,1,0,2,2,6,6,0,4,5,9,10,7,6,5,6,11,3,3,1,4,1,9,7,3
Valparaíso,0,5,5,4,1,0,0,5,4,9,7,13,8,5,15,21,33,20,24,9,14,24,16,13,9,15,10,17,10,31
Metropolitana,250,86,79,147,83,82,22,91,97,129,189,171,137,132,430,257,267,199,219,171,338,290,336,335,237,286,386,281,305,404
O'Higgins,0,1,0,1,1,0,0,1,0,3,2,5,8,1,6,14,6,0,15,19,11,2,2,6,6,8,5,7,13,1
Maule,0,1,0,0,0,0,2,0,0,0,1,1,4,4,2,10,7,2,5,6,5,11,7,1,4,4,7,0,1,8
Ñuble,0,0,0,4,3,1,0,1,1,0,2,3,1,0,2,0,6,22,7,6,0,3,1,0,7,2,0,0,3,5
Biobío,0,2,2,3,1,0,1,3,7,8,9,7,21,10,6,6,9,9,6,5,3,9,7,5,4,9,10,4,9,16
Araucania,0,2,2,0,0,2,2,10,16,11,0,14,10,2,4,5,10,7,6,5,9,4,10,0,7,8,19,5,7,7
Los Ríos,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,1,1,0,2,5,1,0,0,0
Los Lagos,0,1,1,1,0,2,0,5,4,2,4,6,9,0,13,5,2,0,1,4,2,0,13,9,5,3,7,4,0,6
Aysén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes,0,0,0,1,0,1,1,1,3,3,4,3,5,7,2,1,0,3,1,2,0,0,0,0,0,1,1,3,1,1
Total,250,108,103,181,116,104,56,139,190,208,243,241,222,179,508,358,390,313,329,260,421,391,426,413,299,366,467,346,372,526
