Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,Araucania,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-04-29,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,250
2020-04-30,5,0,5,0,0,5,86,1,1,0,2,2,0,1,0,0,108
2020-05-01,5,2,6,0,1,5,79,0,0,0,2,2,0,1,0,0,103
2020-05-02,6,1,10,3,0,4,147,1,0,4,3,0,0,1,0,1,181
2020-05-03,0,6,16,0,5,1,83,1,0,3,1,0,0,0,0,0,116
2020-05-04,0,7,6,1,2,0,82,0,0,1,0,2,0,2,0,1,104
2020-05-05,0,13,10,4,1,0,22,0,2,0,1,2,0,0,0,1,56
2020-05-06,0,4,16,2,0,5,91,1,0,1,3,10,0,5,0,1,139
2020-05-07,1,40,9,6,2,4,97,0,0,1,7,16,0,4,0,3,190
2020-05-08,1,37,2,1,2,9,129,3,0,0,8,11,0,2,0,3,208
2020-05-09,2,1,5,9,6,7,189,2,1,2,9,0,2,4,0,4,243
2020-05-10,1,7,4,0,6,13,171,5,1,3,7,14,0,6,0,3,241
2020-05-11,1,9,4,4,0,8,137,8,4,1,21,10,1,9,0,5,222
