Region,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21
Arica y Parinacota,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tarapacá,01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Coquimbo,04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Valparaíso,05,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
Metropolitana,13,0,0,0,0,0,0,0,0,0,1,1,2,2.0,0.0,0.0
O’Higgins,06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Maule,07,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ñuble,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Biobío,08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Araucanía,09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Ríos,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Lagos,10,0,0,0,0,9,10,1,1,0,0,0,0,0.0,0.0,0.0
Aysén,11,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
Magallanes,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
