Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos, PCR
Arica  y  Parinacota,12,53,1  %,0,29
Tarapaca,2,23,0  %,0,0
Antofagasta,1,69,1  %,1,40
Atacama,1,6,0  %,0,31
Coquimbo,1,52,1  %,0,0
Valparaiso,16,214,4  %,1,55
Metropolitana,106,2350,46  %,12,1166
O'Higgins,0,42,1  %,0,35
Maule,0,108,2  %,2,154
Nuble,48,522,10  %,5,129,129
Biobio,27,410,8  %,2,221
Araucania,50,612,12  %,14,143
Los  Rios,5,109,2  %,2,0
Los  Lagos,13,299,6  %,2,247
Aysen,0,7,0  %,0,8
Magallanes,19,240,5  %,2,0
Total,301,5116,100%,43,2258
