Region,11-03-2020,23-03-2020,18-03-2020,04-03-2020,14-03-2020,02-04-2020,26-03-2020,08-03-2020,25-03-2020,17-03-2020,01-04-2020,30-03-2020,29-03-2020,07-03-2020,20-03-2020,04-04-2020,12-03-2020,27-03-2020,09-03-2020,03-04-2020,15-03-2020,05-03-2020,19-03-2020,22-03-2020,10-03-2020,06-04-2020,13-03-2020,21-03-2020,28-03-2020,06-03-2020,31-03-2020,03-03-2020,16-03-2020,24-03-2020
Arica y Parinacota,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,1,0,16,0,0,0,0,0,0,0,0
Tarapacá,0,0,0,0,0,2,1,0,3,0,0,2,1,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,55,0,0,1
Antofagasta,0,1,0,0,2,8,1,0,2,0,4,8,2,0,4,1,0,1,0,7,0,0,0,1,0,5,0,4,4,0,0,0,0,0
Atacama,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,0,2,0,0,0,4,1,0,5,0,2,9,3,0,1,9,0,1,0,1,0,0,2,2,0,6,0,0,1,0,0,0,0,1
Valparaíso,0,3,0,0,0,20,12,0,6,0,21,28,9,0,1,9,0,5,0,20,0,0,3,3,0,6,0,8,22,0,15,0,1,3
Metropolitana,4,50,22,1,11,115,64,2,81,29,101,128,83,1,57,215,9,192,3,106,14,1,73,50,1,145,6,55,146,1,1,0,69,50
O’Higgins,0,1,0,0,0,6,3,0,1,0,3,0,1,0,4,5,0,2,0,1,0,0,2,1,0,3,0,1,4,0,23,0,0,0
Maule,2,10,2,1,1,11,1,1,1,0,9,12,5,0,0,8,0,1,1,7,0,0,3,10,1,6,1,1,5,0,11,0,0,3
Ñuble,0,6,0,0,2,82,3,0,24,14,14,32,25,0,16,31,1,30,0,29,0,0,2,6,0,24,1,14,28,0,24,0,8,17
Biobío,0,5,3,0,0,35,14,0,27,0,24,16,34,0,5,45,0,26,1,27,0,0,7,5,0,18,2,11,16,0,8,0,1,11
Araucanía,0,12,3,0,0,46,37,0,19,0,41,42,28,0,2,45,0,32,0,43,0,0,3,12,0,32,0,6,34,0,125,0,1,13
Los Ríos,0,0,0,0,0,4,3,0,2,0,6,7,13,0,0,11,0,8,0,10,0,0,0,0,0,10,0,0,5,0,2,0,1,3
Los Lagos,0,3,7,0,0,22,16,0,3,0,30,24,11,1,2,25,0,3,0,31,0,0,8,3,0,17,0,2,30,0,2,0,0,10
Aysén,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0
Magallanes,0,1,0,0,0,15,6,0,2,2,36,0,13,0,0,16,0,3,0,42,0,0,0,1,0,18,0,1,4,0,16,0,0,2
Total,6,95,37,2,18,373,164,3,176,45,293,310,230,2,92,424,10,304,5,333,14,1,103,95,2,310,10,103,299,1,289,0,81,114
