Region,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-06,2020-04-07,2020-04-08
Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,35,6,7,12,12,28.0,53,53
Tarapaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,6,8,302,10,12,13,17,20.0,23,23
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,10,11,11,11,13,20,21,25,27,35,6,39,47,54,55,60.0,69,69
Atacama,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5.0,6,6
Coquimbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,6,11,13,14,15,18,27,2,30,34,35,44,50.0,52,52
Valparaiso,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,13,16,16,19,25,44,49,71,80,108,216,136,156,176,185,191.0,214,214
Metropolitana,0,1,2,3,4,6,9,10,14,23,29,40,54,123,152,174,247,304,359,409,409,459,540,746,938,1084,1167,1295,28,1521,1636,1742,1957,2.102,2350,2350
O’Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,8,8,8,9,14,16,20,21,21,151,26,32,33,38,41.0,42,42
Maule,1,2,2,2,2,3,4,5,7,7,8,9,9,9,9,11,14,14,15,25,25,28,29,31,32,37,42,54,58,71,82,89,97,103.0,108,108
Ñuble,0,0,0,0,0,0,0,0,0,1,2,4,4,12,26,26,28,44,58,64,64,81,105,114,144,172,197,229,63,259,341,370,401,425.0,522,522
Biobío,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,7,14,19,30,35,35,46,73,109,135,151,185,201,62,240,275,302,347,365.0,410,410
Araucanía,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,9,15,27,27,40,59,111,143,177,205,247,1420,343,389,432,477,509.0,612,612
Los Ríos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,6,14,22,27,40,47,23,64,68,78,89,99.0,109,109
Los Lagos,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,8,16,18,20,23,23,33,36,60,63,93,104,128,10,181,203,234,259,276.0,299,299
Aysén,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,115,3,5,6,6,7.0,7,7
Magallanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,6,8,19,22,26,39,39,245,99,114,156,172,190.0,240,240
Total,1,3,4,5,7,10,15,17,23,33,43,61,75,156,201,238,342,434,537,632,632,746,922,1306,1610,1909,2139,2449,2738,3031,3404,3737,4161,4.471,5116,5116
