Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2,2,2,2,2,2,2,15,15,15,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Comuna,Antofagasta,Calama,María Elena,Mejillones,San Pedro de Atacama,Taltal,Tocopilla,Arica,General Lagos,Putre,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Aisén,Chile Chico,Cisnes,Cochrane,Coihaique,Guaitecas,O'Higgins,Río Ibáñez,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Tucapel,Yumbel,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Chimbarongo,Chépica,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Mariquina,Máfil,Paillaco,Panguipulli,Río Bueno,Valdivia,Cabo de Hornos,Natales,Porvenir,Punta Arenas,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa María,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ranquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Ñiquén
Codigo comuna,2101.0,2201.0,2302.0,2102.0,2203.0,2104.0,2301.0,15101.0,15202.0,15201.0,3302.0,3102.0,3201.0,3101.0,3202.0,3303.0,3304.0,3103.0,3301.0,11201.0,11401.0,11202.0,11301.0,11101.0,11203.0,11302.0,11402.0,8314.0,8302.0,8202.0,8303.0,8203.0,8103.0,8101.0,8204.0,8102.0,8205.0,8104.0,8112.0,8105.0,8304.0,8201.0,8206.0,8301.0,8106.0,8305.0,8306.0,8307.0,8107.0,8308.0,8309.0,8108.0,8310.0,8311.0,8109.0,8110.0,8207.0,8111.0,8312.0,8313.0,4103.0,4202.0,4302.0,4102.0,4201.0,4104.0,4101.0,4203.0,4303.0,4301.0,4105.0,4304.0,4305.0,4204.0,4106.0,9201.0,9102.0,9121.0,9202.0,9103.0,9203.0,9104.0,9204.0,9105.0,9106.0,9107.0,9108.0,9109.0,9205.0,9206.0,9207.0,9110.0,9111.0,9112.0,9113.0,9114.0,9115.0,9208.0,9209.0,9116.0,9101.0,9117.0,9118.0,9210.0,9211.0,9119.0,9120.0,6303.0,6302.0,6102.0,6103.0,6104.0,6105.0,6106.0,6202.0,6107.0,6203.0,6304.0,6108.0,6109.0,6204.0,6110.0,6305.0,6205.0,6111.0,6206.0,6307.0,6112.0,6113.0,6201.0,6308.0,6309.0,6114.0,6101.0,6115.0,6116.0,6301.0,6117.0,6310.0,10202.0,10102.0,10201.0,10401.0,10203.0,10103.0,10204.0,10205.0,10104.0,10105.0,10402.0,10403.0,10107.0,10106.0,10108.0,10301.0,10404.0,10101.0,10302.0,10109.0,10206.0,10303.0,10304.0,10207.0,10208.0,10209.0,10210.0,10305.0,10306.0,10307.0,14102.0,14202.0,14201.0,14203.0,14103.0,14104.0,14106.0,14105.0,14107.0,14108.0,14204.0,14101.0,12201.0,12401.0,12301.0,12101.0,7201.0,7202.0,7402.0,7102.0,7103.0,7301.0,7104.0,7302.0,7303.0,7401.0,7403.0,7105.0,7304.0,7404.0,7106.0,7203.0,7107.0,7305.0,7405.0,7306.0,7108.0,7307.0,7109.0,7406.0,7110.0,7101.0,7308.0,7309.0,7407.0,7408.0,13502.0,13402.0,13403.0,13102.0,13103.0,13301.0,13104.0,13503.0,13105.0,13602.0,13106.0,13107.0,13108.0,13603.0,13109.0,13110.0,13111.0,13112.0,13113.0,13302.0,13114.0,13115.0,13116.0,13117.0,13118.0,13119.0,13504.0,13501.0,13604.0,13404.0,13121.0,13605.0,13122.0,13202.0,13123.0,13124.0,13201.0,13125.0,13126.0,13127.0,13128.0,13401.0,13129.0,13203.0,13130.0,13505.0,13131.0,13101.0,13601.0,13303.0,13132.0,13120.0,1107.0,1402.0,1403.0,1404.0,1101.0,1405.0,1401.0,5602.0,5402.0,5502.0,5302.0,5603.0,5102.0,5702.0,5103.0,5604.0,5605.0,5503.0,5201.0,5504.0,5401.0,5802.0,5703.0,5301.0,5506.0,5803.0,5704.0,5403.0,5404.0,5105.0,5705.0,5501.0,5801.0,5107.0,5303.0,5601.0,5304.0,5701.0,5706.0,5101.0,5804.0,5109.0,5405.0,16102.0,16101.0,16103.0,16202.0,16203.0,16302.0,16104.0,16204.0,16105.0,16106.0,16205.0,16107.0,16201.0,16206.0,16301.0,16304.0,16108.0,16305.0,16207.0,16109.0,16303.0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,10,1,0,0,0,0,2,7,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1,15,1,2,2,0,0,1,0,0,0,13,1,0,0,0,2,0,0,2,0,0,1,9,0,1,0,0,0,0,1,6,2,0,4,0,2,3,0,0,0,1,1,3,0,1,3,2,0,0,0,2,0,1,0,4,0,0,0,1,3,3,0,1,1,1,0,0,10,0,0,0,4,0,1,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,5,0,2,1,4,0,0,2,0,0,0,0,1,0,1,1,0,1,0,1,6,0,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,10,0,0,0,3,4,1,0,1,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,7,0,0,0,0,0,3,0,2,2,2,3,0,1,0,0,3,45,0,2,12,5,2,3,2,8,2,0,1,3,12,1,6,1,1,3,3,7,0,11,2,9,3,3,3,2,8,4,0,9,0,4,18,2,0,1,1,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,9,6,0,0,1,0,4,0,9,3,19,0,0,13,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
2020-01-03,6,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,2,0,10,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,1,0,0,8,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,1,3,1,1,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,8,0,1,0,2,0,1,0,0,0,3,0,1,1,5,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,1,25,1,3,6,0,3,2,1,7,1,2,3,2,7,0,5,0,0,1,4,3,0,10,0,9,0,0,2,1,3,0,0,6,0,4,15,1,1,1,7,2,0,0,0,7,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,6,5,2,0,5,1,5,0,11,3,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020-01-04,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,10,0,2,5,1,0,1,0,8,0,1,0,1,5,0,1,0,0,1,0,4,0,9,5,4,0,1,5,0,4,3,1,2,0,3,9,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,14,0,1,3,1,1,2,0,3,0,1,0,0,5,0,0,1,0,1,0,1,0,5,0,5,3,3,3,2,3,0,1,8,0,3,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,16,3,0,0,0,0,0,15,0,0,0,0,1,7,1,1,1,0,6,1,0,0,0,2,0,0,0,0,0,0,0,3,2,20,0,3,1,0,2,0,0,3,1,11,2,2,1,0,3,0,1,1,0,0,1,7,0,6,0,0,1,0,0,11,2,0,11,0,1,6,0,0,0,1,2,3,2,1,0,5,2,1,1,0,1,0,0,1,0,0,1,0,4,2,0,1,2,0,0,0,22,0,1,0,5,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,23,5,0,4,2,1,0,0,7,0,0,0,0,0,0,0,0,1,3,0,0,11,0,7,0,2,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,3,12,0,2,0,10,2,0,0,5,1,9,0,0,0,5,2,1,0,3,0,0,1,0,0,0,2,0,0,4,0,18,2,0,1,0,0,2,0,1,1,0,2,0,4,0,0,0,20,0,0,8,1,2,2,2,8,2,0,0,0,5,1,6,0,0,1,2,7,0,5,1,8,3,1,1,1,9,1,0,10,0,3,16,1,0,4,6,0,0,0,0,9,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,14,3,2,0,9,0,8,3,14,5,18,0,0,9,1,0,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0
2020-01-07,6,2,0,0,0,0,1,1,0,0,0,1,0,6,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,0,2,2,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,10,1,0,5,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,3,1,0,1,0,1,0,0,6,1,0,0,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,2,2,0,6,0,0,0,0,1,1,0,0,0,0,0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,5,0,0,0,3,2,0,0,0,1,5,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,3,1,2,1,2,0,0,1,1,19,1,1,17,1,0,4,1,6,0,1,0,0,4,0,3,0,0,3,1,3,0,8,1,4,0,0,1,3,3,1,0,5,0,0,4,2,0,2,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,6,1,1,0,2,0,6,0,9,4,13,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
