Region,Comuna,Defunciones,Fecha,Codigo region,Codigo comuna
Arica y Parinacota,Arica,5,2020-05-06,,
Arica y Parinacota,Arica,6,2020-05-07,,
Arica y Parinacota,Arica,4,2020-05-08,,
Arica y Parinacota,Arica,8,2020-05-11,,
Arica y Parinacota,Arica,1,2020-05-12,,
Arica y Parinacota,Arica,7,2020-01-02,,
Arica y Parinacota,Arica,3,2020-01-03,,
Arica y Parinacota,Arica,1,2020-01-04,,
Arica y Parinacota,Arica,15,2020-01-06,,
Arica y Parinacota,Arica,1,2020-01-07,,
Arica y Parinacota,Arica,2,2020-01-08,,
Arica y Parinacota,Arica,3,2020-01-09,,
Arica y Parinacota,Arica,7,2020-01-10,,
Arica y Parinacota,Arica,12,2020-01-13,,
Arica y Parinacota,Arica,2,2020-01-14,,
Arica y Parinacota,Arica,2,2020-01-15,,
Arica y Parinacota,Arica,4,2020-01-16,,
Arica y Parinacota,Arica,8,2020-01-17,,
Arica y Parinacota,Arica,1,2020-01-18,,
Arica y Parinacota,Arica,13,2020-01-20,,
Arica y Parinacota,Arica,7,2020-01-21,,
Arica y Parinacota,Arica,4,2020-01-22,,
Arica y Parinacota,Arica,10,2020-01-23,,
Arica y Parinacota,General Lagos,1,2020-01-23,,
Arica y Parinacota,Arica,9,2020-01-24,,
Arica y Parinacota,Arica,10,2020-01-27,,
Arica y Parinacota,Arica,3,2020-01-28,,
Arica y Parinacota,Arica,4,2020-01-29,,
Arica y Parinacota,Arica,6,2020-01-30,,
Arica y Parinacota,Arica,6,2020-01-31,,
Arica y Parinacota,Arica,8,2020-02-03,,
Arica y Parinacota,Arica,4,2020-02-04,,
Arica y Parinacota,Arica,9,2020-02-05,,
Arica y Parinacota,Arica,4,2020-02-06,,
Arica y Parinacota,Arica,6,2020-02-07,,
Arica y Parinacota,Arica,7,2020-02-10,,
Arica y Parinacota,Arica,3,2020-02-11,,
Arica y Parinacota,Arica,5,2020-02-12,,
Arica y Parinacota,Arica,4,2020-02-13,,
Arica y Parinacota,Arica,2,2020-02-14,,
Arica y Parinacota,Arica,16,2020-02-17,,
Arica y Parinacota,Arica,3,2020-02-18,,
Arica y Parinacota,Arica,7,2020-02-20,,
Arica y Parinacota,Arica,5,2020-02-21,,
Arica y Parinacota,Arica,11,2020-02-24,,
Arica y Parinacota,Arica,6,2020-02-25,,
Arica y Parinacota,Arica,4,2020-02-26,,
Arica y Parinacota,Arica,4,2020-02-27,,
Arica y Parinacota,Arica,1,2020-02-28,,
Arica y Parinacota,Arica,15,2020-03-02,,
Arica y Parinacota,Arica,4,2020-03-03,,
Arica y Parinacota,Arica,1,2020-03-04,,
Arica y Parinacota,Arica,3,2020-03-05,,
Arica y Parinacota,Arica,5,2020-03-06,,
Arica y Parinacota,Arica,5,2020-03-09,,
Arica y Parinacota,Arica,4,2020-03-10,,
Arica y Parinacota,Arica,3,2020-03-11,,
Arica y Parinacota,Arica,3,2020-03-12,,
Arica y Parinacota,Arica,4,2020-03-13,,
Arica y Parinacota,Arica,9,2020-03-16,,
