Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Comuna,Antofagasta,Calama,María Elena,Mejillones,Ollagüe,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Arica,Camarones,General Lagos,Putre,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Chile Chico,Cisnes,Cochrane,Coihaique,Guaitecas,Lago Verde,Río Ibáñez,Tortel,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Tucapel,Yumbel,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Chimbarongo,Chépica,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Mariquina,Máfil,Paillaco,Panguipulli,Río Bueno,Valdivia,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Río Verde,San Gregorio,Timaukel,Torres del Paine,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Cruz,La Ligua,Limache,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa María,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ranquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Ñiquén
Codigo comuna,2101,2201,2302,2102,2202,2203,2103,2104,2301,15101,15102,15202,15201,3302,3102,3201,3101,3202,3303,3304,3103,3301,11401,11202,11301,11101,11203,11102,11402,11303,8314,8302,8202,8303,8203,8103,8101,8204,8102,8205,8104,8112,8105,8304,8201,8206,8301,8106,8305,8306,8307,8107,8308,8309,8108,8310,8311,8109,8110,8207,8111,8312,8313,4103,4202,4302,4102,4201,4104,4101,4203,4303,4301,4105,4304,4305,4204,4106,9201,9102,9121,9202,9103,9203,9104,9204,9105,9106,9107,9108,9109,9205,9206,9207,9110,9111,9112,9113,9114,9115,9208,9209,9116,9101,9117,9118,9210,9211,9119,9120,6303,6302,6102,6103,6104,6105,6106,6202,6107,6203,6304,6108,6109,6204,6110,6305,6205,6111,6306,6206,6307,6112,6113,6201,6308,6309,6114,6101,6115,6116,6301,6117,6310,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,14102,14202,14201,14203,14103,14104,14106,14105,14107,14108,14204,14101,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402,7201,7202,7402,7102,7103,7301,7104,7302,7303,7401,7403,7105,7304,7404,7106,7203,7107,7305,7405,7306,7108,7307,7109,7406,7110,7101,7308,7309,7407,7408,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,13120,1107,1402,1403,1404,1101,1405,1401,5602,5402,5302,5603,5102,5702,5103,5604,5605,5503,5201,5104,5504,5401,5802,5301,5506,5803,5704,5403,5404,5105,5705,5501,5801,5107,5303,5601,5304,5701,5706,5606,5101,5804,5109,5405,16102,16101,16103,16202,16203,16302,16104,16204,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,16303
Superficie_km2,30718.1,15596.9,12197,3803.9,2964,23439,12886,20405.1,4038.8,4799.4,3927,2244.4,5902.5,5939,4666.6,5772,16681.3,18664,3207.9,1601.4,11191,7084,5737.1,16093,8.599.5,7290.2,620.6,5422.3,5997.2,19710.6,2124.6,1884.1,956.1,639.8,1089.2,71.5,221.6,638.8,279.4,994.3,608.6,53.5,530.5,339.8,561.4,599.1,1748.2,135.8,1925.3,934.9,156.5,107.6,1123.7,1121.8,112.5,92.4,1254.9,731.2,92.3,624.4,494.5,914.9,727,310,2196.6,2257.5,1429,2629,4158.2,1892.8,1823.8,4366.9,3835,1495,1339,2180,3445,7610,1194.4,1340.6,427.9,1295.9,1906.5,1664,1170.7,499.7,935.2,568.2,694.5,901.1,976.8,3914.2,849.8,1119,1107.3,732.5,400.7,330.7,580.7,1248.5,464.9,267.4,400.8,464,649.9,860.4,908,1256,1420.9,1291.1,498,503,287,98,225,78,113,435,749,619,597,2597,113,660,524,111,300,45,237,562,282.6,153.1,320,749.1,146.9,441,93,260.3,755,673,2441,497.8,419.5,1752.4,590.8,472.5,8470.5,1362.1,3910.8,80,1239.4,1278.1,831.4,1280,2787.7,420.8,1245.8,860.8,951,2763.7,1673,1795.7,4064.9,97.3,1458.8,1597.9,332.9,3244,440.3,160.7,1265.7,1517,637.3,767,2267.5,2137,1763.3,532.4,1791.2,1320.5,583,896,3292,2211.7,1016,15578.7,3695.6,49924.1,9707.4,4253.4,17846.3,17248,6883.7,10758.9,6630,2216,530,2899.9,1344,1073.8,1328,565,629,273,1466,1454,190,1552,1638,332,371,956.8,309,827,1597,431,548.8,4504,1313,263.5,232,618.4,426,190,262,845,214,73.3,21,11,971.2,10.7,693,14.2,118,15,44.8,7,189,10,70.2,10,30.6,23,452,99,1024,7,7,12.9,135.5,393.5,1345,80.8,820,10,69,54,445.3,14.3,197,88,58,13,16,24,155,9.7,4994.8,10.0,788,7,23.2,126,653,28.3,16.9,572.9,2200.2,4015.6,10474.6,2242.1,8934.3,13765.8,176,1455,321.7,246,953,361.6,76,51,99,267,163.6,149.4,78,1163,294,1248,405,232,121.9,64.3,1517,300,1474,302,536.9,148,122.5,405,681,186,166.3,536,401.6,97,121.6,288,425.4,511.2,291.8,570.3,342.3,1776.6,664.3,401.2,562.7,1164,282.3,423,589,248.3,874,1568.3,363.6,490.5,313.1,823.5,493.1
2020-02-26,7,5,3,6,0,0,5,0,4,5,29,1,5,1,11,4,6,1,3,5,5,6,0,0,1,5,0,7,6,4,0,9,5,6,6,4,11,7,5,3,6,9,5,8,2,3,6,8,4,3,5,9,2,5,7,3,9,3,9,3,6,5,5,11,10,3,9,7,10,10,6,3,7,6,7,1,4,4,5,7,5,3,5,4,3,12,11,3,9,8,5,1,6,3,0,6,8,15,8,11,3,3,8,8,5,2,4,5,6,8,7,6,7,12,3,6,8,7,5,6,8,5,17,8,5,6,4,12,5,3,10,5,10,5,9,11,8,7,7,14,6,6,7,7,8,6,3,6,3,5,6,6,8,0,7,8,5,7,6,0,6,9,9,7,6,6,3,3,4,6,9,5,6,10,6,7,10,4,7,5,10,7,5,5,7,0,25,5,4,3,6,0,8,0,7,3,8,5,6,5,6,6,6,9,7,14,9,8,6,8,6,6,5,9,4,17,10,6,8,14,6,8,4,20,7,0,8,8,12,8,8,10,7,6,8,16,11,9,7,12,10,10,6,14,6,18,9,10,7,10,6,8,6,6,6,9,6,9,5,24,9,5,7,9,10,8,7,12,6,10,4,8,18,7,11,17,12,5,2,0,7,8,5,2,14,4,10,15,11,9,12,12,18,13,2,0,9,9,12,9,8,7,18,21,4,17,5,9,8,13,26,9,8,10,9,15,11,8,13,34,7,7,12,6,5,4,6,9,7,4,7,3,8,27,8,5,7,7,7,2,14
2020-02-27,6,5,3,7,0,1,5,0,4,5,29,1,5,1,10,4,7,1,3,5,5,7,0,0,1,5,0,6,6,3,0,9,5,6,6,4,11,7,5,3,6,9,5,8,2,3,6,8,4,4,6,9,2,4,7,3,9,3,9,3,6,6,5,10,10,3,9,7,10,10,6,3,7,6,6,1,4,4,5,7,6,3,5,4,4,12,11,4,10,8,5,1,6,3,1,6,8,15,8,11,3,4,8,8,5,2,4,5,6,8,7,6,7,12,3,6,8,7,5,6,9,5,17,9,5,6,4,12,4,3,11,5,11,5,8,11,8,7,8,14,6,6,7,7,8,6,2,5,3,5,6,7,9,0,6,8,5,7,6,0,6,9,10,7,6,5,3,3,4,6,9,4,6,10,6,7,10,5,7,5,10,7,5,5,7,0,22,5,4,2,6,5,6,0,8,4,7,5,6,5,7,6,6,8,7,14,9,8,6,8,6,5,6,9,6,17,9,6,9,14,6,10,4,21,7,0,8,7,12,8,8,10,7,6,8,16,12,9,7,12,10,11,6,14,6,18,9,9,7,10,6,8,6,6,6,9,6,9,5,25,10,5,7,9,10,8,8,12,6,10,4,8,18,7,11,18,12,6,2,0,7,8,5,2,14,4,11,15,11,9,13,12,18,13,2,0,9,9,12,9,8,7,19,20,4,16,5,9,8,13,28,9,9,10,9,14,11,9,13,33,7,7,12,6,5,4,6,9,7,4,7,3,8,27,8,5,7,7,7,2,13
2020-02-28,7,5,3,7,0,1,4,0,4,5,34,0,5,1,11,4,7,1,3,4,5,6,0,0,0,5,0,6,6,3,0,8,5,7,6,4,12,7,5,3,7,10,6,8,2,3,6,8,4,4,6,9,2,5,7,4,8,4,9,3,6,5,5,10,10,3,9,6,10,10,6,3,8,6,6,1,4,4,5,7,5,3,5,4,3,13,12,3,10,8,5,1,7,3,1,6,8,16,9,11,2,3,8,8,5,2,4,5,6,8,7,6,7,12,3,6,8,7,5,6,8,5,18,9,6,6,4,13,5,3,10,5,10,5,9,11,8,7,8,14,6,6,8,7,7,6,2,5,3,5,6,6,9,0,6,8,5,7,6,0,6,9,10,7,6,5,2,3,4,6,10,4,6,15,6,7,9,5,7,6,10,7,5,5,7,0,27,5,4,3,6,5,7,0,8,4,7,5,6,4,7,7,7,8,8,12,9,9,6,8,6,6,6,10,5,20,10,7,8,16,7,9,3,21,7,0,8,8,13,8,8,10,8,6,9,18,12,10,8,13,11,11,6,15,6,18,10,9,8,10,7,8,6,7,7,10,6,9,5,25,10,5,8,10,10,9,8,12,6,10,5,8,19,8,13,18,13,6,2,0,8,9,5,2,15,4,11,16,12,9,13,11,18,15,2,0,10,10,13,9,9,8,19,21,4,17,5,10,8,13,27,9,8,11,9,14,11,9,13,35,8,7,13,6,5,4,6,9,7,4,7,3,8,29,8,5,8,7,7,2,15
2020-02-29,6,5,2,6,0,1,3,0,4,5,29,0,5,1,14,3,6,1,3,4,3,6,1,0,0,5,0,5,7,3,1,9,5,7,6,4,9,10,5,3,8,9,6,7,2,3,6,8,4,4,5,9,3,4,6,4,7,4,8,4,6,5,5,9,9,3,8,6,9,9,6,3,7,7,6,1,3,4,4,9,6,3,5,4,3,12,11,3,10,7,5,1,6,3,1,6,7,14,9,10,3,2,16,6,5,3,4,4,5,8,7,6,7,13,3,6,8,6,5,6,8,5,15,9,5,6,4,11,5,3,8,5,8,6,8,11,8,6,7,12,6,6,7,7,7,5,3,6,3,5,6,7,9,0,6,8,5,8,5,0,5,9,9,8,6,5,3,3,3,6,8,6,6,18,8,6,13,5,7,6,9,7,5,5,8,0,26,5,4,2,6,7,6,0,8,4,9,6,6,5,6,6,7,11,7,15,9,7,6,7,8,5,6,9,4,17,9,6,8,14,6,8,4,20,7,0,8,9,12,8,7,8,8,6,9,15,8,8,9,11,11,11,6,14,5,13,8,8,7,9,7,9,7,7,7,8,7,9,6,15,8,5,6,8,9,6,8,10,10,9,5,7,13,8,11,13,11,5,2,0,7,8,5,2,17,4,10,18,12,10,13,15,22,14,2,0,9,10,12,8,9,9,19,23,4,19,6,9,8,15,24,9,7,10,8,13,9,9,12,39,8,6,12,8,5,4,6,9,7,4,7,4,8,29,7,6,8,7,7,2,15
2020-03-01,5,4,2,5,0,1,3,0,4,5,31,1,6,1,14,3,5,1,2,4,3,5,1,0,0,4,0,5,6,1,1,8,3,6,5,3,7,8,4,2,8,8,5,6,2,3,4,7,3,4,4,8,3,4,5,3,8,4,7,3,5,5,5,9,8,3,7,5,9,7,6,3,6,6,6,1,2,4,3,8,6,2,5,4,3,11,11,3,9,7,5,1,5,3,1,5,6,13,8,8,3,2,15,5,5,3,3,4,5,7,6,5,6,13,3,6,7,6,5,5,9,4,14,9,4,5,4,9,4,4,7,4,7,6,7,11,7,5,6,10,4,5,5,6,7,4,2,6,3,5,6,6,8,0,7,7,5,9,4,0,5,9,8,7,5,5,2,2,3,6,8,7,5,13,7,5,11,5,6,5,9,7,5,4,6,0,25,4,4,2,5,7,6,0,5,4,10,5,5,5,5,5,8,11,5,13,7,6,4,7,9,5,6,8,4,15,8,6,7,14,5,7,3,17,6,0,7,8,10,7,6,7,7,5,8,12,7,7,8,9,9,9,6,12,4,11,8,8,7,7,6,7,6,7,6,7,6,9,6,12,7,5,4,7,7,6,6,7,10,7,4,7,9,7,11,12,9,5,2,0,7,7,4,2,14,3,9,15,10,9,12,12,17,13,2,0,8,9,11,7,8,8,17,20,4,15,6,8,7,14,23,8,7,9,8,11,8,8,10,32,6,5,10,8,4,3,6,8,6,4,7,4,7,27,6,5,7,7,6,2,13
2020-03-02,7,6,3,6,0,0,5,0,4,6,26,1,5,1,8,4,7,1,2,4,5,6,0,0,0,5,0,5,5,3,0,8,4,6,5,4,11,5,5,3,6,10,5,8,2,3,6,8,3,4,5,9,2,4,7,3,8,4,9,2,5,5,4,9,8,3,8,6,8,10,6,3,8,4,6,1,4,4,5,7,2,3,5,3,3,12,10,5,9,8,5,1,5,3,0,6,7,14,8,8,3,3,6,9,5,2,4,4,6,7,7,6,7,12,3,6,8,6,5,5,8,5,15,8,5,6,3,12,5,2,8,5,8,3,8,10,7,8,7,13,6,5,7,6,7,6,2,5,2,5,5,6,7,0,6,7,4,6,6,0,6,7,9,6,6,5,2,3,3,6,9,4,6,7,4,7,6,4,6,5,8,6,4,5,7,0,20,4,4,2,7,6,6,0,7,3,5,5,5,3,6,5,5,5,7,13,9,7,6,7,4,5,5,8,4,16,9,5,8,13,7,8,2,19,7,0,8,8,15,8,8,10,7,6,8,17,12,10,7,13,11,11,7,15,6,20,11,10,8,11,7,7,6,7,6,10,6,10,5,25,9,5,8,10,10,8,8,12,6,11,4,8,19,7,11,19,13,6,2,0,7,8,4,2,9,4,10,12,10,10,12,8,11,13,2,0,9,8,11,9,8,6,19,14,4,11,5,10,8,11,26,9,8,11,9,9,10,9,12,22,6,7,12,4,5,3,5,8,6,3,6,2,7,23,7,4,7,6,6,2,12
