Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
Antofagasta,2,Antofagasta,2101,30683.5,425725.0,0.091871969,0.104064016,0.102017459,0.086071775,0.08860329800000001,0.061610087,0.056479145999999994,0.093113482,0.10451988400000001,0.10245392800000001,0.08934044599999999,0.086110572,0.063957323,0.055266731,0.106925315,0.10914646,0.09472356900000001,0.054869059000000005,0.056188167000000004,0.049408340999999995,0.10139670199999999,0.120213385,0.096828322,0.06900097,0.077788555,0.051823472,0.044500485,0.09286130000000001,0.111222114,0.106469447,0.094180407,0.089961203,0.057594568,0.050242483
Antofagasta,2,Calama,2201,15533.2,190336.0,0.101170175,0.09731859300000001,0.08999764800000001,0.08114783,0.075267553,0.054274962,0.041455957,0.10108197099999999,0.10466894,0.099729507,0.08961543,0.083147125,0.058832177,0.045572151,0.107873692,0.105198165,0.094819475,0.048835705,0.047747854000000006,0.045572151,0.106638833,0.116341291,0.10064095,0.08767493800000001,0.093584617,0.070298718,0.057332706,0.113842173,0.11534164400000001,0.102463836,0.09952369800000001,0.08958602800000001,0.066888157,0.050982005999999996
Antofagasta,2,María Elena,2302,12330.1,6814.0,1.109174312,1.2532110090000002,1.227981651,1.002293578,0.977522936,0.68853211,0.59266055,1.020642202,1.312385321,1.25733945,1.085779817,0.9509174309999999,0.7816513759999999,0.652752294,1.1660550459999999,1.270642202,1.121559633,0.626605505,0.7013761470000001,0.669266055,1.172018349,1.6133027519999998,1.6880733940000001,1.1527522940000001,1.324311927,1.0568807340000002,0.870183486,1.383486239,1.765137615,1.279816514,1.020642202,0.948623853,0.7839449540000001,0.618807339
Antofagasta,2,Mejillones,2102,3576.07,14776.0,1.451997615,1.535281256,1.5444245680000002,1.4168157419999998,1.390975949,1.04889684,1.001391373,1.482409064,1.550188829,1.51977738,1.487378255,1.4420592330000002,1.123633472,0.96799841,1.731067382,1.648777579,1.584774399,0.917511429,0.9493142520000001,0.83402902,1.6543430730000002,1.840985887,1.460345856,1.045319022,1.243291592,0.850526734,0.79189028,1.49532896,1.672232161,1.5605247469999999,1.497117869,1.475054661,0.9276485790000001,0.75988869
Antofagasta,2,Ollagüe,2202,2925.54,287.0,0.294117647,0.20588235300000002,0.20588235300000002,0.147058824,0.029411765,0.0,0.058823529000000006,0.117647059,0.352941176,0.382352941,0.323529412,0.323529412,0.352941176,0.382352941,0.20588235300000002,0.352941176,0.117647059,0.176470588,0.088235294,0.147058824,0.088235294,0.352941176,0.41176470600000004,0.264705882,0.5,0.352941176,0.323529412,0.441176471,0.558823529,0.323529412,0.441176471,0.294117647,0.882352941,0.323529412
Antofagasta,2,San Pedro de Atacama,2203,23602.2,10434.0,0.058500914,0.07221206599999999,0.07221206599999999,0.045703839,0.055758684,0.042961609000000005,0.048446069,0.063985375,0.06855575900000001,0.09323583199999999,0.051188300000000006,0.066727605,0.05941499099999999,0.053016453,0.07495429599999999,0.071297989,0.08866544800000001,0.058500914,0.063071298,0.057586837,0.078610603,0.09323583199999999,0.087751371,0.06855575900000001,0.054844607000000004,0.064899452,0.06855575900000001,0.089579525,0.075868373,0.11060329099999999,0.094149909,0.078610603,0.069469835,0.050274223
Antofagasta,2,Sierra Gorda,2103,12883.0,1746.0,0.904578313,1.0295180720000001,0.984578313,0.750963855,0.747349398,0.5120481929999999,0.42481927700000005,0.89060241,1.068795181,1.015662651,0.7957831329999999,0.73373494,0.521927711,0.455903614,0.943855422,1.047108434,0.8086746990000001,0.477590361,0.47289156600000004,0.45445783100000003,0.9301204820000001,1.205421687,1.083012048,0.7759036140000001,0.817710843,0.585903614,0.5292771079999999,0.996144578,1.178192771,1.03939759,0.8428915659999999,0.7603614459999999,0.548192771,0.511566265
Antofagasta,2,Taltal,2104,20412.1,13657.0,0.022481626,0.035884133,0.046260268,0.042369217,0.121487246,0.019455253,0.011673152,0.016861219,0.042801556,0.05404236900000001,0.030696066,0.028102032000000002,0.015996541,0.01642888,0.040639862,0.047124945999999994,0.029831387999999997,0.023346304,0.015996541,0.021184609,0.034154777000000004,0.063553826,0.051880674,0.04539559,0.022481626,0.015564202,0.018590575,0.019887592,0.034587116,0.039342845,0.021616947999999997,0.01642888,0.014699523999999999,0.044963250999999996
Antofagasta,2,Tocopilla,2301,4120.83,28079.0,0.310277111,0.332315077,0.36242635799999995,0.288239145,0.30940432,0.236089897,0.21405193100000003,0.282784202,0.303076587,0.30067641300000003,0.282784202,0.301331006,0.22037966399999998,0.210778966,0.27558367899999997,0.313331879,0.34409775299999995,0.215142919,0.209906175,0.21863408199999998,0.307440541,0.382282348,0.33777002,0.240235654,0.27340170199999997,0.197468907,0.261182631,0.328605717,0.34038839200000004,0.339297403,0.296748854,0.308095134,0.22758018800000002,0.22736199
Arica y Parinacota,15,Arica,15101,4799.66,247552.0,0.0239831,0.026033469,0.02920222,0.023610306,0.017107116000000002,0.011038853000000001,0.010521083999999998,0.02060724,0.021435672000000003,0.021953442000000004,0.019613122,0.01851545,0.015760915,0.014891061,0.024355894,0.024003811,0.0239831,0.015346698999999998,0.01277856,0.012467898,0.021269986,0.026219866,0.025350012,0.019385304,0.021622069,0.016858587,0.013710546,0.024438737000000002,0.0276282,0.02580565,0.022222682,0.022181261,0.018536161000000002,0.015968023
