Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Antofagasta,2,Antofagasta,2101,6,6,6,6,5,7,7,7,7,7,6,5,7,7,7,7,7,6,5,6,6,6,5,5,4,3,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,4,4
Antofagasta,2,Calama,2201,5,5,5,5,4,5,6,6,6,5,5,4,6,6,6,6,6,5,4,5,5,5,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Antofagasta,2,María Elena,2302,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1
Antofagasta,2,Mejillones,2102,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,1,1
Antofagasta,2,Ollagüe,2202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,2203,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,Sierra Gorda,2103,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2
Antofagasta,2,Taltal,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,Tocopilla,2301,3,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,3,2,2,2
Arica y Parinacota,15,Arica,15101,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,5,5,6,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Arica y Parinacota,15,Camarones,15102,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,4,3,3,3,5,3,3,3,3,3,3,3,3,3,2,4,3,3,2,3,3,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Atacama,3,Alto del Carmen,3302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Atacama,3,Caldera,3102,9,8,9,12,12,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,5,5,5,5,5,6,6,5,5,5,5,5,6,6,5,4,4,4
Atacama,3,Chañaral,3201,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2
Atacama,3,Copiapó,3101,6,6,6,5,5,7,7,7,7,7,6,5,7,7,7,7,7,6,5,6,6,6,5,6,5,4,5,5,5,5,5,5,4,5,6,5,5,5,5,4,5,5,5,5,4,4,4
Atacama,3,Diego de Almagro,3202,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
Atacama,3,Freirina,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,3,Huasco,3304,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atacama,3,Tierra Amarilla,3103,3,3,3,2,2,3,3,3,4,3,2,2,3,4,3,4,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Atacama,3,Vallenar,3301,5,6,6,5,5,5,6,6,6,6,5,4,6,6,6,6,6,5,5,6,5,5,5,5,4,3,4,4,4,4,4,4,3,4,5,5,4,4,4,3,4,5,4,4,3,3,3
Aysén del General Carlos Ibáñez del Campo,11,Chile Chico,11401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Cisnes,11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Cochrane,11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Coihaique,11101,5,5,5,4,3,5,5,5,5,6,4,4,5,5,5,5,5,4,3,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,2,2,2
Aysén del General Carlos Ibáñez del Campo,11,Guaitecas,11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Lago Verde,11102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Río Ibáñez,11402,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Tortel,11303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Alto Biobío,8314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Antuco,8302,3,3,3,3,3,2,2,2,3,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
Biobío,8,Arauco,8202,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1
Biobío,8,Cabrero,8303,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Cañete,8203,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,2,2,3,2,2,3,3,2,2,3,2,2,2,2,2,2
Biobío,8,Chiguayante,8103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Concepción,8101,6,7,7,5,3,7,7,7,7,7,5,3,7,7,7,7,7,5,3,6,5,4,4,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,1,3,3,3,3,1,1,1
Biobío,8,Contulmo,8204,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Biobío,8,Coronel,8102,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2
Biobío,8,Curanilahue,8205,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Florida,8104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Hualpén,8112,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1
Biobío,8,Hualqui,8105,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
