Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2,2,2,2,2,2,2,2,2,15,15,15,15,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Comuna,Antofagasta,Calama,María Elena,Mejillones,Ollagüe,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Arica,Camarones,General Lagos,Putre,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Chile Chico,Cisnes,Cochrane,Coihaique,Guaitecas,Lago Verde,Río Ibáñez,Tortel,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Tucapel,Yumbel,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Chimbarongo,Chépica,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Mariquina,Máfil,Paillaco,Panguipulli,Río Bueno,Valdivia,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Río Verde,San Gregorio,Timaukel,Torres del Paine,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Cruz,La Ligua,Limache,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa María,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ranquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Ñiquén
Codigo comuna,2101,2201,2302,2102,2202,2203,2103,2104,2301,15101,15102,15202,15201,3302,3102,3201,3101,3202,3303,3304,3103,3301,11401,11202,11301,11101,11203,11102,11402,11303,8314,8302,8202,8303,8203,8103,8101,8204,8102,8205,8104,8112,8105,8304,8201,8206,8301,8106,8305,8306,8307,8107,8308,8309,8108,8310,8311,8109,8110,8207,8111,8312,8313,4103,4202,4302,4102,4201,4104,4101,4203,4303,4301,4105,4304,4305,4204,4106,9201,9102,9121,9202,9103,9203,9104,9204,9105,9106,9107,9108,9109,9205,9206,9207,9110,9111,9112,9113,9114,9115,9208,9209,9116,9101,9117,9118,9210,9211,9119,9120,6303,6302,6102,6103,6104,6105,6106,6202,6107,6203,6304,6108,6109,6204,6110,6305,6205,6111,6306,6206,6307,6112,6113,6201,6308,6309,6114,6101,6115,6116,6301,6117,6310,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,14102,14202,14201,14203,14103,14104,14106,14105,14107,14108,14204,14101,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402,7201,7202,7402,7102,7103,7301,7104,7302,7303,7401,7403,7105,7304,7404,7106,7203,7107,7305,7405,7306,7108,7307,7109,7406,7110,7101,7308,7309,7407,7408,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,13120,1107,1402,1403,1404,1101,1405,1401,5602,5402,5302,5603,5102,5702,5103,5604,5605,5503,5201,5104,5504,5401,5802,5301,5506,5803,5704,5403,5404,5105,5705,5501,5801,5107,5303,5601,5304,5701,5706,5606,5101,5804,5109,5405,16102,16101,16103,16202,16203,16302,16104,16204,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,16303
2020-02-26,6,5,1,4,0,0,3,0,3,5,1,0,4,1,9,3,6,1,0,2,3,5,0,0,0,5,0,1,0,0,0,3,3,2,3,1,6,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,2,0,0,1,4,1,3,3,2,4,1,2,6,5,6,7,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,1,0,3,2,0,2,9,1,0,1,7,1,0,2,1,1,6,3,2,1,0,1,2,3,0,3,2,0,2,0,1,0,1,3,0,0,1,1,0,1,4,1,2,0,5,3,4,3,2,4,5,3,4,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,1,0,3,2,1,3,2,0,1,5,1,6,0,7,5,3,0,6,0,4,0,0,2,0,1,5,1,4,1,1,3,5,0,2,2,3,2,2,3,0,1,0,0,1,2,3,0,5,0,2,2,0,0,3,2,2,1,5,2,3,1,1,5,4,2,2,2,4,1,1,4,2,11,5,1,1,2,3,0,5,1,3,1,3,4,2,12,4,3,4,2,3,2,4,1,2,3,2,1,10,3,4,8,4,4,0,0,3,7,2,1,10,2,1,6,5,2,5,6,8,2,2,0,0,4,5,3,3,3,1,6,1,9,1,5,4,7,2,6,2,4,2,6,8,4,10,6,2,5,0,4,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,1,1
2020-02-27,6,5,1,4,0,0,3,0,4,5,0,0,3,1,8,3,6,1,0,2,3,6,0,0,0,5,0,1,1,0,0,3,3,2,3,1,7,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,3,0,0,1,4,1,3,3,2,4,1,2,6,5,6,7,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,0,0,3,2,0,2,9,1,1,1,7,1,1,2,1,1,6,3,2,2,0,1,2,3,0,3,3,0,2,1,1,0,0,3,0,0,1,2,0,1,3,1,1,0,5,3,4,3,2,5,5,3,4,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,1,0,3,2,1,3,2,0,1,4,1,6,0,6,5,3,0,6,1,4,0,0,2,0,1,5,1,4,1,1,3,5,0,2,2,2,2,2,3,0,1,0,0,1,2,3,0,5,1,2,2,0,0,3,2,2,1,5,2,3,1,1,5,4,2,2,2,4,1,1,4,2,11,5,1,1,2,3,0,5,1,3,1,3,4,2,12,4,3,3,2,3,2,4,1,2,3,2,1,10,3,3,8,4,4,0,0,3,7,2,0,10,2,1,6,5,2,5,6,8,2,2,0,0,4,5,3,3,3,1,6,1,9,1,5,4,6,2,6,2,4,2,6,8,4,10,6,2,5,0,5,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,1,0
2020-02-28,6,5,1,4,0,1,3,0,4,5,1,0,3,1,9,3,6,1,0,2,3,6,0,0,0,5,0,1,1,0,0,3,3,2,3,1,7,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,3,0,0,1,4,1,3,3,2,4,1,2,6,5,6,8,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,1,0,2,2,0,2,9,0,0,1,7,1,1,1,2,1,7,3,2,1,0,1,2,3,0,3,2,0,2,1,1,0,1,3,0,0,1,1,0,1,4,1,1,0,5,3,4,3,2,5,5,3,5,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,2,0,3,2,1,3,2,0,1,4,1,6,0,7,5,3,0,6,2,4,0,0,2,0,1,5,0,4,1,1,3,5,0,2,2,2,2,2,2,0,1,0,0,1,3,2,0,5,1,2,2,0,0,3,2,2,1,5,2,3,1,2,5,4,2,2,3,5,0,1,4,2,11,5,1,1,2,4,0,5,1,3,1,3,4,2,12,4,3,3,2,3,2,4,1,2,3,2,1,11,3,4,8,4,4,0,0,3,8,2,0,10,2,1,6,5,2,5,6,8,2,2,0,0,4,5,3,3,3,1,6,1,9,1,5,4,7,2,6,2,5,2,5,8,4,10,7,2,5,0,4,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,2,0
2020-02-29,6,5,1,4,0,1,2,0,3,5,1,0,3,1,12,2,5,1,0,2,2,5,0,0,0,4,0,1,1,0,0,3,3,2,3,1,5,2,3,1,0,2,2,0,1,1,4,3,0,1,1,3,1,0,3,0,0,1,3,1,3,3,2,4,1,2,6,5,5,7,5,2,6,3,3,0,3,3,3,3,1,0,3,3,2,0,1,1,1,2,2,1,1,1,0,2,2,0,2,9,1,0,3,5,1,1,2,1,1,6,3,2,2,0,1,2,3,0,4,2,0,2,0,1,1,0,4,0,0,2,1,0,1,5,1,1,0,4,3,3,3,2,4,5,3,4,1,3,0,0,1,2,2,0,1,0,1,2,4,0,4,3,4,1,2,3,0,2,1,1,1,3,1,2,1,2,2,1,3,2,0,1,4,1,6,0,7,5,3,0,6,3,3,0,0,2,0,1,5,1,4,0,1,4,5,0,2,1,2,2,3,2,0,1,0,0,0,3,2,0,4,0,2,2,0,0,3,3,3,1,5,2,3,1,2,5,3,2,2,2,5,1,1,4,2,7,5,1,1,2,3,0,5,1,3,1,3,4,3,7,3,3,3,2,3,2,4,1,5,2,2,1,7,3,3,6,4,4,0,0,3,7,2,0,12,2,1,7,5,2,5,8,10,2,2,0,0,4,5,3,3,4,1,7,1,10,1,5,4,7,2,6,2,4,2,5,7,4,9,7,2,4,0,6,2,1,0,0,1,1,0,0,0,5,4,2,1,0,0,1,1
2020-03-01,5,4,1,3,0,1,2,0,3,5,2,1,5,1,12,2,5,0,0,2,2,5,0,0,0,3,0,1,1,0,0,3,2,1,2,1,3,2,3,1,0,2,2,0,1,1,3,3,0,1,1,3,1,0,2,0,0,2,3,1,2,3,2,4,1,2,5,4,5,5,4,2,5,3,3,0,2,2,3,3,1,0,3,3,1,0,1,1,1,2,2,1,1,0,0,2,2,0,2,7,1,0,3,3,1,1,1,1,0,5,2,2,2,0,1,2,3,0,3,2,0,2,0,1,0,0,3,0,0,2,1,0,0,4,1,1,0,3,3,3,2,1,3,4,3,3,1,3,0,0,1,2,2,0,1,0,1,2,3,0,3,3,4,1,1,3,0,2,1,1,1,4,1,1,1,2,2,1,2,2,0,1,4,1,5,0,7,4,3,0,5,3,3,0,0,2,0,1,4,1,3,0,1,4,3,0,2,1,1,2,4,2,0,1,0,0,0,3,2,0,3,0,2,1,0,0,3,2,1,1,4,2,3,1,2,4,3,2,2,2,4,1,1,4,1,7,5,1,1,2,3,0,5,2,3,1,3,4,3,6,3,3,2,2,2,1,3,1,5,2,2,0,5,3,3,5,3,4,0,0,3,6,2,0,9,2,1,6,5,2,4,6,7,2,2,0,0,4,5,2,3,4,1,6,1,8,1,4,4,6,1,5,1,4,2,4,6,3,7,6,1,3,0,6,1,1,0,0,1,1,0,0,0,4,3,2,1,0,0,1,1
2020-03-02,7,5,1,3,0,0,3,0,4,6,0,0,3,1,7,3,7,1,0,2,3,5,0,0,0,5,0,1,0,0,0,2,3,2,3,1,7,1,3,1,0,2,2,0,1,1,5,4,0,1,1,3,0,0,3,0,0,2,4,1,2,3,2,4,1,2,6,5,5,8,4,2,7,2,3,0,3,3,4,4,0,0,3,3,1,0,1,1,1,3,2,0,1,0,0,3,2,0,2,6,1,0,1,7,1,0,2,1,1,6,3,2,2,0,1,2,3,0,3,2,0,2,0,1,0,1,2,0,0,1,1,0,1,2,1,1,0,6,3,4,3,2,5,5,3,4,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,2,5,1,2,3,0,2,1,1,1,1,1,1,0,3,1,1,3,2,0,1,3,1,6,0,5,4,3,0,7,3,3,0,0,2,0,1,4,0,5,0,1,2,5,0,2,1,3,2,1,2,0,1,0,0,1,2,3,0,5,0,1,2,0,0,3,2,3,1,5,2,3,1,2,5,5,2,2,3,5,1,1,5,2,12,6,1,1,3,4,0,5,2,3,1,3,4,2,12,3,3,4,2,3,2,4,1,2,3,2,1,11,3,3,9,5,4,0,0,3,8,2,0,6,2,1,5,5,2,5,4,4,2,2,0,0,4,5,3,3,3,1,3,1,6,1,5,4,6,1,6,2,5,2,3,8,4,9,3,1,5,0,3,2,1,0,0,1,1,0,0,0,5,4,1,1,0,0,1,0
2020-03-03,7,6,1,3,0,0,3,0,4,6,0,1,3,1,7,3,7,1,0,2,3,6,0,0,0,5,0,1,1,0,0,2,3,2,3,1,7,1,3,1,0,2,2,0,1,1,5,4,0,1,0,3,0,0,3,0,0,1,4,1,2,3,2,4,1,2,6,5,5,8,4,2,6,2,3,0,3,3,4,3,0,0,3,2,1,0,0,1,1,3,2,0,1,0,0,3,2,0,2,6,1,1,1,7,1,0,2,1,0,6,3,2,2,0,1,2,3,0,3,2,0,2,0,1,0,0,2,0,0,1,1,0,1,2,1,1,0,6,3,4,4,2,5,5,3,4,1,1,0,0,1,2,2,0,1,0,1,1,5,0,5,2,5,1,2,3,0,2,1,1,1,1,1,1,0,3,1,1,3,2,0,1,3,1,5,0,5,4,4,0,6,2,4,0,0,2,0,1,4,0,5,1,1,1,5,0,2,2,2,2,1,3,0,1,0,0,1,2,3,0,5,0,1,1,0,0,3,3,3,1,5,2,3,1,2,5,5,2,2,3,5,1,1,5,2,13,7,1,1,2,4,0,5,2,3,1,3,4,2,13,3,3,4,2,3,2,4,1,2,3,2,1,11,3,3,9,5,4,0,0,3,7,2,0,5,2,1,5,4,2,4,3,4,2,2,0,0,4,5,3,3,3,1,3,1,5,1,5,4,5,1,6,1,5,2,3,8,4,9,4,1,5,0,3,2,1,0,0,1,1,0,0,0,5,4,1,1,0,0,1,0
