Region,Arica y Parinacota,Tarapaca,Antofagasta,Atacama,Coquimbo,Valparaiso,Metropolitana,Del Libertador General Bernardo O’Higgins,Maule,Nuble,Biobio,La Araucania,Los Rios,Los Lagos,Aysen,Magallanes y la Antartica,Arica y Parinacota,Tarapaca,Antofagasta,Atacama,Coquimbo,Valparaiso,Metropolitana,Del Libertador General Bernardo O’Higgins,Maule,Nuble,Biobio,La Araucania,Los Rios,Los Lagos,Aysen,Magallanes y la Antartica,Arica y Parinacota,Tarapaca,Antofagasta,Atacama,Coquimbo,Valparaiso,Metropolitana,Del Libertador General Bernardo O’Higgins,Maule,Nuble,Biobio,La Araucania,Los Rios,Los Lagos,Aysen,Magallanes y la Antartica
Categoria,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,habitaciones totales,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,usuarios en residencia,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias,residencias
2020-05-29,60,40,157,48,197,394,2359,99,58,56,175,120,135,128,48,83,29,32,86,34,77,71,706,0,39,22,119,89,47,43,0,23,1,2,3,2,6,7,32,2,2,2,5,2,6,5,3,5
2020-05-30,60,40,157,48,197,394,2359,99,58,56,175,120,135,128,48,83,29,32,86,34,77,71,706,0,39,22,119,89,47,43,0,23,1,2,3,2,6,7,32,2,2,2,5,2,6,5,3,5
2020-05-31,60,119,157,48,192,419,2236,94,72,54,213,198,128,112,31,83,31,45,93,32,65,121,842,1,59,21,139,113,7,75,3,14,1,4,3,2,6,8,31,2,3,2,7,2,5,6,3,5
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,60,119,157,48,192,418,2306,94,150,54,286,160,77,112,31,83,35,76,94,44,87,157,949,2,63,28,135,130,7,75,4,15,1,4,3,2,6,8,30,2,4,2,9,3,4,6,3,5
2020-06-03,60,119,157,48,190,543,2301,94,150,54,286,160,112,77,31,83,42,85,102,44,83,145,1117,3,64,27,123,130,82,14,4,15,1,4,3,2,6,8,31,2,4,2,9,3,6,4,3,5
2020-06-04,95,219,266,57,465,1742,3041,94,220,203,587,248,302,455,47,190,44,97,103,54,102,195,1150,9,75,36,179,138,20,101,6,16,3,8,4,2,8,19,38,3,5,3,15,3,10,6,3,6
2020-06-05,266,248,95,57,47,587,465,455,302,190,220,3041,203,1894,219,3342,48,111,147,55,102,208,1211,7,99,41,168,131,22,83,13,16,3,8,4,2,8,19,38,2,5,3,15,3,4,6,3,6
2020-06-06,162,235,266,60,465,2604,4434,1894,349,55,587,258,156,147,38,76,59,118,143,55,102,204,1416,26,99,47,158,164,23,75,14,16,4,10,4,2,6,19,38,3,10,3,10,3,4,6,3,5
2020-06-07,162,235,266,72,465,2604,4434,1894,349,69,587,258,156,147,38,76,87,131,145,54,103,208,1405,29,94,49,172,164,23,75,14,14,4,10,4,2,6,19,38,3,10,3,10,3,4,6,3,5
2020-06-08,162,235,266,72,465,2604,4434,1894,349,69,587,258,156,147,38,76,95,162,145,54,104,225,1375,31,102,50,196,195,31,75,13,23,4,10,4,2,6,19,38,3,10,3,10,3,4,6,3,5
2020-06-09,162,235,266,72,465,2604,4434,1894,349,69,587,258,156,147,38,76,127,164,145,54,130,237,1657,31,154,50,206,198,34,88,13,23,4,10,4,2,6,19,38,3,10,3,10,3,4,6,3,5
2020-06-10,163,313,266,72,465,2604,4434,1894,360,110,587,274,156,139,38,85,153,250,149,54,130,198,1567,32,152,56,240,212,34,88,13,32,3,8,5,2,6,19,37,3,7,4,12,4,4,6,3,6
2020-06-11,191,467,343,71,465,2604,4370,1894,360,210,587,330,156,139,38,85,165,310,220,65,131,266,1872,47,157,56,239,213,43,86,13,43,4,10,7,2,9,7,37,7,7,5,12,5,4,6,3,6
