Publicación,2020-06-08
Número,Defunciones
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,3
2020-03-31,4
2020-04-01,1
2020-04-02,4
2020-04-03,6
2020-04-04,8
2020-04-05,1
2020-04-06,5
2020-04-07,4
2020-04-08,10
2020-04-09,9
2020-04-10,6
2020-04-11,7
2020-04-12,3
2020-04-13,9
2020-04-14,4
2020-04-15,8
2020-04-16,6
2020-04-17,5
2020-04-18,6
2020-04-19,5
2020-04-20,10
2020-04-21,8
2020-04-22,5
2020-04-23,7
2020-04-24,6
2020-04-25,7
2020-04-26,9
2020-04-27,11
2020-04-28,7
2020-04-29,6
2020-04-30,8
2020-05-01,10
2020-05-02,7
2020-05-03,19
2020-05-04,12
2020-05-05,11
2020-05-06,14
2020-05-07,29
2020-05-08,16
2020-05-09,22
2020-05-10,30
2020-05-11,19
2020-05-12,25
2020-05-13,38
2020-05-14,35
2020-05-15,32
2020-05-16,47
2020-05-17,45
2020-05-18,60
2020-05-19,60
2020-05-20,65
2020-05-21,60
2020-05-22,69
2020-05-23,83
2020-05-24,91
2020-05-25,82
2020-05-26,101
2020-05-27,105
2020-05-28,106
2020-05-29,97
2020-05-30,105
2020-05-31,94
2020-06-01,120
2020-06-02,116
2020-06-03,113
2020-06-04,96
2020-06-05,24
2020-06-06,2
