Fecha,Defunciones_2020-06-07,Defunciones_2020-06-08,Defunciones_2020-06-09,Defunciones_2020-06-10,Defunciones_2020-06-11,Defunciones_2020-06-12
2020-03-20,1,1,1,1,1,1
2020-03-25,1,1,1,1,1,1
2020-03-26,1,1,1,1,1,1
2020-03-27,1,1,1,1,1,1
2020-03-28,1,1,1,1,1,1
2020-03-29,1,1,1,1,1,1
2020-03-30,3,3,3,3,3,3
2020-03-31,3,4,4,4,4,4
2020-04-01,1,1,1,1,1,1
2020-04-02,4,4,4,4,4,4
2020-04-03,6,6,6,6,6,6
2020-04-04,8,8,8,8,8,8
2020-04-05,1,1,1,1,1,1
2020-04-06,5,5,5,5,5,5
2020-04-07,4,4,4,4,4,4
2020-04-08,10,10,10,10,10,10
2020-04-09,9,9,9,9,9,9
2020-04-10,6,6,6,6,6,6
2020-04-11,7,7,7,7,7,7
2020-04-12,3,3,3,3,3,3
2020-04-13,9,9,9,9,9,9
2020-04-14,4,4,4,4,4,4
2020-04-15,8,8,8,8,8,8
2020-04-16,6,6,6,6,6,6
2020-04-17,5,5,5,5,5,5
2020-04-18,6,6,6,6,6,6
2020-04-19,5,5,5,5,5,5
2020-04-20,10,10,10,10,10,10
2020-04-21,8,8,8,8,8,8
2020-04-22,5,5,5,5,5,5
2020-04-23,7,7,7,7,7,7
2020-04-24,5,6,6,6,6,6
2020-04-25,7,7,7,7,7,7
2020-04-26,9,9,9,9,9,9
2020-04-27,11,11,11,11,11,11
2020-04-28,6,7,7,7,7,7
2020-04-29,6,6,6,6,6,6
2020-04-30,8,8,8,8,8,8
2020-05-01,10,10,10,10,10,10
2020-05-02,7,7,7,7,7,7
2020-05-03,19,19,19,19,19,19
2020-05-04,11,12,12,12,12,12
2020-05-05,11,11,11,11,11,11
2020-05-06,14,14,14,14,14,14
2020-05-07,27,29,29,29,29,29
2020-05-08,16,16,16,16,16,16
2020-05-09,22,22,22,22,22,22
2020-05-10,30,30,30,30,30,30
2020-05-11,19,19,19,19,19,19
2020-05-12,24,25,25,25,25,25
2020-05-13,38,38,38,38,38,38
2020-05-14,36,35,35,35,35,35
2020-05-15,29,32,32,32,32,32
2020-05-16,46,47,47,47,47,47
2020-05-17,43,45,45,45,45,45
2020-05-18,60,60,60,60,60,60
2020-05-19,60,60,60,60,60,60
2020-05-20,61,65,65,65,65,65
2020-05-21,60,60,60,60,60,60
2020-05-22,69,69,69,69,69,69
2020-05-23,83,83,83,84,84,84
2020-05-24,89,91,92,92,93,93
2020-05-25,79,82,83,85,85,85
2020-05-26,101,101,101,101,101,102
2020-05-27,104,105,105,105,111,111
2020-05-28,102,106,106,107,109,109
2020-05-29,94,97,101,107,117,118
2020-05-30,101,105,106,107,119,119
2020-05-31,88,94,96,98,105,105
2020-06-01,116,120,122,124,128,131
2020-06-02,105,116,116,118,121,124
2020-06-03,109,113,113,114,124,128
2020-06-04,86,96,98,108,112,116
2020-06-05,20,24,25,45,46,74
2020-06-06,,2,7,56,67,91
2020-06-07,,,0,76,98,115
2020-06-08,,,,19,79,101
2020-06-09,,,,,20,112
2020-06-10,,,,,,23
2020-06-11,,,,,,
