Publicacion,Fecha,Total
Defunciones_2020-06-07,2020-03-20,1.0
Defunciones_2020-06-08,2020-03-20,1.0
Defunciones_2020-06-09,2020-03-20,1.0
Defunciones_2020-06-10,2020-03-20,1.0
Defunciones_2020-06-11,2020-03-20,1.0
Defunciones_2020-06-12,2020-03-20,1.0
Defunciones_2020-06-13,2020-03-20,1.0
Defunciones_2020-06-07,2020-03-25,1.0
Defunciones_2020-06-08,2020-03-25,1.0
Defunciones_2020-06-09,2020-03-25,1.0
Defunciones_2020-06-10,2020-03-25,1.0
Defunciones_2020-06-11,2020-03-25,1.0
Defunciones_2020-06-12,2020-03-25,1.0
Defunciones_2020-06-13,2020-03-25,1.0
Defunciones_2020-06-07,2020-03-26,1.0
Defunciones_2020-06-08,2020-03-26,1.0
Defunciones_2020-06-09,2020-03-26,1.0
Defunciones_2020-06-10,2020-03-26,1.0
Defunciones_2020-06-11,2020-03-26,1.0
Defunciones_2020-06-12,2020-03-26,1.0
Defunciones_2020-06-13,2020-03-26,1.0
Defunciones_2020-06-07,2020-03-27,1.0
Defunciones_2020-06-08,2020-03-27,1.0
Defunciones_2020-06-09,2020-03-27,1.0
Defunciones_2020-06-10,2020-03-27,1.0
Defunciones_2020-06-11,2020-03-27,1.0
Defunciones_2020-06-12,2020-03-27,1.0
Defunciones_2020-06-13,2020-03-27,1.0
Defunciones_2020-06-07,2020-03-28,1.0
Defunciones_2020-06-08,2020-03-28,1.0
Defunciones_2020-06-09,2020-03-28,1.0
Defunciones_2020-06-10,2020-03-28,1.0
Defunciones_2020-06-11,2020-03-28,1.0
Defunciones_2020-06-12,2020-03-28,1.0
Defunciones_2020-06-13,2020-03-28,1.0
Defunciones_2020-06-07,2020-03-29,1.0
Defunciones_2020-06-08,2020-03-29,1.0
Defunciones_2020-06-09,2020-03-29,1.0
Defunciones_2020-06-10,2020-03-29,1.0
Defunciones_2020-06-11,2020-03-29,1.0
Defunciones_2020-06-12,2020-03-29,1.0
Defunciones_2020-06-13,2020-03-29,1.0
Defunciones_2020-06-07,2020-03-30,3.0
Defunciones_2020-06-08,2020-03-30,3.0
Defunciones_2020-06-09,2020-03-30,3.0
Defunciones_2020-06-10,2020-03-30,3.0
Defunciones_2020-06-11,2020-03-30,3.0
Defunciones_2020-06-12,2020-03-30,3.0
Defunciones_2020-06-13,2020-03-30,3.0
Defunciones_2020-06-07,2020-03-31,3.0
Defunciones_2020-06-08,2020-03-31,4.0
Defunciones_2020-06-09,2020-03-31,4.0
Defunciones_2020-06-10,2020-03-31,4.0
Defunciones_2020-06-11,2020-03-31,4.0
Defunciones_2020-06-12,2020-03-31,4.0
Defunciones_2020-06-13,2020-03-31,4.0
Defunciones_2020-06-07,2020-04-01,1.0
Defunciones_2020-06-08,2020-04-01,1.0
Defunciones_2020-06-09,2020-04-01,1.0
Defunciones_2020-06-10,2020-04-01,1.0
Defunciones_2020-06-11,2020-04-01,1.0
Defunciones_2020-06-12,2020-04-01,1.0
Defunciones_2020-06-13,2020-04-01,1.0
Defunciones_2020-06-07,2020-04-02,4.0
Defunciones_2020-06-08,2020-04-02,4.0
Defunciones_2020-06-09,2020-04-02,4.0
Defunciones_2020-06-10,2020-04-02,4.0
Defunciones_2020-06-11,2020-04-02,4.0
Defunciones_2020-06-12,2020-04-02,4.0
Defunciones_2020-06-13,2020-04-02,4.0
Defunciones_2020-06-07,2020-04-03,6.0
Defunciones_2020-06-08,2020-04-03,6.0
Defunciones_2020-06-09,2020-04-03,6.0
Defunciones_2020-06-10,2020-04-03,6.0
Defunciones_2020-06-11,2020-04-03,6.0
Defunciones_2020-06-12,2020-04-03,6.0
Defunciones_2020-06-13,2020-04-03,6.0
Defunciones_2020-06-07,2020-04-04,8.0
Defunciones_2020-06-08,2020-04-04,8.0
Defunciones_2020-06-09,2020-04-04,8.0
Defunciones_2020-06-10,2020-04-04,8.0
Defunciones_2020-06-11,2020-04-04,8.0
Defunciones_2020-06-12,2020-04-04,8.0
Defunciones_2020-06-13,2020-04-04,8.0
Defunciones_2020-06-07,2020-04-05,1.0
Defunciones_2020-06-08,2020-04-05,1.0
Defunciones_2020-06-09,2020-04-05,1.0
Defunciones_2020-06-10,2020-04-05,1.0
Defunciones_2020-06-11,2020-04-05,1.0
Defunciones_2020-06-12,2020-04-05,1.0
Defunciones_2020-06-13,2020-04-05,1.0
Defunciones_2020-06-07,2020-04-06,5.0
Defunciones_2020-06-08,2020-04-06,5.0
Defunciones_2020-06-09,2020-04-06,5.0
Defunciones_2020-06-10,2020-04-06,5.0
Defunciones_2020-06-11,2020-04-06,5.0
Defunciones_2020-06-12,2020-04-06,5.0
Defunciones_2020-06-13,2020-04-06,5.0
Defunciones_2020-06-07,2020-04-07,4.0
Defunciones_2020-06-08,2020-04-07,4.0
Defunciones_2020-06-09,2020-04-07,4.0
Defunciones_2020-06-10,2020-04-07,4.0
Defunciones_2020-06-11,2020-04-07,4.0
Defunciones_2020-06-12,2020-04-07,4.0
Defunciones_2020-06-13,2020-04-07,4.0
Defunciones_2020-06-07,2020-04-08,10.0
Defunciones_2020-06-08,2020-04-08,10.0
Defunciones_2020-06-09,2020-04-08,10.0
Defunciones_2020-06-10,2020-04-08,10.0
Defunciones_2020-06-11,2020-04-08,10.0
Defunciones_2020-06-12,2020-04-08,10.0
Defunciones_2020-06-13,2020-04-08,10.0
Defunciones_2020-06-07,2020-04-09,9.0
Defunciones_2020-06-08,2020-04-09,9.0
Defunciones_2020-06-09,2020-04-09,9.0
Defunciones_2020-06-10,2020-04-09,9.0
Defunciones_2020-06-11,2020-04-09,9.0
Defunciones_2020-06-12,2020-04-09,9.0
Defunciones_2020-06-13,2020-04-09,9.0
Defunciones_2020-06-07,2020-04-10,6.0
Defunciones_2020-06-08,2020-04-10,6.0
Defunciones_2020-06-09,2020-04-10,6.0
Defunciones_2020-06-10,2020-04-10,6.0
Defunciones_2020-06-11,2020-04-10,6.0
Defunciones_2020-06-12,2020-04-10,6.0
Defunciones_2020-06-13,2020-04-10,6.0
Defunciones_2020-06-07,2020-04-11,7.0
Defunciones_2020-06-08,2020-04-11,7.0
Defunciones_2020-06-09,2020-04-11,7.0
Defunciones_2020-06-10,2020-04-11,7.0
Defunciones_2020-06-11,2020-04-11,7.0
Defunciones_2020-06-12,2020-04-11,7.0
Defunciones_2020-06-13,2020-04-11,7.0
Defunciones_2020-06-07,2020-04-12,3.0
Defunciones_2020-06-08,2020-04-12,3.0
Defunciones_2020-06-09,2020-04-12,3.0
Defunciones_2020-06-10,2020-04-12,3.0
Defunciones_2020-06-11,2020-04-12,3.0
Defunciones_2020-06-12,2020-04-12,3.0
Defunciones_2020-06-13,2020-04-12,3.0
Defunciones_2020-06-07,2020-04-13,9.0
Defunciones_2020-06-08,2020-04-13,9.0
Defunciones_2020-06-09,2020-04-13,9.0
Defunciones_2020-06-10,2020-04-13,9.0
Defunciones_2020-06-11,2020-04-13,9.0
Defunciones_2020-06-12,2020-04-13,9.0
Defunciones_2020-06-13,2020-04-13,9.0
Defunciones_2020-06-07,2020-04-14,4.0
Defunciones_2020-06-08,2020-04-14,4.0
Defunciones_2020-06-09,2020-04-14,4.0
Defunciones_2020-06-10,2020-04-14,4.0
Defunciones_2020-06-11,2020-04-14,4.0
Defunciones_2020-06-12,2020-04-14,4.0
Defunciones_2020-06-13,2020-04-14,4.0
Defunciones_2020-06-07,2020-04-15,8.0
Defunciones_2020-06-08,2020-04-15,8.0
Defunciones_2020-06-09,2020-04-15,8.0
Defunciones_2020-06-10,2020-04-15,8.0
Defunciones_2020-06-11,2020-04-15,8.0
Defunciones_2020-06-12,2020-04-15,8.0
Defunciones_2020-06-13,2020-04-15,8.0
Defunciones_2020-06-07,2020-04-16,6.0
Defunciones_2020-06-08,2020-04-16,6.0
Defunciones_2020-06-09,2020-04-16,6.0
Defunciones_2020-06-10,2020-04-16,6.0
Defunciones_2020-06-11,2020-04-16,6.0
Defunciones_2020-06-12,2020-04-16,6.0
Defunciones_2020-06-13,2020-04-16,6.0
Defunciones_2020-06-07,2020-04-17,5.0
Defunciones_2020-06-08,2020-04-17,5.0
Defunciones_2020-06-09,2020-04-17,5.0
Defunciones_2020-06-10,2020-04-17,5.0
Defunciones_2020-06-11,2020-04-17,5.0
Defunciones_2020-06-12,2020-04-17,5.0
Defunciones_2020-06-13,2020-04-17,5.0
Defunciones_2020-06-07,2020-04-18,6.0
Defunciones_2020-06-08,2020-04-18,6.0
Defunciones_2020-06-09,2020-04-18,6.0
Defunciones_2020-06-10,2020-04-18,6.0
Defunciones_2020-06-11,2020-04-18,6.0
Defunciones_2020-06-12,2020-04-18,6.0
Defunciones_2020-06-13,2020-04-18,6.0
Defunciones_2020-06-07,2020-04-19,5.0
Defunciones_2020-06-08,2020-04-19,5.0
Defunciones_2020-06-09,2020-04-19,5.0
Defunciones_2020-06-10,2020-04-19,5.0
Defunciones_2020-06-11,2020-04-19,5.0
Defunciones_2020-06-12,2020-04-19,5.0
Defunciones_2020-06-13,2020-04-19,5.0
Defunciones_2020-06-07,2020-04-20,10.0
Defunciones_2020-06-08,2020-04-20,10.0
Defunciones_2020-06-09,2020-04-20,10.0
Defunciones_2020-06-10,2020-04-20,10.0
Defunciones_2020-06-11,2020-04-20,10.0
Defunciones_2020-06-12,2020-04-20,10.0
Defunciones_2020-06-13,2020-04-20,10.0
Defunciones_2020-06-07,2020-04-21,8.0
Defunciones_2020-06-08,2020-04-21,8.0
Defunciones_2020-06-09,2020-04-21,8.0
Defunciones_2020-06-10,2020-04-21,8.0
Defunciones_2020-06-11,2020-04-21,8.0
Defunciones_2020-06-12,2020-04-21,8.0
Defunciones_2020-06-13,2020-04-21,8.0
Defunciones_2020-06-07,2020-04-22,5.0
Defunciones_2020-06-08,2020-04-22,5.0
Defunciones_2020-06-09,2020-04-22,5.0
Defunciones_2020-06-10,2020-04-22,5.0
Defunciones_2020-06-11,2020-04-22,5.0
Defunciones_2020-06-12,2020-04-22,5.0
Defunciones_2020-06-13,2020-04-22,5.0
Defunciones_2020-06-07,2020-04-23,7.0
Defunciones_2020-06-08,2020-04-23,7.0
Defunciones_2020-06-09,2020-04-23,7.0
Defunciones_2020-06-10,2020-04-23,7.0
Defunciones_2020-06-11,2020-04-23,7.0
Defunciones_2020-06-12,2020-04-23,7.0
Defunciones_2020-06-13,2020-04-23,7.0
Defunciones_2020-06-07,2020-04-24,5.0
Defunciones_2020-06-08,2020-04-24,6.0
Defunciones_2020-06-09,2020-04-24,6.0
Defunciones_2020-06-10,2020-04-24,6.0
Defunciones_2020-06-11,2020-04-24,6.0
Defunciones_2020-06-12,2020-04-24,6.0
Defunciones_2020-06-13,2020-04-24,6.0
Defunciones_2020-06-07,2020-04-25,7.0
Defunciones_2020-06-08,2020-04-25,7.0
Defunciones_2020-06-09,2020-04-25,7.0
Defunciones_2020-06-10,2020-04-25,7.0
Defunciones_2020-06-11,2020-04-25,7.0
Defunciones_2020-06-12,2020-04-25,7.0
Defunciones_2020-06-13,2020-04-25,7.0
Defunciones_2020-06-07,2020-04-26,9.0
Defunciones_2020-06-08,2020-04-26,9.0
Defunciones_2020-06-09,2020-04-26,9.0
Defunciones_2020-06-10,2020-04-26,9.0
Defunciones_2020-06-11,2020-04-26,9.0
Defunciones_2020-06-12,2020-04-26,9.0
Defunciones_2020-06-13,2020-04-26,9.0
Defunciones_2020-06-07,2020-04-27,11.0
Defunciones_2020-06-08,2020-04-27,11.0
Defunciones_2020-06-09,2020-04-27,11.0
Defunciones_2020-06-10,2020-04-27,11.0
Defunciones_2020-06-11,2020-04-27,11.0
Defunciones_2020-06-12,2020-04-27,11.0
Defunciones_2020-06-13,2020-04-27,11.0
Defunciones_2020-06-07,2020-04-28,6.0
Defunciones_2020-06-08,2020-04-28,7.0
Defunciones_2020-06-09,2020-04-28,7.0
Defunciones_2020-06-10,2020-04-28,7.0
Defunciones_2020-06-11,2020-04-28,7.0
Defunciones_2020-06-12,2020-04-28,7.0
Defunciones_2020-06-13,2020-04-28,7.0
Defunciones_2020-06-07,2020-04-29,6.0
Defunciones_2020-06-08,2020-04-29,6.0
Defunciones_2020-06-09,2020-04-29,6.0
Defunciones_2020-06-10,2020-04-29,6.0
Defunciones_2020-06-11,2020-04-29,6.0
Defunciones_2020-06-12,2020-04-29,6.0
Defunciones_2020-06-13,2020-04-29,6.0
Defunciones_2020-06-07,2020-04-30,8.0
Defunciones_2020-06-08,2020-04-30,8.0
Defunciones_2020-06-09,2020-04-30,8.0
Defunciones_2020-06-10,2020-04-30,8.0
Defunciones_2020-06-11,2020-04-30,8.0
Defunciones_2020-06-12,2020-04-30,8.0
Defunciones_2020-06-13,2020-04-30,8.0
Defunciones_2020-06-07,2020-05-01,10.0
Defunciones_2020-06-08,2020-05-01,10.0
Defunciones_2020-06-09,2020-05-01,10.0
Defunciones_2020-06-10,2020-05-01,10.0
Defunciones_2020-06-11,2020-05-01,10.0
Defunciones_2020-06-12,2020-05-01,10.0
Defunciones_2020-06-13,2020-05-01,10.0
Defunciones_2020-06-07,2020-05-02,7.0
Defunciones_2020-06-08,2020-05-02,7.0
Defunciones_2020-06-09,2020-05-02,7.0
Defunciones_2020-06-10,2020-05-02,7.0
Defunciones_2020-06-11,2020-05-02,7.0
Defunciones_2020-06-12,2020-05-02,7.0
Defunciones_2020-06-13,2020-05-02,7.0
Defunciones_2020-06-07,2020-05-03,19.0
Defunciones_2020-06-08,2020-05-03,19.0
Defunciones_2020-06-09,2020-05-03,19.0
Defunciones_2020-06-10,2020-05-03,19.0
Defunciones_2020-06-11,2020-05-03,19.0
Defunciones_2020-06-12,2020-05-03,19.0
Defunciones_2020-06-13,2020-05-03,19.0
Defunciones_2020-06-07,2020-05-04,11.0
Defunciones_2020-06-08,2020-05-04,12.0
Defunciones_2020-06-09,2020-05-04,12.0
Defunciones_2020-06-10,2020-05-04,12.0
Defunciones_2020-06-11,2020-05-04,12.0
Defunciones_2020-06-12,2020-05-04,12.0
Defunciones_2020-06-13,2020-05-04,12.0
Defunciones_2020-06-07,2020-05-05,11.0
Defunciones_2020-06-08,2020-05-05,11.0
Defunciones_2020-06-09,2020-05-05,11.0
Defunciones_2020-06-10,2020-05-05,11.0
Defunciones_2020-06-11,2020-05-05,11.0
Defunciones_2020-06-12,2020-05-05,11.0
Defunciones_2020-06-13,2020-05-05,11.0
Defunciones_2020-06-07,2020-05-06,14.0
Defunciones_2020-06-08,2020-05-06,14.0
Defunciones_2020-06-09,2020-05-06,14.0
Defunciones_2020-06-10,2020-05-06,14.0
Defunciones_2020-06-11,2020-05-06,14.0
Defunciones_2020-06-12,2020-05-06,14.0
Defunciones_2020-06-13,2020-05-06,14.0
Defunciones_2020-06-07,2020-05-07,27.0
Defunciones_2020-06-08,2020-05-07,29.0
Defunciones_2020-06-09,2020-05-07,29.0
Defunciones_2020-06-10,2020-05-07,29.0
Defunciones_2020-06-11,2020-05-07,29.0
Defunciones_2020-06-12,2020-05-07,29.0
Defunciones_2020-06-13,2020-05-07,29.0
Defunciones_2020-06-07,2020-05-08,16.0
Defunciones_2020-06-08,2020-05-08,16.0
Defunciones_2020-06-09,2020-05-08,16.0
Defunciones_2020-06-10,2020-05-08,16.0
Defunciones_2020-06-11,2020-05-08,16.0
Defunciones_2020-06-12,2020-05-08,16.0
Defunciones_2020-06-13,2020-05-08,16.0
Defunciones_2020-06-07,2020-05-09,22.0
Defunciones_2020-06-08,2020-05-09,22.0
Defunciones_2020-06-09,2020-05-09,22.0
Defunciones_2020-06-10,2020-05-09,22.0
Defunciones_2020-06-11,2020-05-09,22.0
Defunciones_2020-06-12,2020-05-09,22.0
Defunciones_2020-06-13,2020-05-09,22.0
Defunciones_2020-06-07,2020-05-10,30.0
Defunciones_2020-06-08,2020-05-10,30.0
Defunciones_2020-06-09,2020-05-10,30.0
Defunciones_2020-06-10,2020-05-10,30.0
Defunciones_2020-06-11,2020-05-10,30.0
Defunciones_2020-06-12,2020-05-10,30.0
Defunciones_2020-06-13,2020-05-10,30.0
Defunciones_2020-06-07,2020-05-11,19.0
Defunciones_2020-06-08,2020-05-11,19.0
Defunciones_2020-06-09,2020-05-11,19.0
Defunciones_2020-06-10,2020-05-11,19.0
Defunciones_2020-06-11,2020-05-11,19.0
Defunciones_2020-06-12,2020-05-11,19.0
Defunciones_2020-06-13,2020-05-11,19.0
Defunciones_2020-06-07,2020-05-12,24.0
Defunciones_2020-06-08,2020-05-12,25.0
Defunciones_2020-06-09,2020-05-12,25.0
Defunciones_2020-06-10,2020-05-12,25.0
Defunciones_2020-06-11,2020-05-12,25.0
Defunciones_2020-06-12,2020-05-12,25.0
Defunciones_2020-06-13,2020-05-12,25.0
Defunciones_2020-06-07,2020-05-13,38.0
Defunciones_2020-06-08,2020-05-13,38.0
Defunciones_2020-06-09,2020-05-13,38.0
Defunciones_2020-06-10,2020-05-13,38.0
Defunciones_2020-06-11,2020-05-13,38.0
Defunciones_2020-06-12,2020-05-13,38.0
Defunciones_2020-06-13,2020-05-13,38.0
Defunciones_2020-06-07,2020-05-14,36.0
Defunciones_2020-06-08,2020-05-14,35.0
Defunciones_2020-06-09,2020-05-14,35.0
Defunciones_2020-06-10,2020-05-14,35.0
Defunciones_2020-06-11,2020-05-14,35.0
Defunciones_2020-06-12,2020-05-14,35.0
Defunciones_2020-06-13,2020-05-14,35.0
Defunciones_2020-06-07,2020-05-15,29.0
Defunciones_2020-06-08,2020-05-15,32.0
Defunciones_2020-06-09,2020-05-15,32.0
Defunciones_2020-06-10,2020-05-15,32.0
Defunciones_2020-06-11,2020-05-15,32.0
Defunciones_2020-06-12,2020-05-15,32.0
Defunciones_2020-06-13,2020-05-15,32.0
Defunciones_2020-06-07,2020-05-16,46.0
Defunciones_2020-06-08,2020-05-16,47.0
Defunciones_2020-06-09,2020-05-16,47.0
Defunciones_2020-06-10,2020-05-16,47.0
Defunciones_2020-06-11,2020-05-16,47.0
Defunciones_2020-06-12,2020-05-16,47.0
Defunciones_2020-06-13,2020-05-16,48.0
