Casos,Notificación,Inicio de Sintomas
2020-02-22,0,1
2020-02-23,0,1
2020-02-24,0,3
2020-02-25,0,14
2020-02-26,0,0
2020-02-27,0,2
2020-02-28,1,3
2020-02-29,0,0
2020-03-01,0,15
2020-03-02,1,11
2020-03-03,1,10
2020-03-04,2,9
2020-03-05,4,33
2020-03-06,1,10
2020-03-07,2,14
2020-03-08,6,24
2020-03-09,2,33
2020-03-10,10,60
2020-03-11,15,51
2020-03-12,13,68
2020-03-13,25,114
2020-03-14,45,151
2020-03-15,49,170
2020-03-16,77,274
2020-03-17,143,249
2020-03-18,104,257
2020-03-19,147,294
2020-03-20,166,341
2020-03-21,160,300
2020-03-22,148,293
2020-03-23,208,375
2020-03-24,271,314
2020-03-25,346,329
2020-03-26,362,334
2020-03-27,379,340
2020-03-28,264,310
2020-03-29,285,276
2020-03-30,358,371
2020-03-31,337,317
2020-04-01,345,437
2020-04-02,426,365
2020-04-03,410,374
2020-04-04,314,353
2020-04-05,234,320
2020-04-06,446,395
2020-04-07,479,363
2020-04-08,457,371
2020-04-09,407,404
2020-04-10,237,435
2020-04-11,282,326
2020-04-12,210,359
2020-04-13,543,517
2020-04-14,476,460
2020-04-15,559,585
2020-04-16,553,507
2020-04-17,514,522
2020-04-18,421,510
2020-04-19,313,477
2020-04-20,564,850
2020-04-21,603,664
2020-04-22,684,732
2020-04-23,687,793
2020-04-24,686,968
2020-04-25,493,993
2020-04-26,406,989
2020-04-27,1123,1590
2020-04-28,1256,1494
2020-04-29,1527,1541
2020-04-30,1578,1815
2020-05-01,1049,2577
2020-05-02,1480,2389
2020-05-03,1455,2524
2020-05-04,2807,3451
2020-05-05,2916,3059
2020-05-06,2903,3095
2020-05-07,3068,3247
2020-05-08,3245,3734
2020-05-09,2437,3547
2020-05-10,1961,3883
2020-05-11,4616,4693
2020-05-12,4223,4213
2020-05-13,3806,3783
2020-05-14,3893,3689
2020-05-15,3611,4669
2020-05-16,2835,4143
2020-05-17,2558,4055
2020-05-18,5043,5036
2020-05-19,5020,4202
2020-05-20,4665,4882
2020-05-21,2766,3780
2020-05-22,5151,4472
2020-05-23,3367,4053
2020-05-24,2836,3721
2020-05-25,5008,5037
2020-05-26,5096,3834
2020-05-27,4701,4004
2020-05-28,4043,3971
2020-05-29,4292,4053
2020-05-30,3078,3713
2020-05-31,2778,3338
2020-06-01,6245,4412
2020-06-02,5282,2823
2020-06-03,4594,2281
2020-06-04,4556,1917
2020-06-05,4013,1692
2020-06-06,2140,1040
2020-06-07,1542,600
2020-06-08,2774,581
2020-06-09,1268,259
2020-06-10,543,111
2020-06-11,0,0
