Fecha,Fecha,Casos confirmados
2020-02-22,2020-02-22,0
2020-02-22,2020-02-22,1
2020-02-23,2020-02-23,0
2020-02-23,2020-02-23,1
2020-02-24,2020-02-24,0
2020-02-24,2020-02-24,3
2020-02-25,2020-02-25,0
2020-02-25,2020-02-25,14
2020-02-26,2020-02-26,0
2020-02-26,2020-02-26,0
2020-02-27,2020-02-27,0
2020-02-27,2020-02-27,2
2020-02-28,2020-02-28,1
2020-02-28,2020-02-28,3
2020-02-29,2020-02-29,0
2020-02-29,2020-02-29,0
2020-03-01,2020-03-01,0
2020-03-01,2020-03-01,15
2020-03-02,2020-03-02,1
2020-03-02,2020-03-02,11
2020-03-03,2020-03-03,1
2020-03-03,2020-03-03,10
2020-03-04,2020-03-04,2
2020-03-04,2020-03-04,9
2020-03-05,2020-03-05,4
2020-03-05,2020-03-05,33
2020-03-06,2020-03-06,1
2020-03-06,2020-03-06,10
2020-03-07,2020-03-07,2
2020-03-07,2020-03-07,14
2020-03-08,2020-03-08,6
2020-03-08,2020-03-08,24
2020-03-09,2020-03-09,2
2020-03-09,2020-03-09,33
2020-03-10,2020-03-10,10
2020-03-10,2020-03-10,60
2020-03-11,2020-03-11,15
2020-03-11,2020-03-11,51
2020-03-12,2020-03-12,13
2020-03-12,2020-03-12,68
2020-03-13,2020-03-13,25
2020-03-13,2020-03-13,114
2020-03-14,2020-03-14,45
2020-03-14,2020-03-14,151
2020-03-15,2020-03-15,49
2020-03-15,2020-03-15,170
2020-03-16,2020-03-16,77
2020-03-16,2020-03-16,274
2020-03-17,2020-03-17,143
2020-03-17,2020-03-17,249
2020-03-18,2020-03-18,104
2020-03-18,2020-03-18,257
2020-03-19,2020-03-19,147
2020-03-19,2020-03-19,294
2020-03-20,2020-03-20,166
2020-03-20,2020-03-20,341
2020-03-21,2020-03-21,160
2020-03-21,2020-03-21,300
2020-03-22,2020-03-22,148
2020-03-22,2020-03-22,293
2020-03-23,2020-03-23,208
2020-03-23,2020-03-23,375
2020-03-24,2020-03-24,271
2020-03-24,2020-03-24,314
2020-03-25,2020-03-25,346
2020-03-25,2020-03-25,329
2020-03-26,2020-03-26,362
2020-03-26,2020-03-26,334
2020-03-27,2020-03-27,379
2020-03-27,2020-03-27,340
2020-03-28,2020-03-28,264
2020-03-28,2020-03-28,310
2020-03-29,2020-03-29,285
2020-03-29,2020-03-29,276
2020-03-30,2020-03-30,358
2020-03-30,2020-03-30,371
2020-03-31,2020-03-31,337
2020-03-31,2020-03-31,317
2020-04-01,2020-04-01,345
2020-04-01,2020-04-01,437
2020-04-02,2020-04-02,426
2020-04-02,2020-04-02,365
2020-04-03,2020-04-03,410
