Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,736,35,31,4,8,062%
Tarapacá,2810,128,108,20,28,238%
Antofagasta,2862,146,129,17,38,242%
Atacama,258,16,15,1,0,022%
Coquimbo,772,54,44,10,4,065%
Valparaíso,4017,248,233,15,78,340%
Metropolitana,95890,3699,3327,372,1034,8106%
O'Higgins,967,36,32,4,21,082%
Maule,1732,137,117,20,21,146%
Ñuble,1372,43,36,7,24,116%
Biobío,2301,86,68,18,13,195%
Araucania,2182,9,6,3,47,184%
Los Ríos,379,7,6,1,8,032%
Los Lagos,926,13,13,0,13,078%
Aysén,19,1,1,0,0,002%
Magallanes,1069,6,6,0,19,090%
Total,118292,4664,4172,492,1356,100%
