,Fecha,Origen,Destino,Viajes
0,2020-03-01,Cerrillos,Cerrillos,2026
1,2020-03-01,Cerrillos,Cerro Navia,31
2,2020-03-01,Cerrillos,Conchali,84
3,2020-03-01,Cerrillos,El Bosque,85
4,2020-03-01,Cerrillos,Estacion Central,1218
5,2020-03-01,Cerrillos,Huechuraba,18
6,2020-03-01,Cerrillos,Independencia,85
7,2020-03-01,Cerrillos,La Cisterna,238
8,2020-03-01,Cerrillos,La Florida,267
9,2020-03-01,Cerrillos,La Granja,37
10,2020-03-01,Cerrillos,La Pintana,30
11,2020-03-01,Cerrillos,La Reina,150
12,2020-03-01,Cerrillos,Las Condes,406
13,2020-03-01,Cerrillos,Lo Barnechea,31
14,2020-03-01,Cerrillos,Lo Espejo,545
15,2020-03-01,Cerrillos,Lo Prado,122
16,2020-03-01,Cerrillos,Macul,71
17,2020-03-01,Cerrillos,Maipu,2175
18,2020-03-01,Cerrillos,Nunoa,455
19,2020-03-01,Cerrillos,Pedro Aguirre Cerda,216
20,2020-03-01,Cerrillos,Penalolen,103
21,2020-03-01,Cerrillos,Providencia,802
22,2020-03-01,Cerrillos,Pudahuel,94
23,2020-03-01,Cerrillos,Puente Alto,123
24,2020-03-01,Cerrillos,Quilicura,77
25,2020-03-01,Cerrillos,Quinta Normal,114
26,2020-03-01,Cerrillos,Recoleta,216
27,2020-03-01,Cerrillos,Renca,66
28,2020-03-01,Cerrillos,San Bernardo,122
29,2020-03-01,Cerrillos,San Joaquin,104
30,2020-03-01,Cerrillos,San Miguel,234
31,2020-03-01,Cerrillos,San Ramon,51
32,2020-03-01,Cerrillos,Santiago,2059
33,2020-03-01,Cerrillos,Vitacura,40
34,2020-03-01,Cerro Navia,Cerrillos,33
35,2020-03-01,Cerro Navia,Cerro Navia,1913
36,2020-03-01,Cerro Navia,Conchali,54
37,2020-03-01,Cerro Navia,El Bosque,29
38,2020-03-01,Cerro Navia,Estacion Central,932
39,2020-03-01,Cerro Navia,Huechuraba,35
40,2020-03-01,Cerro Navia,Independencia,80
41,2020-03-01,Cerro Navia,La Cisterna,98
42,2020-03-01,Cerro Navia,La Florida,263
43,2020-03-01,Cerro Navia,La Granja,6
44,2020-03-01,Cerro Navia,La Pintana,18
45,2020-03-01,Cerro Navia,La Reina,87
46,2020-03-01,Cerro Navia,Las Condes,434
47,2020-03-01,Cerro Navia,Lo Barnechea,52
48,2020-03-01,Cerro Navia,Lo Espejo,28
49,2020-03-01,Cerro Navia,Lo Prado,864
50,2020-03-01,Cerro Navia,Macul,90
51,2020-03-01,Cerro Navia,Maipu,426
52,2020-03-01,Cerro Navia,Nunoa,207
53,2020-03-01,Cerro Navia,Pedro Aguirre Cerda,42
54,2020-03-01,Cerro Navia,Penalolen,96
55,2020-03-01,Cerro Navia,Providencia,809
56,2020-03-01,Cerro Navia,Pudahuel,1690
57,2020-03-01,Cerro Navia,Puente Alto,144
58,2020-03-01,Cerro Navia,Quilicura,102
59,2020-03-01,Cerro Navia,Quinta Normal,975
60,2020-03-01,Cerro Navia,Recoleta,207
61,2020-03-01,Cerro Navia,Renca,170
62,2020-03-01,Cerro Navia,San Bernardo,60
63,2020-03-01,Cerro Navia,San Joaquin,46
64,2020-03-01,Cerro Navia,San Miguel,81
65,2020-03-01,Cerro Navia,San Ramon,24
66,2020-03-01,Cerro Navia,Santiago,3020
67,2020-03-01,Cerro Navia,Vitacura,131
68,2020-03-01,Conchali,Cerrillos,57
69,2020-03-01,Conchali,Cerro Navia,75
70,2020-03-01,Conchali,Conchali,3082
71,2020-03-01,Conchali,El Bosque,23
72,2020-03-01,Conchali,Estacion Central,860
73,2020-03-01,Conchali,Huechuraba,866
74,2020-03-01,Conchali,Independencia,1430
75,2020-03-01,Conchali,La Cisterna,224
76,2020-03-01,Conchali,La Florida,313
77,2020-03-01,Conchali,La Granja,27
78,2020-03-01,Conchali,La Pintana,21
79,2020-03-01,Conchali,La Reina,221
80,2020-03-01,Conchali,Las Condes,492
81,2020-03-01,Conchali,Lo Barnechea,46
82,2020-03-01,Conchali,Lo Espejo,31
83,2020-03-01,Conchali,Lo Prado,285
84,2020-03-01,Conchali,Macul,62
85,2020-03-01,Conchali,Maipu,144
86,2020-03-01,Conchali,Nunoa,387
87,2020-03-01,Conchali,Pedro Aguirre Cerda,65
88,2020-03-01,Conchali,Penalolen,122
89,2020-03-01,Conchali,Providencia,751
90,2020-03-01,Conchali,Pudahuel,191
91,2020-03-01,Conchali,Puente Alto,185
92,2020-03-01,Conchali,Quilicura,950
93,2020-03-01,Conchali,Quinta Normal,117
94,2020-03-01,Conchali,Recoleta,1825
95,2020-03-01,Conchali,Renca,203
96,2020-03-01,Conchali,San Bernardo,48
97,2020-03-01,Conchali,San Joaquin,71
98,2020-03-01,Conchali,San Miguel,240
99,2020-03-01,Conchali,San Ramon,40
100,2020-03-01,Conchali,Santiago,3477
101,2020-03-01,Conchali,Vitacura,123
102,2020-03-01,El Bosque,Cerrillos,69
103,2020-03-01,El Bosque,Cerro Navia,35
104,2020-03-01,El Bosque,Conchali,69
105,2020-03-01,El Bosque,El Bosque,1789
106,2020-03-01,El Bosque,Estacion Central,1465
107,2020-03-01,El Bosque,Huechuraba,38
108,2020-03-01,El Bosque,Independencia,70
109,2020-03-01,El Bosque,La Cisterna,1498
110,2020-03-01,El Bosque,La Florida,675
111,2020-03-01,El Bosque,La Granja,55
112,2020-03-01,El Bosque,La Pintana,515
113,2020-03-01,El Bosque,La Reina,113
114,2020-03-01,El Bosque,Las Condes,366
115,2020-03-01,El Bosque,Lo Barnechea,42
116,2020-03-01,El Bosque,Lo Espejo,176
117,2020-03-01,El Bosque,Lo Prado,128
118,2020-03-01,El Bosque,Macul,62
119,2020-03-01,El Bosque,Maipu,94
120,2020-03-01,El Bosque,Nunoa,228
121,2020-03-01,El Bosque,Pedro Aguirre Cerda,282
122,2020-03-01,El Bosque,Penalolen,112
123,2020-03-01,El Bosque,Providencia,579
124,2020-03-01,El Bosque,Pudahuel,52
125,2020-03-01,El Bosque,Puente Alto,208
126,2020-03-01,El Bosque,Quilicura,57
127,2020-03-01,El Bosque,Quinta Normal,39
128,2020-03-01,El Bosque,Recoleta,214
129,2020-03-01,El Bosque,Renca,20
130,2020-03-01,El Bosque,San Bernardo,1683
131,2020-03-01,El Bosque,San Joaquin,61
132,2020-03-01,El Bosque,San Miguel,414
133,2020-03-01,El Bosque,San Ramon,92
134,2020-03-01,El Bosque,Santiago,1527
135,2020-03-01,El Bosque,Vitacura,43
136,2020-03-01,Estacion Central,Cerrillos,939
137,2020-03-01,Estacion Central,Cerro Navia,909
138,2020-03-01,Estacion Central,Conchali,757
139,2020-03-01,Estacion Central,El Bosque,1086
140,2020-03-01,Estacion Central,Estacion Central,17877
141,2020-03-01,Estacion Central,Huechuraba,174
142,2020-03-01,Estacion Central,Independencia,1079
143,2020-03-01,Estacion Central,La Cisterna,1442
144,2020-03-01,Estacion Central,La Florida,1805
145,2020-03-01,Estacion Central,La Granja,105
146,2020-03-01,Estacion Central,La Pintana,225
147,2020-03-01,Estacion Central,La Reina,779
148,2020-03-01,Estacion Central,Las Condes,3809
149,2020-03-01,Estacion Central,Lo Barnechea,339
150,2020-03-01,Estacion Central,Lo Espejo,1138
151,2020-03-01,Estacion Central,Lo Prado,4735
152,2020-03-01,Estacion Central,Macul,370
153,2020-03-01,Estacion Central,Maipu,4250
154,2020-03-01,Estacion Central,Nunoa,2078
155,2020-03-01,Estacion Central,Pedro Aguirre Cerda,1496
156,2020-03-01,Estacion Central,Penalolen,974
157,2020-03-01,Estacion Central,Providencia,5127
158,2020-03-01,Estacion Central,Pudahuel,1958
159,2020-03-01,Estacion Central,Puente Alto,1046
160,2020-03-01,Estacion Central,Quilicura,838
161,2020-03-01,Estacion Central,Quinta Normal,989
162,2020-03-01,Estacion Central,Recoleta,2637
163,2020-03-01,Estacion Central,Renca,379
164,2020-03-01,Estacion Central,San Bernardo,3454
165,2020-03-01,Estacion Central,San Joaquin,422
166,2020-03-01,Estacion Central,San Miguel,1369
167,2020-03-01,Estacion Central,San Ramon,434
168,2020-03-01,Estacion Central,Santiago,20356
169,2020-03-01,Estacion Central,Vitacura,346
170,2020-03-01,Estacion Central,La Pintana ,2
171,2020-03-01,Huechuraba,Cerrillos,18
172,2020-03-01,Huechuraba,Cerro Navia,21
173,2020-03-01,Huechuraba,Conchali,681
174,2020-03-01,Huechuraba,El Bosque,24
175,2020-03-01,Huechuraba,Estacion Central,309
176,2020-03-01,Huechuraba,Huechuraba,1620
177,2020-03-01,Huechuraba,Independencia,312
178,2020-03-01,Huechuraba,La Cisterna,103
179,2020-03-01,Huechuraba,La Florida,92
180,2020-03-01,Huechuraba,La Granja,3
181,2020-03-01,Huechuraba,La Pintana,31
182,2020-03-01,Huechuraba,La Reina,35
183,2020-03-01,Huechuraba,Las Condes,193
184,2020-03-01,Huechuraba,Lo Barnechea,29
185,2020-03-01,Huechuraba,Lo Espejo,15
186,2020-03-01,Huechuraba,Lo Prado,109
187,2020-03-01,Huechuraba,Macul,43
188,2020-03-01,Huechuraba,Maipu,56
189,2020-03-01,Huechuraba,Nunoa,100
190,2020-03-01,Huechuraba,Pedro Aguirre Cerda,31
191,2020-03-01,Huechuraba,Penalolen,29
192,2020-03-01,Huechuraba,Providencia,274
193,2020-03-01,Huechuraba,Pudahuel,58
194,2020-03-01,Huechuraba,Puente Alto,68
195,2020-03-01,Huechuraba,Quilicura,1729
196,2020-03-01,Huechuraba,Quinta Normal,58
197,2020-03-01,Huechuraba,Recoleta,997
198,2020-03-01,Huechuraba,Renca,49
199,2020-03-01,Huechuraba,San Bernardo,20
200,2020-03-01,Huechuraba,San Joaquin,17
201,2020-03-01,Huechuraba,San Miguel,83
202,2020-03-01,Huechuraba,San Ramon,15
203,2020-03-01,Huechuraba,Santiago,1022
204,2020-03-01,Huechuraba,Vitacura,62
205,2020-03-01,Independencia,Cerrillos,75
206,2020-03-01,Independencia,Cerro Navia,57
207,2020-03-01,Independencia,Conchali,1201
208,2020-03-01,Independencia,El Bosque,40
209,2020-03-01,Independencia,Estacion Central,1083
210,2020-03-01,Independencia,Huechuraba,222
211,2020-03-01,Independencia,Independencia,2145
212,2020-03-01,Independencia,La Cisterna,301
213,2020-03-01,Independencia,La Florida,460
214,2020-03-01,Independencia,La Granja,22
215,2020-03-01,Independencia,La Pintana,33
216,2020-03-01,Independencia,La Reina,356
217,2020-03-01,Independencia,Las Condes,996
218,2020-03-01,Independencia,Lo Barnechea,92
219,2020-03-01,Independencia,Lo Espejo,38
220,2020-03-01,Independencia,Lo Prado,438
221,2020-03-01,Independencia,Macul,148
222,2020-03-01,Independencia,Maipu,192
223,2020-03-01,Independencia,Nunoa,795
224,2020-03-01,Independencia,Pedro Aguirre Cerda,98
225,2020-03-01,Independencia,Penalolen,208
226,2020-03-01,Independencia,Providencia,1083
227,2020-03-01,Independencia,Pudahuel,201
228,2020-03-01,Independencia,Puente Alto,283
229,2020-03-01,Independencia,Quilicura,907
230,2020-03-01,Independencia,Quinta Normal,145
231,2020-03-01,Independencia,Recoleta,864
232,2020-03-01,Independencia,Renca,460
233,2020-03-01,Independencia,San Bernardo,110
234,2020-03-01,Independencia,San Joaquin,100
235,2020-03-01,Independencia,San Miguel,322
236,2020-03-01,Independencia,San Ramon,28
237,2020-03-01,Independencia,Santiago,4728
238,2020-03-01,Independencia,Vitacura,137
239,2020-03-01,La Cisterna,Cerrillos,184
240,2020-03-01,La Cisterna,Cerro Navia,44
241,2020-03-01,La Cisterna,Conchali,215
242,2020-03-01,La Cisterna,El Bosque,1076
243,2020-03-01,La Cisterna,Estacion Central,1357
244,2020-03-01,La Cisterna,Huechuraba,86
245,2020-03-01,La Cisterna,Independencia,291
246,2020-03-01,La Cisterna,La Cisterna,4061
247,2020-03-01,La Cisterna,La Florida,2074
248,2020-03-01,La Cisterna,La Granja,261
249,2020-03-01,La Cisterna,La Pintana,580
250,2020-03-01,La Cisterna,La Reina,329
251,2020-03-01,La Cisterna,Las Condes,785
252,2020-03-01,La Cisterna,Lo Barnechea,56
253,2020-03-01,La Cisterna,Lo Espejo,529
254,2020-03-01,La Cisterna,Lo Prado,447
255,2020-03-01,La Cisterna,Macul,124
256,2020-03-01,La Cisterna,Maipu,271
257,2020-03-01,La Cisterna,Nunoa,532
258,2020-03-01,La Cisterna,Pedro Aguirre Cerda,625
259,2020-03-01,La Cisterna,Penalolen,344
260,2020-03-01,La Cisterna,Providencia,1201
261,2020-03-01,La Cisterna,Pudahuel,229
262,2020-03-01,La Cisterna,Puente Alto,579
263,2020-03-01,La Cisterna,Quilicura,188
264,2020-03-01,La Cisterna,Quinta Normal,133
265,2020-03-01,La Cisterna,Recoleta,1115
266,2020-03-01,La Cisterna,Renca,40
267,2020-03-01,La Cisterna,San Bernardo,405
268,2020-03-01,La Cisterna,San Joaquin,156
269,2020-03-01,La Cisterna,San Miguel,2126
270,2020-03-01,La Cisterna,San Ramon,1041
271,2020-03-01,La Cisterna,Santiago,5325
272,2020-03-01,La Cisterna,Vitacura,59
273,2020-03-01,La Florida,Cerrillos,197
274,2020-03-01,La Florida,Cerro Navia,111
275,2020-03-01,La Florida,Conchali,269
276,2020-03-01,La Florida,El Bosque,293
277,2020-03-01,La Florida,Estacion Central,1426
278,2020-03-01,La Florida,Huechuraba,60
279,2020-03-01,La Florida,Independencia,443
280,2020-03-01,La Florida,La Cisterna,1822
281,2020-03-01,La Florida,La Florida,20762
282,2020-03-01,La Florida,La Granja,1603
283,2020-03-01,La Florida,La Pintana,399
284,2020-03-01,La Florida,La Reina,1294
285,2020-03-01,La Florida,Las Condes,2061
286,2020-03-01,La Florida,Lo Barnechea,151
287,2020-03-01,La Florida,Lo Espejo,137
288,2020-03-01,La Florida,Lo Prado,741
289,2020-03-01,La Florida,Macul,2857
290,2020-03-01,La Florida,Maipu,382
291,2020-03-01,La Florida,Nunoa,2097
