Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
247552,6,2020/04/01,15,Arica y Parinacota,151,Arica,15101,Arica,2.4237331954498447
247552,87,2020/04/10,15,Arica y Parinacota,151,Arica,15101,Arica,35.14413133402275
247552,63,2020/04/08,15,Arica y Parinacota,151,Arica,15101,Arica,25.449198552223372
247552,12,2020/04/03,15,Arica y Parinacota,151,Arica,15101,Arica,4.847466390899689
247552,41,2020/04/06,15,Arica y Parinacota,151,Arica,15101,Arica,16.56217683557394
247552,6,2020/03/30,15,Arica y Parinacota,151,Arica,15101,Arica,2.4237331954498447
1233,-,2020/04/01,15,Arica y Parinacota,151,Arica,15102,Camarones,-
1233,-,2020/04/10,15,Arica y Parinacota,151,Arica,15102,Camarones,-
1233,-,2020/04/08,15,Arica y Parinacota,151,Arica,15102,Camarones,-
1233,-,2020/04/03,15,Arica y Parinacota,151,Arica,15102,Camarones,-
1233,-,2020/04/06,15,Arica y Parinacota,151,Arica,15102,Camarones,-
1233,-,2020/03/30,15,Arica y Parinacota,151,Arica,15102,Camarones,-
810,-,2020/04/01,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
810,-,2020/04/10,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
810,-,2020/04/08,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
810,-,2020/04/03,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
810,-,2020/04/06,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
810,-,2020/03/30,15,Arica y Parinacota,152,Parinacota,15202,General Lagos,-
2515,-,2020/04/01,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
2515,-,2020/04/10,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
2515,-,2020/04/08,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
2515,-,2020/04/03,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
2515,-,2020/04/06,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
2515,-,2020/03/30,15,Arica y Parinacota,152,Parinacota,15201,Putre,-
129999,-,2020/04/01,1,Tarapacá,11,Iquique,1107,Alto Hospicio,-
129999,10,2020/04/10,1,Tarapacá,11,Iquique,1107,Alto Hospicio,7.692366864360495
129999,6,2020/04/08,1,Tarapacá,11,Iquique,1107,Alto Hospicio,4.615420118616297
129999,-,2020/04/03,1,Tarapacá,11,Iquique,1107,Alto Hospicio,-
129999,5,2020/04/06,1,Tarapacá,11,Iquique,1107,Alto Hospicio,3.8461834321802475
129999,-,2020/03/30,1,Tarapacá,11,Iquique,1107,Alto Hospicio,-
1375,-,2020/04/01,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1375,-,2020/04/10,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1375,-,2020/04/08,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1375,-,2020/04/03,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1375,-,2020/04/06,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1375,-,2020/03/30,1,Tarapacá,14,Tamarugal,1402,Camiña,-
1583,-,2020/04/01,1,Tarapacá,14,Tamarugal,1403,Colchane,-
1583,-,2020/04/10,1,Tarapacá,14,Tamarugal,1403,Colchane,-
1583,-,2020/04/08,1,Tarapacá,14,Tamarugal,1403,Colchane,-
1583,-,2020/04/03,1,Tarapacá,14,Tamarugal,1403,Colchane,-
