Region,Poblacion,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Arica y Parinacota,252110,5,5,5,5
Tarapaca,382773,2,3,3,2
Antofagasta,691854,2,3,2,3
Atacama,314709,1,1,1,1
Coquimbo,836096,1,2,2,1
Valparaiso,1960170,22,21,22,18
Metropolitana,8125072,164,181,178,185
Del Libertador General Bernardo O’Higgins,991063,6,7,7,7
Maule,1131939,10,11,13,15
Nuble,511551,13,13,13,12
Biobio,1663696,33,32,33,31
La Araucania,1014343,56,57,53,56
Los Rios,405835,7,7,7,7
Los Lagos,891440,24,25,26,26
Aisen,107297,0,0,0,0
Magallanes y la Antartica,178362,14,15,18,18
