Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Codigo region,15,01,02,03,04,05,13,06,07,16,08,09,14,10,11,12
Poblacion,252110,382773,691854,314709,836096,1960170,8125072,991063,1131939,511551,1663696,1014343,405835,891440,107297,178362
2020-04-01,0,1,3,0,1,14,83,5,3,7,14,26,1,10,0,5
2020-04-02,0,1,4,0,1,17,90,5,3,8,18,29,2,12,0,10
2020-04-03,0,1,3,0,1,18,107,5,3,10,21,37,2,18,0,11
2020-04-04,0,1,3,0,2,22,129,5,3,11,24,44,2,22,0,12
2020-04-05,2,1,3,0,1,27,146,5,4,10,26,44,3,22,0,13
2020-04-06,4,2,3,0,1,22,161,6,5,11,27,46,4,23,0,12
2020-04-07,4,2,2,0,2,21,160,6,7,13,32,46,6,24,0,12
2020-04-08,5,2,2,1,1,20,174,6,8,13,31,54,6,25,0,14
2020-04-09,5,2,2,1,1,22,164,6,10,13,33,56,7,24,0,14
2020-04-10,5,3,3,1,2,21,181,7,11,13,32,57,7,25,0,15
2020-04-11,5,3,2,1,2,22,178,7,13,13,33,53,7,26,0,18
2020-04-12,5,2,3,1,1,18,185,7,15,12,31,56,7,26,0,18
2020-04-13,5,2,4,1,0,16,189,7,16,13,35,52,7,25,0,15
2020-04-14,5,1,4,1,1,16,190,5,15,12,35,46,7,26,0,15
2020-04-15,5,0,5,1,1,16,198,6,15,13,35,46,6,26,0,16
2020-04-16,6,0,5,1,0,18,196,4,13,12,30,47,7,27,0,18
2020-04-17,6,0,6,1,0,18,202,4,12,12,27,47,6,26,0,18
2020-04-18,5,0,5,1,0,19,181,4,12,13,25,46,6,26,0,17
2020-04-19,5,1,5,1,0,22,186,4,15,14,26,44,7,25,0,18
2020-04-20,5,1,5,1,0,22,194,4,9,15,26,45,5,24,0,21
2020-04-21,5,1,7,1,0,22,204,3,14,15,25,45,6,25,0,19
2020-04-22,4,2,10,1,0,24,213,4,10,15,25,43,7,23,0,18
2020-04-23,4,2,14,1,0,20,234,4,9,15,25,37,7,22,0,17
2020-04-24,7,2,16,1,0,17,242,4,9,13,22,38,7,21,0,16
2020-04-25,8,3,16,1,0,16,246,4,8,10,22,39,7,21,0,17
2020-04-26,9,2,15,1,0,14,248,4,10,10,23,38,7,17,0,17
2020-04-27,10,2,17,1,0,15,252,4,10,10,24,37,6,17,0,21
2020-04-28,10,2,19,1,0,15,258,5,8,9,21,35,5,18,0,22
2020-04-29,9,3,20,1,0,14,256,4,7,7,22,35,5,18,0,17
2020-04-30,8,2,21,1,0,18,257,5,6,7,22,30,5,19,0,18
2020-05-01,9,2,23,1,0,19,262,6,5,8,23,29,5,18,0,18
2020-05-02,7,2,22,1,0,18,269,5,5,8,21,28,4,17,0,18
2020-05-03,7,4,24,1,0,17,289,5,8,9,20,27,3,17,0,18
2020-05-04,7,4,25,1,0,18,303,5,8,9,18,26,3,18,0,19
2020-05-05,6,5,24,1,0,17,314,7,7,7,18,25,4,16,0,19
2020-05-06,7,5,28,1,0,16,340,5,4,7,15,24,4,11,0,19
2020-05-07,8,5,28,1,0,15,348,6,4,7,14,24,4,10,0,19
2020-05-08,7,4,29,1,0,18,366,6,4,7,16,21,4,10,0,15
2020-05-09,7,6,30,2,0,19,394,5,4,8,18,22,3,11,0,15
2020-05-10,7,6,31,2,0,18,415,5,4,8,19,23,2,10,0,15
2020-05-11,7,7,32,2,0,19,421,5,5,8,18,22,2,10,0,16
2020-05-12,7,9,32,2,0,21,450,6,6,7,17,20,1,10,0,16
2020-05-13,7,8,38,2,0,24,490,7,6,5,14,18,0,11,0,12
2020-05-14,7,9,39,2,0,25,509,8,6,5,11,17,0,13,0,12
2020-05-15,7,13,41,3,2,25,551,7,6,5,12,16,0,11,0,12
2020-05-16,8,13,45,3,1,26,581,10,8,5,14,16,0,10,0,11
2020-05-17,8,12,49,3,1,27,595,10,8,5,14,17,0,9,0,11
2020-05-18,8,16,47,3,1,32,620,9,8,5,17,18,0,11,0,12
2020-05-19,8,18,50,3,1,34,682,9,8,7,18,18,0,10,0,10
2020-05-20,7,18,50,3,0,38,705,14,8,7,19,18,0,8,0,9
2020-05-21,7,21,50,3,1,38,730,18,10,8,23,17,0,8,0,9
2020-05-22,8,18,44,3,3,37,771,22,16,9,21,18,0,9,0,7
2020-05-23,9,17,44,3,3,46,832,24,15,10,23,19,0,10,0,7
